Number of IDs: 33
Number of Shelves: 9
Number of Layers: 4

W3 IDs: [33, 32]
W2 IDs: [27, 30, 25, 19, 29, 23, 20, 21, 31, 28, 22, 26, 24]
W1 IDs: [17, 8, 16, 9, 10, 15, 3, 1, 13, 6, 12, 14, 4, 2, 11, 7, 18, 5]
W1 Solver-Placed IDs: [7, 4]

===

.--------------------------------------------------------------------------------------------------.
|  Shelf  |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |
|---------|-------------------|----------------------|----------------------|----------------------|
| Shelf 0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| Shelf 1 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| Shelf 2 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| Shelf 3 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| Shelf 4 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| Shelf 5 | 2 single (2-item) | 3 single (3-item)    | pair+single (3-item) | 3 single (3-item)    |
| Shelf 6 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| Shelf 7 | 2 single (2-item) | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) |
| Shelf 8 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
'--------------------------------------------------------------------------------------------------'

===

.------------------------------------------------------------.
|  Shelf  |  Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |
|---------|-----------|------------|------------|------------|
| Shelf 0 | [0,19,19] | [24,24,0]  | [20,20,22] | [1,32,1]   |
| Shelf 1 | [10,0,10] | [17,17,19] | [33,5,5]   | [13,9,9]   |
| Shelf 2 | [14,14,0] | [15,25,25] | [28,5,28]  | [29,2,29]  |
| Shelf 3 | [7,24,18] | [31,7,31]  | [3,32,3]   | [2,2,1]    |
| Shelf 4 | [31,0,7]  | [32,6,6]   | [25,30,30] | [8,11,8]   |
| Shelf 5 | [4,0,33]  | [17,27,0]  | [26,26,29] | [28,8,20]  |
| Shelf 6 | [4,14,4]  | [16,21,16] | [27,3,27]  | [11,11,9]  |
| Shelf 7 | [0,10,33] | [15,15,16] | [12,21,21] | [23,23,30] |
| Shelf 8 | [0,18,18] | [22,6,22]  | [12,12,23] | [13,13,26] |
'------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      18 |          3 |        8 |
|    1 |      14 |          6 |        2 |
|    2 |       4 |          5 |        6 |
|    3 |      10 |          7 |        1 |
|    4 |      19 |          1 |        0 |
|    5 |      24 |          3 |        0 |
|    6 |      33 |          5 |        3 |
|    7 |      17 |          5 |        1 |
|    8 |       6 |          8 |        3 |
|    9 |      22 |          0 |        8 |
|   10 |      33 |          1 |        7 |
|   11 |      33 |          3 |        7 |
|   12 |      21 |          6 |        0 |
|   13 |      16 |          7 |        6 |
|   14 |      15 |          2 |        7 |
|   15 |      27 |          6 |        5 |
|   16 |      27 |          6 |        5 |
|   17 |      23 |          8 |        6 |
|   18 |      12 |          7 |        8 |
|   19 |      21 |          0 |        7 |
|   20 |      29 |          5 |        0 |
|   21 |      26 |          8 |        5 |
|   22 |      30 |          7 |        1 |
|   23 |      23 |          6 |        7 |
|   24 |      29 |          0 |        7 |
|   25 |      20 |          5 |        0 |
|   26 |       7 |          3 |        4 |
|   27 |       6 |          3 |        2 |
|   28 |       7 |          3 |        5 |
|   29 |      31 |          4 |        3 |
|   30 |       7 |          5 |        4 |
|   31 |       3 |          3 |        6 |
|   32 |       3 |          3 |        6 |
|   33 |      32 |          0 |        3 |
|   34 |      32 |          4 |        3 |
|   35 |       6 |          2 |        4 |
|   36 |       1 |          3 |        0 |
|   37 |      25 |          4 |        2 |
|   38 |      30 |          1 |        4 |
|   39 |       5 |          2 |        1 |
|   40 |      28 |          5 |        2 |
|   41 |      13 |          1 |        8 |
|   42 |       2 |          2 |        3 |
|   43 |       9 |          6 |        1 |
|   44 |      11 |          4 |        6 |
|   45 |       8 |          5 |        4 |
|   46 |      29 |          7 |        2 |
'----------------------------------------'
