Number of IDs: 36
Number of Shelves: 10
Number of Layers: 5
Locked Shelves: 2

W3 IDs: [35, 36, 34]
W2 IDs: [21, 20, 18, 32, 28, 25, 23, 31, 22, 19, 33, 26, 30, 29, 27, 16, 15, 24, 17]
W1 IDs: [7, 1, 4, 9, 11, 3, 5, 8, 13, 2, 6, 14, 10, 12]
W1 Solver-Placed IDs: [9]

===

.-----------------------------------------------------------------------------------------------------------------------------.
|  Shelf  | Lock Count |      Layer 0      |      Layer 1      |      Layer 2      |       Layer 3        |      Layer 4      |
|---------|------------|-------------------|-------------------|-------------------|----------------------|-------------------|
| Shelf 0 |          4 | 1 pair (2-item)   | 2 single (2-item) | 3 single (3-item) | 2 single (2-item)    | 1 pair (2-item)   |
| Shelf 1 |          8 | 1 pair (2-item)   | 1 pair (2-item)   | 1 pair (2-item)   | 1 pair (2-item)      | 2 single (2-item) |
| Shelf 2 |          0 | 1 pair (2-item)   | 1 pair (2-item)   | 1 pair (2-item)   | 1 pair (2-item)      | 3 single (3-item) |
| Shelf 3 |          0 | 2 single (2-item) | 2 single (2-item) | 1 pair (2-item)   | 2 single (2-item)    | 3 single (3-item) |
| Shelf 4 |          0 | 1 pair (2-item)   | 1 pair (2-item)   | 1 pair (2-item)   | pair+single (3-item) | 1 single (1-item) |
| Shelf 5 |          0 | 2 single (2-item) | 3 single (3-item) | 3 single (3-item) | 2 single (2-item)    | 1 pair (2-item)   |
| Shelf 6 |          0 | 1 pair (2-item)   | 2 single (2-item) | 2 single (2-item) | 1 pair (2-item)      | 3 single (3-item) |
| Shelf 7 |          0 | 1 pair (2-item)   | 1 pair (2-item)   | 1 pair (2-item)   | 1 pair (2-item)      | 2 single (2-item) |
| Shelf 8 |          0 | 2 single (2-item) | 3 single (3-item) | 1 pair (2-item)   | 1 pair (2-item)      | 3 single (3-item) |
| Shelf 9 |          0 | 1 pair (2-item)   | 2 single (2-item) | 1 pair (2-item)   | 2 single (2-item)    | 1 pair (2-item)   |
'-----------------------------------------------------------------------------------------------------------------------------'

===

.--------------------------------------------------------------------------------------.
|  Shelf  | Lock Count |  Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |   Layer 4  |
|---------|------------|-----------|------------|------------|------------|------------|
| Shelf 0 |          4 | [0,23,23] | [32,30,0]  | [35,0,31]  | [21,25,0]  | [25,25,0]  |
| Shelf 1 |          8 | [18,18,0] | [0,29,29]  | [27,0,27]  | [20,0,20]  | [0,35,4]   |
| Shelf 2 |          0 | [32,32,0] | [0,6,6]    | [12,0,12]  | [0,22,22]  | [20,33,3]  |
| Shelf 3 |          0 | [28,0,36] | [0,8,8]    | [11,11,0]  | [0,5,5]    | [4,13,4]   |
| Shelf 4 |          0 | [16,0,16] | [0,17,17]  | [24,0,24]  | [19,19,34] | [0,0,1]    |
| Shelf 5 |          0 | [2,0,0]   | [18,36,23] | [11,12,14] | [15,34,0]  | [1,0,1]    |
| Shelf 6 |          0 | [26,0,26] | [0,34,16]  | [7,36,0]   | [10,10,0]  | [19,13,13] |
| Shelf 7 |          0 | [30,30,0] | [28,28,0]  | [0,14,14]  | [31,31,0]  | [0,35,0]   |
| Shelf 8 |          0 | [17,29,0] | [26,8,24]  | [7,7,0]    | [33,33,0]  | [22,3,3]   |
| Shelf 9 |          0 | [2,2,0]   | [27,9,6]   | [15,9,15]  | [9,5,10]   | [0,21,21]  |
'--------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |       2 |          5 |        9 |
|    1 |      23 |          5 |        4 |
|    2 |      17 |          8 |        2 |
|    3 |      29 |          8 |        3 |
|    4 |      26 |          8 |        6 |
|    5 |      23 |          4 |        7 |
|    6 |      16 |          6 |        4 |
|    7 |      17 |          2 |        4 |
|    8 |      23 |          7 |        0 |
|    9 |      32 |          0 |        2 |
|   10 |      30 |          0 |        7 |
|   11 |      28 |          3 |        7 |
|   12 |      18 |          5 |        1 |
|   13 |      29 |          3 |        1 |
|   14 |      24 |          8 |        4 |
|   15 |      27 |          9 |        1 |
|   16 |       6 |          9 |        2 |
|   17 |      36 |          3 |        5 |
|   18 |       8 |          8 |        3 |
|   19 |      34 |          6 |        0 |
|   20 |      36 |          6 |        5 |
|   21 |      12 |          5 |        2 |
|   22 |      11 |          5 |        3 |
|   23 |      14 |          5 |        7 |
|   24 |      31 |          0 |        7 |
|   25 |       7 |          6 |        8 |
|   26 |       9 |          9 |        0 |
|   27 |       9 |          9 |        1 |
|   28 |      15 |          5 |        9 |
|   29 |       5 |          9 |        3 |
|   30 |      10 |          9 |        6 |
|   31 |      34 |          0 |        5 |
|   32 |      34 |          4 |        5 |
|   33 |      19 |          6 |        4 |
|   34 |      13 |          3 |        6 |
|   35 |       1 |          4 |        5 |
|   36 |       9 |          0 |        9 |
|   37 |       9 |          1 |        9 |
|   38 |      35 |          0 |        7 |
|   39 |      21 |          0 |        9 |
|   40 |      25 |          0 |        4 |
|   41 |      25 |          4 |        0 |
|   42 |      20 |          1 |        4 |
|   43 |      20 |          1 |        4 |
|   44 |       4 |          1 |        3 |
|   45 |      35 |          1 |        7 |
|   46 |      33 |          8 |        4 |
|   47 |      33 |          8 |        0 |
|   48 |      22 |          8 |        2 |
|   49 |       3 |          2 |        8 |
|   50 |      33 |          2 |        0 |
|   51 |      33 |          4 |        0 |
|   52 |      20 |          2 |        4 |
'----------------------------------------'
