Number of IDs: 44
Number of Shelves: 15
Number of Layers: 4
Locked Shelves: 2

W3 IDs: [42, 44, 43]
W2 IDs: [40, 28, 34, 31, 32, 26, 36, 25, 41, 37, 39, 38, 30, 29, 33, 35, 27]
W1 IDs: [21, 17, 6, 14, 19, 2, 11, 22, 9, 13, 7, 24, 23, 4, 8, 18, 12, 3, 1, 15, 10, 20, 5, 16]
W1 Solver-Placed IDs: [21, 6]

===

.----------------------------------------------------------------------------------------------------------------.
|   Shelf  | Lock Count |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |
|----------|------------|-------------------|----------------------|----------------------|----------------------|
| Shelf 0  |          4 | 2 single (2-item) | 3 single (3-item)    | 1 pair (2-item)      | 1 single (1-item)    |
| Shelf 1  |          8 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    | 1 pair (2-item)      |
| Shelf 2  |          0 | 1 pair (2-item)   | 2 single (2-item)    | 2 single (2-item)    | pair+single (3-item) |
| Shelf 3  |          0 | 2 single (2-item) | pair+single (3-item) | 1 pair (2-item)      | 1 pair (2-item)      |
| Shelf 4  |          0 | 2 single (2-item) | 3 single (3-item)    | 1 pair (2-item)      | 1 pair (2-item)      |
| Shelf 5  |          0 | 1 pair (2-item)   | 1 pair (2-item)      | pair+single (3-item) | pair+single (3-item) |
| Shelf 6  |          0 | 1 pair (2-item)   | 3 single (3-item)    | 1 pair (2-item)      | 1 single (1-item)    |
| Shelf 7  |          0 | 2 single (2-item) | 2 single (2-item)    | 3 single (3-item)    | 1 single (1-item)    |
| Shelf 8  |          0 | 2 single (2-item) | 1 single (1-item)    | 3 single (3-item)    | 1 pair (2-item)      |
| Shelf 9  |          0 | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)      | 1 pair (2-item)      |
| Shelf 10 |          0 | 1 pair (2-item)   | 1 pair (2-item)      | 1 pair (2-item)      | 1 pair (2-item)      |
| Shelf 11 |          0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    |
| Shelf 12 |          0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) | 1 pair (2-item)      |
| Shelf 13 |          0 | 2 single (2-item) | 1 single (1-item)    | pair+single (3-item) | 3 single (3-item)    |
| Shelf 14 |          0 | 1 pair (2-item)   | 1 pair (2-item)      | 2 single (2-item)    | 1 single (1-item)    |
'----------------------------------------------------------------------------------------------------------------'

===

.--------------------------------------------------------------------------.
|   Shelf  | Lock Count |  Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |
|----------|------------|-----------|------------|------------|------------|
| Shelf 0  |          4 | [15,0,31] | [0,25,30]  | [11,0,11]  | [0,0,27]   |
| Shelf 1  |          8 | [32,32,0] | [33,24,33] | [44,35,39] | [0,1,1]    |
| Shelf 2  |          0 | [25,0,25] | [34,41,0]  | [5,0,0]    | [17,7,7]   |
| Shelf 3  |          0 | [19,9,0]  | [29,29,0]  | [5,0,5]    | [35,0,35]  |
| Shelf 4  |          0 | [33,38,0] | [20,28,0]  | [27,27,0]  | [36,36,0]  |
| Shelf 5  |          0 | [0,8,8]   | [40,40,0]  | [41,41,11] | [22,22,42] |
| Shelf 6  |          0 | [4,0,4]   | [43,13,13] | [6,30,30]  | [6,22,6]   |
| Shelf 7  |          0 | [0,0,44]  | [16,16,0]  | [10,14,14] | [0,1,0]    |
| Shelf 8  |          0 | [0,12,0]  | [42,0,0]   | [23,40,29] | [26,0,26]  |
| Shelf 9  |          0 | [8,0,4]   | [16,0,13]  | [0,37,37]  | [39,39,0]  |
| Shelf 10 |          0 | [0,12,12] | [0,20,20]  | [0,3,3]    | [17,0,17]  |
| Shelf 11 |          0 | [34,0,34] | [31,44,31] | [26,23,23] | [2,18,2]   |
| Shelf 12 |          0 | [0,9,9]   | [32,24,24] | [36,10,10] | [18,0,18]  |
| Shelf 13 |          0 | [19,19,0] | [43,0,0]   | [28,42,28] | [37,2,7]   |
| Shelf 14 |          0 | [0,15,15] | [38,0,38]  | [14,21,3]  | [21,21,43] |
'--------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |       9 |          3 |       12 |
|    1 |      19 |          3 |       13 |
|    2 |      12 |          8 |       10 |
|    3 |       8 |          9 |        5 |
|    4 |      15 |          0 |       14 |
|    5 |      38 |          4 |       14 |
|    6 |       4 |          9 |        6 |
|    7 |      43 |          6 |       13 |
|    8 |      13 |          9 |        6 |
|    9 |      32 |         12 |        1 |
|   10 |      24 |          1 |       12 |
|   11 |      33 |          4 |        1 |
|   12 |      20 |          4 |       10 |
|   13 |       3 |         14 |       10 |
|   14 |      31 |          0 |        3 |
|   15 |      25 |          0 |        2 |
|   16 |      34 |          2 |       11 |
|   17 |      44 |          1 |        7 |
|   18 |      44 |         11 |        7 |
|   19 |      31 |          3 |       11 |
|   20 |      16 |          9 |        7 |
|   21 |      30 |          6 |        0 |
|   22 |      30 |          6 |        0 |
|   23 |      10 |          7 |        0 |
|   24 |      14 |         14 |        7 |
|   25 |      11 |          0 |        4 |
|   26 |      28 |          4 |        7 |
|   27 |       6 |          6 |        2 |
|   28 |      35 |          1 |        3 |
|   29 |      39 |          1 |        0 |
|   30 |       1 |          7 |        1 |
|   31 |      22 |          6 |        1 |
|   32 |       6 |          2 |        6 |
|   33 |      42 |          8 |        6 |
|   34 |      40 |          8 |        5 |
|   35 |      11 |          0 |        4 |
|   36 |      11 |          5 |        4 |
|   37 |      41 |          2 |        5 |
|   38 |      22 |          5 |        1 |
|   39 |      22 |          5 |        1 |
|   40 |       5 |          2 |        1 |
|   41 |      17 |          2 |       10 |
|   42 |      35 |          3 |       10 |
|   43 |      29 |          8 |        3 |
|   44 |       5 |          1 |        3 |
|   45 |      35 |         10 |        3 |
|   46 |      23 |         11 |        8 |
|   47 |      23 |         11 |        8 |
|   48 |      26 |         11 |        8 |
|   49 |      36 |         12 |        1 |
|   50 |      10 |          0 |       12 |
|   51 |      18 |         11 |       12 |
|   52 |      39 |          0 |        3 |
|   53 |      27 |          0 |        4 |
|   54 |      36 |          1 |        4 |
|   55 |      21 |         14 |        0 |
|   56 |      43 |         14 |       13 |
|   57 |      21 |          0 |       14 |
|   58 |      42 |          5 |        6 |
|   59 |      42 |         13 |        6 |
|   60 |      28 |          7 |       13 |
|   61 |      37 |         13 |        9 |
|   62 |      39 |          3 |        9 |
|   63 |       7 |         13 |        2 |
|   64 |       2 |         13 |       11 |
'----------------------------------------'
