Number of IDs: 37
Number of Shelves: 7
Number of Layers: 7
Locked Shelves: 2

W3 IDs: [36, 37, 35]
W2 IDs: [28, 33, 34, 26, 23, 30, 24, 25, 32, 21, 31, 27, 29, 22]
W1 IDs: [17, 12, 9, 20, 4, 15, 14, 7, 3, 11, 16, 6, 5, 19, 1, 18, 10, 13, 2, 8]
W1 Solver-Placed IDs: [1, 19, 7, 20]

===

.------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
|  Shelf  | Lock Count |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |       Layer 4        |       Layer 5        |       Layer 6        |
|---------|------------|-------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| Shelf 0 |          4 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | 2 single (2-item)    | 3 single (3-item)    | pair+single (3-item) | 1 pair (2-item)      |
| Shelf 1 |          8 | 1 pair (2-item)   | 2 single (2-item)    | 1 pair (2-item)      | 3 single (3-item)    | pair+single (3-item) | 1 pair (2-item)      | 1 pair (2-item)      |
| Shelf 2 |          0 | 1 pair (2-item)   | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | 1 pair (2-item)      |
| Shelf 3 |          0 | 2 single (2-item) | pair+single (3-item) | 1 pair (2-item)      | pair+single (3-item) | 1 single (1-item)    | 2 single (2-item)    | 3 single (3-item)    |
| Shelf 4 |          0 | 1 pair (2-item)   | pair+single (3-item) | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| Shelf 5 |          0 | 1 pair (2-item)   | 2 single (2-item)    | 1 single (1-item)    | 1 pair (2-item)      | pair+single (3-item) | 1 pair (2-item)      | 2 single (2-item)    |
| Shelf 6 |          0 | 1 pair (2-item)   | 2 single (2-item)    | 1 pair (2-item)      | 1 pair (2-item)      | 1 single (1-item)    | 1 single (1-item)    | 2 single (2-item)    |
'------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------'

===

.---------------------------------------------------------------------------------------------------------------.
|  Shelf  | Lock Count |  Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |   Layer 4  |   Layer 5  |  Layer 6  |
|---------|------------|-----------|------------|------------|------------|------------|------------|-----------|
| Shelf 0 |          4 | [0,14,0]  | [24,24,4]  | [9,26,26]  | [19,36,35] | [3,19,23]  | [34,13,34] | [31,0,31] |
| Shelf 1 |          8 | [29,0,29] | [0,11,28]  | [16,19,16] | [2,26,18]  | [22,8,8]   | [13,0,13]  | [6,0,6]   |
| Shelf 2 |          0 | [15,15,0] | [0,0,1]    | [16,9,9]   | [1,35,1]   | [8,25,25]  | [10,32,10] | [0,12,12] |
| Shelf 3 |          0 | [15,0,5]  | [4,37,4]   | [33,0,33]  | [18,37,18] | [21,20,20] | [20,25,10] | [17,6,30] |
| Shelf 4 |          0 | [27,27,0] | [29,11,11] | [0,37,0]   | [36,2,2]   | [32,32,0]  | [22,36,22] | [17,0,17] |
| Shelf 5 |          0 | [0,5,5]   | [27,0,0]   | [0,24,0]   | [0,23,23]  | [3,0,3]    | [30,0,30]  | [12,0,0]  |
| Shelf 6 |          0 | [0,14,14] | [33,35,0]  | [0,28,28]  | [0,21,21]  | [0,7,0]    | [7,7,31]   | [0,34,0]  |
'---------------------------------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |       5 |          3 |        5 |
|    1 |      27 |          5 |        4 |
|    2 |      11 |          4 |        3 |
|    3 |      15 |          3 |        2 |
|    4 |       1 |          2 |        3 |
|    5 |       9 |          2 |        4 |
|    6 |      14 |          6 |        5 |
|    7 |      14 |          5 |        6 |
|    8 |       9 |          2 |        5 |
|    9 |      16 |          2 |        3 |
|   10 |      35 |          2 |        5 |
|   11 |       1 |          3 |        2 |
|   12 |      14 |          0 |        6 |
|   13 |      11 |          4 |        3 |
|   14 |       4 |          0 |        4 |
|   15 |      24 |          5 |        0 |
|   16 |      26 |          0 |        5 |
|   17 |       9 |          4 |        0 |
|   18 |      26 |          0 |        4 |
|   19 |       9 |          5 |        0 |
|   20 |      35 |          0 |        5 |
|   21 |      26 |          5 |        0 |
|   22 |      35 |          6 |        5 |
|   23 |      29 |          4 |        1 |
|   24 |      33 |          6 |        5 |
|   25 |      28 |          1 |        6 |
|   26 |      16 |          3 |        1 |
|   27 |      11 |          1 |        3 |
|   28 |      26 |          0 |        4 |
|   29 |      37 |          3 |        0 |
|   30 |       4 |          4 |        3 |
|   31 |      33 |          5 |        3 |
|   32 |      16 |          1 |        4 |
|   33 |      19 |          1 |        5 |
|   34 |      16 |          4 |        1 |
|   35 |      26 |          1 |        4 |
|   36 |      37 |          0 |        4 |
|   37 |      37 |          3 |        4 |
|   38 |      18 |          1 |        3 |
|   39 |      21 |          3 |        6 |
|   40 |      36 |          4 |        0 |
|   41 |       2 |          1 |        4 |
|   42 |      22 |          1 |        3 |
|   43 |       8 |          2 |        1 |
|   44 |       7 |          6 |        4 |
|   45 |      31 |          6 |        2 |
|   46 |       7 |          4 |        6 |
|   47 |      31 |          2 |        6 |
|   48 |      34 |          6 |        4 |
|   49 |      25 |          2 |        1 |
|   50 |      25 |          2 |        6 |
|   51 |      34 |          4 |        6 |
|   52 |      32 |          2 |        4 |
|   53 |      19 |          0 |        2 |
|   54 |      36 |          4 |        0 |
|   55 |      22 |          3 |        4 |
|   56 |      34 |          6 |        4 |
|   57 |      25 |          6 |        3 |
|   58 |      23 |          5 |        6 |
|   59 |      19 |          0 |        5 |
|   60 |      31 |          6 |        0 |
|   61 |      19 |          5 |        6 |
|   62 |      23 |          0 |        5 |
|   63 |      19 |          5 |        6 |
|   64 |      23 |          6 |        5 |
|   65 |       3 |          0 |        5 |
|   66 |      19 |          2 |        6 |
|   67 |      31 |          0 |        6 |
|   68 |      13 |          0 |        2 |
|   69 |      34 |          4 |        0 |
|   70 |      31 |          6 |        0 |
|   71 |      25 |          1 |        6 |
|   72 |      25 |          6 |        5 |
|   73 |      30 |          5 |        4 |
|   74 |      30 |          5 |        0 |
|   75 |      30 |          4 |        0 |
|   76 |      13 |          2 |        1 |
|   77 |      25 |          5 |        4 |
|   78 |      10 |          2 |        6 |
|   79 |      10 |          2 |        5 |
|   80 |      10 |          6 |        2 |
|   81 |      10 |          5 |        1 |
|   82 |      12 |          2 |        0 |
|   83 |      12 |          0 |        5 |
|   84 |      12 |          2 |        5 |
|   85 |      20 |          3 |        2 |
|   86 |      17 |          4 |        3 |
|   87 |      20 |          3 |        2 |
|   88 |      17 |          3 |        0 |
|   89 |      25 |          3 |        4 |
|   90 |      10 |          2 |        5 |
|   91 |      20 |          3 |        2 |
|   92 |      17 |          4 |        5 |
|   93 |      17 |          5 |        4 |
|   94 |      17 |          4 |        5 |
