Version: 2

Number of IDs: 33
Common Shelves: 9 - Single Shelves: 2
Number of Layers: 4
Locked Shelves: 0
Pair Rate: 0,7500
Pair Amount: 25 - Single Amount: 49
Weight: W1=0,5500 - W2=0,4000 - W3=0,0500
W1 Validation Threshold: 0,8500

W3 IDs: [33, 32]
W2 IDs: [22, 24, 26, 21, 25, 19, 20, 27, 31, 23, 28, 29, 30]
W1 IDs: [1, 5, 3, 11, 10, 15, 4, 14, 12, 9, 18, 16, 13, 7, 6, 17, 8, 2]
W1 Solver-Placed IDs: [18, 9]

===

.----------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|
| 0     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) |
| 1     |        |    0 | 2 single (2-item) | 1 pair (2-item)      | pair+single (3-item) | pair+single (3-item) |
| 2     |        |    0 | 2 single (2-item) | pair+single (3-item) | 2 single (2-item)    | pair+single (3-item) |
| 3     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    | 3 single (3-item)    |
| 4     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 1 pair (2-item)      | pair+single (3-item) |
| 5     |        |    0 | 2 single (2-item) | 1 pair (2-item)      | pair+single (3-item) | 1 single (1-item)    |
| 6     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 7     |        |    0 | 1 pair (2-item)   | 2 single (2-item)    | pair+single (3-item) | pair+single (3-item) |
| 8     |        |    0 | 2 single (2-item) | pair+single (3-item) | 1 pair (2-item)      | pair+single (3-item) |
| 9     | x      |    0 | 1 single (1-item) | 1 single (1-item)    | 1 single (1-item)    | 1 single (1-item)    |
| 10    | x      |    0 | 1 single (1-item) | 1 single (1-item)    | 1 single (1-item)    | 1 single (1-item)    |
'----------------------------------------------------------------------------------------------------------------'

===

.--------------------------------------------------------------------------.
| Shelf | Single | Lock |  Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |
|-------|--------|------|-----------|------------|------------|------------|
| 0     |        |    0 | [0,3,3]   | [12,12,15] | [16,26,16] | [33,11,11] |
| 1     |        |    0 | [14,14,0] | [0,29,29]  | [24,4,24]  | [32,13,13] |
| 2     |        |    0 | [0,3,25]  | [33,25,25] | [0,4,4]    | [27,13,27] |
| 3     |        |    0 | [17,17,0] | [33,28,28] | [5,27,5]   | [31,8,21]  |
| 4     |        |    0 | [7,9,7]   | [15,15,32] | [21,21,9]  | [8,2,8]    |
| 5     |        |    0 | [0,6,0]   | [0,23,23]  | [19,22,19] | [9,0,0]    |
| 6     |        |    0 | [17,0,14] | [1,0,1]    | [20,20,29] | [10,11,10] |
| 7     |        |    0 | [6,0,6]   | [12,1,0]   | [30,30,5]  | [20,22,22] |
| 8     |        |    0 | [28,0,18] | [24,26,26] | [31,0,31]  | [10,2,2]   |
| 9     | x      |    0 | [23]      | [18]       | [16]       | [30]       |
| 10    | x      |    0 | [7]       | [18]       | [32]       | [19]       |
'--------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |       3 |          2 |        0 |
|    1 |       6 |          5 |        7 |
|    2 |      14 |          6 |        1 |
|    3 |      17 |          6 |        3 |
|    4 |       1 |          7 |        6 |
|    5 |      29 |          6 |        1 |
|    6 |      23 |          9 |        5 |
|    7 |      12 |          0 |        7 |
|    8 |      12 |          0 |        7 |
|    9 |      33 |          3 |        0 |
|   10 |      28 |          8 |        3 |
|   11 |      27 |          3 |        0 |
|   12 |       5 |          7 |        3 |
|   13 |       9 |          4 |        2 |
|   14 |       7 |         10 |        4 |
|   15 |      18 |          9 |        8 |
|   16 |      18 |         10 |        8 |
|   17 |      16 |          9 |        6 |
|   18 |      30 |          9 |        7 |
|   19 |       4 |          1 |        2 |
|   20 |      24 |          8 |        1 |
|   21 |      32 |          4 |        8 |
|   22 |      15 |          0 |        4 |
|   23 |       9 |          4 |        0 |
|   24 |      21 |          3 |        4 |
|   25 |       2 |          4 |        3 |
|   26 |       8 |          3 |        4 |
|   27 |      20 |          7 |        4 |
|   28 |      22 |          5 |        7 |
|   29 |      32 |         10 |        7 |
|   30 |      19 |         10 |        5 |
|   31 |       9 |          0 |        5 |
|   32 |       9 |          2 |        5 |
|   33 |      32 |          1 |        7 |
|   34 |      32 |          8 |        7 |
|   35 |      26 |          8 |        4 |
|   36 |       2 |          3 |        7 |
|   37 |      26 |          8 |        4 |
|   38 |      31 |          3 |        8 |
|   39 |       2 |          8 |        7 |
|   40 |       2 |          8 |        7 |
|   41 |      26 |          4 |        3 |
|   42 |      10 |          8 |        4 |
|   43 |      33 |          0 |        3 |
|   44 |      16 |          6 |        3 |
|   45 |      20 |          4 |        6 |
|   46 |      27 |          0 |        2 |
|   47 |      11 |          6 |        4 |
|   48 |      10 |          4 |        6 |
|   49 |      26 |          0 |        4 |
|   50 |      16 |          3 |        0 |
|   51 |      33 |          0 |        3 |
|   52 |      11 |          4 |        0 |
|   53 |      13 |          1 |        7 |
|   54 |      13 |          7 |        4 |
|   55 |      26 |          3 |        6 |
|   56 |      13 |          4 |        6 |
|   57 |       4 |          2 |        0 |
|   58 |      27 |          2 |        3 |
|   59 |      13 |          6 |        2 |
|   60 |      26 |          6 |        4 |
|   61 |      13 |          2 |        1 |
|   62 |      25 |          2 |        4 |
|   63 |      33 |          2 |        5 |
|   64 |      25 |          4 |        2 |
|   65 |       4 |          0 |        2 |
|   66 |      13 |          2 |        1 |
|   67 |      27 |          3 |        2 |
|   68 |      33 |          5 |        3 |
'----------------------------------------'
