Version: 2

Number of IDs: 37
Common Shelves: 8 - Single Shelves: 0
Number of Layers: 6
Locked Shelves: 2
Pair Rate: 0.7000
Pair Amount: 26 - Single Amount: 59
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.7000

W3 IDs: [35, 37, 36]
W2 IDs: [26, 30, 23, 31, 34, 27, 21, 28, 25, 29, 33, 32, 24, 22]
W1 IDs: [6, 4, 19, 7, 18, 11, 12, 15, 1, 13, 16, 3, 8, 10, 20, 14, 2, 9, 17, 5]
W1 Solver-Placed IDs: [1, 10]
Edited IDs: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 32, 33, 35, 36, 37]

===
.--------------------------------------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |       Layer 4        |       Layer 5        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| 0     |        |    4 | 1 pair (2-item)   | 3 single (3-item)    | 1 single (1-item)    | 2 single (2-item)    | 1 single (1-item)    | 2 single (2-item)    |
| 1     |        |    8 | 1 pair (2-item)   | 1 single (1-item)    | 2 single (2-item)    | 1 pair (2-item)      | 1 pair (2-item)      | pair+single (3-item) |
| 2     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 1 single (1-item)    | pair+single (3-item) | 1 single (1-item)    | 1 pair (2-item)      |
| 3     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    | 3 single (3-item)    | pair+single (3-item) |
| 4     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 1 pair (2-item)      | 1 single (1-item)    | 3 single (3-item)    | pair+single (3-item) |
| 5     |        |    0 | 2 single (2-item) | 1 pair (2-item)      | 1 pair (2-item)      | 3 single (3-item)    | 1 pair (2-item)      | 3 single (3-item)    |
| 6     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | 1 pair (2-item)      | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    |
| 7     |        |    0 | 2 single (2-item) | 3 single (3-item)    | pair+single (3-item) | 1 pair (2-item)      | 3 single (3-item)    | pair+single (3-item) |
'--------------------------------------------------------------------------------------------------------------------------------------------------------------'

===

.---------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |  Layer 4  |  Layer 5  |
|-------|--------|------|------------|------------|------------|------------|-----------|-----------|
| 0     |        |    8 | [0,18,18]  | [7,7,29]   | [0,36,36]  | [19,31,0]  | [5,37,37] | [0,1,1]   |
| 1     |        |    0 | [29,29,27] | [23,10,10] | [28,0,28]  | [0,21,21]  | [8,30,8]  | [24,0,0]  |
| 2     |        |    0 | [11,11,0]  | [22,15,22] | [16,26,26] | [37,25,25] | [2,2,0]   | [0,6,14]  |
| 3     |        |    0 | [9,18,15]  | [13,0,13]  | [36,32,0]  | [33,33,5]  | [6,8,6]   | [0,0,0]   |
| 4     |        |    0 | [4,20,20]  | [0,9,7]    | [31,35,31] | [17,17,0]  | [19,19,1] | [0,0,0]   |
| 5     |        |    0 | [35,15,0]  | [4,22,4]   | [34,34,10] | [0,3,17]   | [32,0,32] | [0,2,25]  |
| 6     |        |    0 | [27,27,0]  | [12,11,12] | [28,23,23] | [3,3,34]   | [30,30,0] | [0,0,0]   |
| 7     |        |    4 | [9,35,20]  | [13,12,26] | [16,21,16] | [33,0,5]   | [24,24,0] | [14,0,14] |
'---------------------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      27 |          1 |        6 |
|    1 |      11 |          6 |        2 |
|    2 |      15 |          2 |        5 |
|    3 |      18 |          3 |        2 |
|    4 |      35 |          5 |        1 |
|    5 |      15 |          3 |        5 |
|    6 |      18 |          2 |        6 |
|    7 |      22 |          5 |        2 |
|    8 |       4 |          4 |        5 |
|    9 |      20 |          7 |        4 |
|   10 |       9 |          4 |        3 |
|   11 |       9 |          7 |        3 |
|   12 |      35 |          7 |        4 |
|   13 |      13 |          7 |        3 |
|   14 |      18 |          6 |        0 |
|   15 |      12 |          7 |        6 |
|   16 |      35 |          1 |        4 |
|   17 |      29 |          0 |        1 |
|   18 |       7 |          4 |        0 |
|   19 |      36 |          3 |        0 |
|   20 |      26 |          2 |        7 |
|   21 |      26 |          2 |        7 |
|   22 |      16 |          7 |        2 |
|   23 |      16 |          7 |        2 |
|   24 |      23 |          1 |        0 |
|   25 |      10 |          5 |        1 |
|   26 |      28 |          6 |        1 |
|   27 |      23 |          0 |        6 |
|   28 |      34 |          6 |        5 |
|   29 |       3 |          5 |        6 |
|   30 |      21 |          7 |        1 |
|   31 |      30 |          1 |        6 |
|   32 |      17 |          5 |        6 |
|   33 |      32 |          3 |        5 |
|   34 |       5 |          3 |        7 |
|   35 |      33 |          7 |        3 |
|   36 |       8 |          3 |        1 |
|   37 |      37 |          2 |        0 |
|   38 |      25 |          5 |        2 |
|   39 |       2 |          5 |        2 |
|   40 |       6 |          2 |        3 |
|   41 |       5 |          7 |        6 |
|   42 |       5 |          7 |        6 |
|   43 |      24 |          1 |        7 |
|   44 |      14 |          2 |        7 |
|   45 |      37 |          0 |        3 |
|   46 |      19 |          0 |        4 |
|   47 |      31 |          0 |        1 |
|   48 |      17 |          6 |        2 |
|   49 |       5 |          0 |        6 |
|   50 |      17 |          2 |        1 |
|   51 |      35 |          4 |        2 |
|   52 |      37 |          3 |        0 |
|   53 |      19 |          4 |        0 |
|   54 |      35 |          4 |        2 |
|   55 |      35 |          4 |        2 |
|   56 |      31 |          1 |        4 |
|   57 |      17 |          1 |        4 |
|   58 |      19 |          0 |        1 |
|   59 |       1 |          4 |        0 |
|   60 |      19 |          1 |        4 |
'----------------------------------------'
