Version: 2

Number of IDs: 40
Common Shelves: 12 - Single Shelves: 0
Number of Layers: 4
Locked Shelves: 0
Pair Rate: 0.8000
Pair Amount: 32 - Single Amount: 56
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.7000

W3 IDs: [40, 39]
W2 IDs: [32, 25, 37, 35, 33, 23, 29, 38, 28, 36, 30, 26, 34, 27, 24, 31]
W1 IDs: [14, 9, 13, 16, 18, 12, 3, 4, 7, 5, 10, 1, 21, 2, 22, 6, 8, 20, 19, 17, 15, 11]
W1 Solver-Placed IDs: [10, 7, 12, 16]
Edited IDs: [1, 2, 5, 6, 7, 8, 10, 12, 13, 18, 27, 29, 30, 32, 33, 35, 37, 38]

===
.----------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|
| 0     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 1 pair (2-item)      | 1 pair (2-item)      |
| 1     |        |    0 | 1 pair (2-item)   | 2 single (2-item)    | pair+single (3-item) | pair+single (3-item) |
| 2     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) |
| 3     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 3 single (3-item)    | 1 pair (2-item)      |
| 4     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | pair+single (3-item) | pair+single (3-item) |
| 5     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) | 2 single (2-item)    |
| 6     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) |
| 7     |        |    0 | 2 single (2-item) | 3 single (3-item)    | pair+single (3-item) | 1 pair (2-item)      |
| 8     |        |    0 | 1 pair (2-item)   | 2 single (2-item)    | 1 pair (2-item)      | 3 single (3-item)    |
| 9     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    | 2 single (2-item)    |
| 10    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) |
| 11    |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 2 single (2-item)    | 1 pair (2-item)      |
'----------------------------------------------------------------------------------------------------------------'

===

.---------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |
|-------|--------|------|------------|------------|------------|------------|
| 0     |        |    0 | [32,0,32]  | [3,39,3]   | [0,24,24]  | [21,21,0]  |
| 1     |        |    0 | [7,7,0]    | [0,32,5]   | [8,30,8]   | [23,21,23] |
| 2     |        |    0 | [0,18,18]  | [22,31,22] | [25,17,0]  | [4,40,4]   |
| 3     |        |    0 | [28,0,18]  | [14,33,0]  | [1,0,8]    | [30,35,30] |
| 4     |        |    0 | [2,2,0]    | [7,38,38]  | [1,39,1]   | [20,15,20] |
| 5     |        |    0 | [0,33,33]  | [27,5,5]   | [34,16,34] | [9,20,16]  |
| 6     |        |    0 | [12,27,27] | [13,0,13]  | [26,16,26] | [39,11,11] |
| 7     |        |    0 | [6,12,2]   | [14,14,24] | [31,31,36] | [0,15,15]  |
| 8     |        |    0 | [6,6,12]   | [37,13,10] | [17,0,17]  | [34,11,0]  |
| 9     |        |    0 | [29,29,0]  | [40,28,28] | [38,19,23] | [26,4,0]   |
| 10    |        |    0 | [10,0,10]  | [22,29,0]  | [35,35,40] | [0,9,9]    |
| 11    |        |    0 | [37,0,37]  | [36,36,3]  | [0,19,19]  | [0,25,25]  |
'---------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      18 |          3 |        2 |
|    1 |       2 |          7 |        4 |
|    2 |       7 |          4 |        1 |
|    3 |      32 |          1 |        0 |
|    4 |      12 |          8 |        7 |
|    5 |       6 |          7 |        8 |
|    6 |      12 |          6 |        7 |
|    7 |      10 |          8 |       10 |
|    8 |      37 |          8 |       11 |
|    9 |      29 |         10 |        9 |
|   10 |      22 |          2 |       10 |
|   11 |      22 |          2 |       10 |
|   12 |      28 |          9 |        3 |
|   13 |      28 |          9 |        3 |
|   14 |      33 |          3 |        5 |
|   15 |      27 |          5 |        6 |
|   16 |       5 |          1 |        5 |
|   17 |      13 |          8 |        6 |
|   18 |      14 |          7 |        3 |
|   19 |      14 |          7 |        3 |
|   20 |      39 |          0 |        2 |
|   21 |       3 |         11 |        0 |
|   22 |      24 |          7 |        0 |
|   23 |      36 |          7 |       11 |
|   24 |      31 |          2 |        7 |
|   25 |      30 |          1 |        0 |
|   26 |       8 |          3 |        1 |
|   27 |      30 |          0 |        2 |
|   28 |      21 |          1 |        0 |
|   29 |      40 |          9 |        0 |
|   30 |      23 |          9 |        1 |
|   31 |      38 |          9 |        4 |
|   32 |      19 |          9 |       11 |
|   33 |      39 |          4 |        2 |
|   34 |       1 |          3 |        4 |
|   35 |      15 |          4 |        7 |
|   36 |      40 |         10 |        9 |
|   37 |      35 |          3 |       10 |
|   38 |      30 |          2 |        3 |
|   39 |      16 |          6 |        1 |
|   40 |      26 |          9 |        6 |
|   41 |      39 |          6 |        2 |
|   42 |      17 |          2 |        8 |
|   43 |      25 |          2 |       11 |
|   44 |      11 |          8 |        6 |
|   45 |      40 |          2 |        0 |
|   46 |      40 |          9 |        0 |
|   47 |       4 |          9 |        2 |
|   48 |      16 |          5 |        1 |
|   49 |      34 |          8 |        5 |
|   50 |      16 |          5 |        1 |
|   51 |      20 |          5 |        4 |
|   52 |       9 |          5 |       10 |
'----------------------------------------'
