Version: 2

Number of IDs: 46
Common Shelves: 17 - Single Shelves: 0
Number of Layers: 3
Locked Shelves: 0
Pair Rate: 0.7000
Pair Amount: 32 - Single Amount: 74
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.7000

W3 IDs: [44, 46, 45]
W2 IDs: [29, 31, 35, 30, 41, 34, 43, 33, 38, 40, 36, 37, 42, 39, 28, 32, 27, 26]
W1 IDs: [15, 1, 11, 9, 18, 21, 6, 8, 5, 16, 2, 12, 14, 4, 17, 3, 19, 25, 22, 24, 23, 20, 7, 13, 10]
W1 Solver-Placed IDs: [11, 18, 15, 24]
Edited IDs: [2, 8, 11, 13, 15, 18, 23, 24, 37, 38, 39, 41, 42, 44, 45]

===
.--------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |       Layer 0        |       Layer 1        |       Layer 2        |
|-------|--------|------|----------------------|----------------------|----------------------|
| 0     |        |    0 | 2 single (2-item)    | 3 single (3-item)    | 3 single (3-item)    |
| 1     |        |    0 | 2 single (2-item)    | pair+single (3-item) | pair+single (3-item) |
| 2     |        |    0 | 1 pair (2-item)      | pair+single (3-item) | pair+single (3-item) |
| 3     |        |    0 | 2 single (2-item)    | pair+single (3-item) | pair+single (3-item) |
| 4     |        |    0 | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 5     |        |    0 | 1 pair (2-item)      | pair+single (3-item) | pair+single (3-item) |
| 6     |        |    0 | 1 pair (2-item)      | 3 single (3-item)    | pair+single (3-item) |
| 7     |        |    0 | 1 pair (2-item)      | 3 single (3-item)    | 3 single (3-item)    |
| 8     |        |    0 | 1 pair (2-item)      | pair+single (3-item) | pair+single (3-item) |
| 9     |        |    0 | 2 single (2-item)    | 3 single (3-item)    | 3 single (3-item)    |
| 10    |        |    0 | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    |
| 11    |        |    0 | 2 single (2-item)    | 3 single (3-item)    | pair+single (3-item) |
| 12    |        |    0 | 2 single (2-item)    | pair+single (3-item) | pair+single (3-item) |
| 13    |        |    0 | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) |
| 14    |        |    0 | 2 single (2-item)    | pair+single (3-item) | pair+single (3-item) |
| 15    |        |    0 | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 16    |        |    0 | 2 single (2-item)    | 3 single (3-item)    | pair+single (3-item) |
'--------------------------------------------------------------------------------------------'

===

.--------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |
|-------|--------|------|------------|------------|------------|
| 0     |        |    0 | [0,21,21]  | [11,0,34]  | [20,25,20] |
| 1     |        |    0 | [35,11,46] | [12,43,43] | [19,14,14] |
| 2     |        |    0 | [42,42,37] | [40,40,0]  | [30,0,30]  |
| 3     |        |    0 | [0,43,0]   | [12,30,12] | [22,44,22] |
| 4     |        |    0 | [13,23,13] | [28,28,31] | [8,38,38]  |
| 5     |        |    0 | [0,9,9]    | [26,11,26] | [39,20,39] |
| 6     |        |    0 | [33,0,33]  | [44,44,39] | [22,25,25] |
| 7     |        |    0 | [3,3,2]    | [33,2,2]   | [14,5,5]   |
| 8     |        |    0 | [0,29,29]  | [35,32,35] | [4,4,46]   |
| 9     |        |    0 | [0,3,0]    | [38,6,36]  | [26,8,8]   |
| 10    |        |    0 | [36,36,21] | [15,37,37] | [5,0,10]   |
| 11    |        |    0 | [15,45,9]  | [1,16,1]   | [7,7,4]    |
| 12    |        |    0 | [18,13,18] | [16,16,45] | [10,40,10] |
| 13    |        |    0 | [15,0,24]  | [42,23,23] | [34,34,0]  |
| 14    |        |    0 | [27,24,28] | [41,29,41] | [19,45,19] |
| 15    |        |    0 | [17,17,41] | [27,18,27] | [32,46,32] |
| 16    |        |    0 | [17,24,0]  | [6,1,6]    | [31,7,31]  |
'--------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      21 |         10 |        0 |
|    1 |       9 |         11 |        5 |
|    2 |      11 |          1 |        0 |
|    3 |       3 |          7 |        9 |
|    4 |       3 |          7 |        9 |
|    5 |      36 |          9 |       10 |
|    6 |      15 |         10 |       11 |
|    7 |      37 |          2 |       10 |
|    8 |      34 |          0 |        2 |
|    9 |      11 |          5 |        0 |
|   10 |      23 |          4 |        1 |
|   11 |      13 |         12 |        4 |
|   12 |      31 |          4 |        3 |
|   13 |      28 |         14 |        4 |
|   14 |      35 |          1 |        7 |
|   15 |      31 |          3 |       16 |
|   16 |       8 |          4 |       12 |
|   17 |      38 |          9 |        4 |
|   18 |       6 |          9 |        4 |
|   19 |      26 |          9 |        5 |
|   20 |       8 |         12 |        9 |
|   21 |      25 |          0 |        9 |
|   22 |      20 |          5 |        9 |
|   23 |      39 |          5 |        9 |
|   24 |      20 |          9 |        0 |
|   25 |      24 |         14 |       13 |
|   26 |      33 |          6 |        1 |
|   27 |      42 |          2 |        5 |
|   28 |       6 |          4 |        8 |
|   29 |      41 |         15 |        0 |
|   30 |      17 |         16 |       15 |
|   31 |      18 |         15 |       12 |
|   32 |      27 |         14 |       15 |
|   33 |      41 |         14 |        0 |
|   34 |      41 |         14 |        0 |
|   35 |      29 |          8 |       14 |
|   36 |      29 |          8 |       14 |
|   37 |      45 |         11 |        0 |
|   38 |      15 |         13 |       11 |
|   39 |      24 |         16 |       13 |
|   40 |      45 |         12 |        0 |
|   41 |      16 |         11 |       12 |
|   42 |      45 |         14 |        0 |
|   43 |      42 |          2 |        9 |
|   44 |      43 |          3 |       11 |
|   45 |      12 |          3 |       10 |
|   46 |      30 |          3 |        8 |
|   47 |      34 |          2 |        4 |
|   48 |      40 |         12 |        2 |
|   49 |      42 |          5 |        7 |
|   50 |      35 |          7 |        2 |
|   51 |      39 |          5 |       12 |
|   52 |      35 |          2 |        4 |
|   53 |      30 |          8 |        2 |
|   54 |      42 |         13 |        7 |
|   55 |      23 |          1 |       13 |
|   56 |      34 |          4 |       13 |
|   57 |      33 |          1 |       14 |
|   58 |      12 |          3 |        8 |
|   59 |      46 |          1 |        4 |
|   60 |      46 |         15 |        2 |
|   61 |      33 |          6 |        0 |
|   62 |      35 |          4 |       15 |
|   63 |      12 |          1 |        8 |
|   64 |      43 |         11 |        1 |
|   65 |      33 |         14 |        0 |
|   66 |      19 |          1 |       14 |
|   67 |      39 |          6 |        5 |
|   68 |      44 |          3 |        6 |
|   69 |      22 |          6 |        3 |
|   70 |      25 |          9 |        6 |
|   71 |      39 |          9 |        5 |
|   72 |      39 |         12 |        5 |
|   73 |      10 |         10 |       12 |
|   74 |      42 |          7 |        9 |
|   75 |      42 |          7 |        9 |
|   76 |      33 |          0 |        5 |
|   77 |      14 |          1 |        5 |
|   78 |       2 |          7 |        3 |
|   79 |      33 |          0 |       10 |
|   80 |       2 |          7 |       14 |
|   81 |      31 |         16 |        0 |
|   82 |       1 |         16 |       11 |
|   83 |       6 |          8 |       16 |
|   84 |      12 |         10 |        8 |
|   85 |       2 |          3 |       14 |
|   86 |       2 |          7 |       14 |
|   87 |      46 |          4 |        2 |
|   88 |      32 |         15 |        9 |
|   89 |      33 |         10 |        7 |
|   90 |      33 |          5 |        7 |
|   91 |      14 |          1 |        5 |
|   92 |      31 |         16 |        1 |
|   93 |      14 |          7 |        5 |
|   94 |      31 |         16 |        3 |
|   95 |      31 |          0 |        7 |
|   96 |      32 |         15 |       13 |
|   97 |      31 |          1 |        3 |
|   98 |      31 |          7 |        3 |
|   99 |       5 |         10 |        7 |
|  100 |      32 |          8 |        9 |
|  101 |      35 |         15 |        8 |
|  102 |      46 |          8 |        2 |
|  103 |       7 |         16 |       13 |
|  104 |       7 |         13 |        9 |
|  105 |      32 |         13 |        8 |
|  106 |       4 |         11 |       16 |
|  107 |       7 |          9 |       11 |
|  108 |       4 |         16 |        9 |
|  109 |       4 |          9 |       16 |
|  110 |       4 |         16 |        9 |
|  111 |       4 |          9 |       16 |
|  112 |      32 |          8 |        9 |
|  113 |       4 |         16 |        8 |
'----------------------------------------'
