Version: 2

Number of IDs: 40
Common Shelves: 9 - Single Shelves: 2
Number of Layers: 5
Locked Shelves: 1
Pair Rate: 0.7500
Pair Amount: 30 - Single Amount: 60
Weight: W1=0.5500 - W2=0.4500 - W3=0.0000
W1 Validation Threshold: 0.6500

W3 IDs: []
W2 IDs: [29, 35, 27, 23, 32, 39, 25, 28, 40, 24, 31, 36, 37, 30, 34, 33, 26, 38]
W1 IDs: [4, 18, 7, 16, 15, 6, 17, 22, 10, 9, 11, 20, 8, 19, 5, 3, 14, 1, 13, 12, 21, 2]
W1 Solver-Placed IDs: [18, 14, 19, 3, 16]
Edited IDs: [1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 38, 40]

===
.---------------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |       Layer 4        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|----------------------|
| 0     |        |    4 | 2 single (2-item) | 1 pair (2-item)      | 3 single (3-item)    | pair+single (3-item) | 3 single (3-item)    |
| 1     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 2     |        |    0 | 2 single (2-item) | 1 single (1-item)    | pair+single (3-item) | 1 pair (2-item)      | pair+single (3-item) |
| 3     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | 2 single (2-item)    |
| 4     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | 1 pair (2-item)      | 1 pair (2-item)      |
| 5     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | 1 pair (2-item)      | 1 pair (2-item)      | 3 single (3-item)    |
| 6     |        |    0 | 2 single (2-item) | pair+single (3-item) | 1 pair (2-item)      | 1 pair (2-item)      | 3 single (3-item)    |
| 7     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 1 pair (2-item)      | 3 single (3-item)    | 2 single (2-item)    |
| 8     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 1 single (1-item)    | 3 single (3-item)    | pair+single (3-item) |
| 9     | x      |    0 | 1 single (1-item) | 1 single (1-item)    | 1 single (1-item)    | 1 single (1-item)    | 1 single (1-item)    |
| 10    | x      |    0 | 1 single (1-item) | 1 single (1-item)    | 1 single (1-item)    | 1 single (1-item)    | 1 single (1-item)    |
'---------------------------------------------------------------------------------------------------------------------------------------'

===

.----------------------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |   Layer 4  |
|-------|--------|------|------------|------------|------------|------------|------------|
| 0     |        |    4 | [2,2,0]    | [34,34,0]  | [28,0,32]  | [4,4,39]   | [7,7,15]   |
| 1     |        |    0 | [2,13,0]   | [36,17,17] | [6,1,1]    | [24,24,4]  | [40,9,9]   |
| 2     |        |    0 | [0,26,0]   | [3,19,19]  | [20,0,20]  | [28,0,28]  | [11,22,11] |
| 3     |        |    0 | [25,14,25] | [33,33,1]  | [21,21,0]  | [31,31,0]  | [0,15,15]  |
| 4     |        |    0 | [14,14,33] | [25,23,23] | [39,39,21] | [29,0,29]  | [22,22,0]  |
| 5     |        |    0 | [36,36,18] | [38,8,38]  | [6,19,6]   | [40,0,40]  | [29,10,10] |
| 6     |        |    0 | [34,18,18] | [27,8,8]   | [0,37,37]  | [5,0,5]    | [10,0,24]  |
| 7     |        |    0 | [13,13,0]  | [0,32,32]  | [0,27,27]  | [37,5,35]  | [0,31,7]   |
| 8     |        |    0 | [30,0,30]  | [26,0,26]  | [23,0,0]   | [16,12,12] | [35,35,9]  |
| 9     | x      |    0 | [38]       | [20]       | [12]       | [16]       | [11]       |
| 10    | x      |    0 | [30]       | [17]       | [3]        | [3]        | [16]       |
'----------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      13 |          1 |        7 |
|    1 |      30 |         10 |        8 |
|    2 |      26 |          2 |        8 |
|    3 |       2 |          1 |        7 |
|    4 |      36 |          1 |        8 |
|    5 |      17 |         10 |        1 |
|    6 |       2 |          7 |        0 |
|    7 |      34 |          6 |        0 |
|    8 |      32 |          0 |        7 |
|    9 |      18 |          5 |        6 |
|   10 |      27 |          6 |        7 |
|   11 |      36 |          8 |        5 |
|   12 |       8 |          5 |        6 |
|   13 |      37 |          7 |        6 |
|   14 |       5 |          7 |        6 |
|   15 |      38 |          9 |        5 |
|   16 |       3 |          2 |        0 |
|   17 |      19 |          5 |        2 |
|   18 |       6 |          1 |        5 |
|   19 |      20 |          9 |        2 |
|   20 |      28 |          0 |        2 |
|   21 |       3 |         10 |        0 |
|   22 |       3 |         10 |        0 |
|   23 |      33 |          4 |        1 |
|   24 |      14 |          3 |        4 |
|   25 |      25 |          4 |        3 |
|   26 |      23 |          8 |        4 |
|   27 |      33 |          1 |        5 |
|   28 |       1 |          3 |        1 |
|   29 |      33 |          5 |        3 |
|   30 |      21 |          4 |        3 |
|   31 |      39 |          0 |        4 |
|   32 |       4 |          1 |        0 |
|   33 |      24 |          6 |        1 |
|   34 |      40 |          1 |        5 |
|   35 |      29 |          5 |        4 |
|   36 |      22 |          2 |        4 |
|   37 |      10 |          6 |        5 |
|   38 |      35 |          7 |        4 |
|   39 |      31 |          7 |        3 |
|   40 |      15 |          0 |        3 |
|   41 |       7 |          7 |        0 |
|   42 |      16 |          8 |        0 |
|   43 |      12 |          9 |        8 |
|   44 |       9 |          8 |        1 |
|   45 |      35 |          4 |        8 |
|   46 |      16 |          9 |        0 |
|   47 |      11 |          9 |        2 |
|   48 |      16 |         10 |        0 |
'----------------------------------------'
