Version: 2

Number of IDs: 40
Common Shelves: 7 - Single Shelves: 0
Number of Layers: 7
Locked Shelves: 0
Pair Rate: 0.7100
Pair Amount: 29 - Single Amount: 65
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.7000

W3 IDs: [40, 41, 39]
W2 IDs: [32, 25, 36, 38, 28, 30, 35, 26, 37, 34, 33, 29, 31, 27, 23, 24]
W1 IDs: [11, 5, 4, 9, 18, 21, 16, 15, 19, 6, 14, 17, 10, 8, 20, 1, 12, 2, 7, 3, 22, 13]
W1 Solver-Placed IDs: [20, 8, 15, 13, 11]
Edited IDs: [1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]

===
.-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |       Layer 4        |       Layer 5        |       Layer 6        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| 0     |        |    0 | 2 single (2-item) | 1 single (1-item)    | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 1     |        |    0 | 1 single (1-item) | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | 1 single (1-item)    | pair+single (3-item) |
| 2     |        |    0 | 2 single (2-item) | pair+single (3-item) | 3 single (3-item)    | 3 single (3-item)    | pair+single (3-item) | 3 single (3-item)    | 3 single (3-item)    |
| 3     |        |    0 | 1 pair (2-item)   | 1 single (1-item)    | pair+single (3-item) | 1 single (1-item)    | 3 single (3-item)    | pair+single (3-item) | 1 single (1-item)    |
| 4     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 5     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 6     |        |    0 | 1 pair (2-item)   | 1 single (1-item)    | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
'-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------'

===

.-----------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |   Layer 4  |   Layer 5  |  Layer 6  |
|-------|--------|------|------------|------------|------------|------------|------------|------------|-----------|
| 0     |        |    0 | [26,0,0]   | [22,22,19] | [0,11,29]  | [41,0,39] | [30,30,0] | [28,3,28]  | [5,7,5]   |
| 1     |        |    0 | [0,20,17]  | [38,0,24]  | [29,0,29]  | [25,39,25] | [35,35,33] | [13,0,13]  | [32,4,4]  |
| 2     |        |    0 | [20,20,10] | [17,0,17]  | [12,22,0]  | [21,9,21]  | [14,14,39] | [3,3,18]   | [8,28,1]  |
| 3     |        |    0 | [19,19,15] | [0,40,40]  | [9,38,38]  | [11,14,11] | [13,34,31] | [0,6,5]    | [4,8,8]   |
| 4     |        |    0 | [26,26,0]  | [0,36,36]  | [25,0,0]  | [2,0,2]    | [41,33,33] | [32,32,0]  | [37,0,37] |
| 5     |        |    0 | [0,24,24]  | [16,16,36] | [12,41,12] | [0,30,2]   | [6,0,6]    | [31,37,31] | [1,0,1]   |
| 6     |        |    0 | [10,16,10] | [40,15,15] | [27,21,0]  | [35,34,34] | [9,27,27]  | [18,18,0]  | [7,7,0]   |
'-----------------------------------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      26 |          0 |        4 |
|    1 |      16 |          6 |        1 |
|    2 |      10 |          2 |        6 |
|    3 |      20 |          1 |        2 |
|    4 |      17 |          1 |        2 |
|    5 |      19 |          0 |        1 |
|    6 |      22 |          2 |        0 |
|    7 |      15 |          3 |        0 |
|    8 |      19 |          1 |        3 |
|    9 |      40 |          6 |        3 |
|   10 |      15 |          0 |        6 |
|   11 |      16 |          1 |        0 |
|   12 |      24 |          1 |        5 |
|   13 |      36 |          5 |        4 |
|   14 |      16 |          0 |        5 |
|   15 |      12 |          5 |        2 |
|   16 |      12 |          5 |        2 |
|   17 |      38 |          1 |        0 |
|   18 |      29 |          0 |        1 |
|   19 |      39 |          1 |        0 |
|   20 |      25 |          4 |        1 |
|   21 |       9 |          2 |        4 |
|   22 |      21 |          6 |        2 |
|   23 |       9 |          3 |        4 |
|   24 |      38 |          0 |        3 |
|   25 |      39 |          2 |        0 |
|   26 |      14 |          3 |        2 |
|   27 |      11 |          0 |        3 |
|   28 |      27 |          6 |        0 |
|   29 |      33 |          1 |        5 |
|   30 |      35 |          6 |        1 |
|   31 |      13 |          3 |        1 |
|   32 |      34 |          3 |        6 |
|   33 |      23 |          4 |        3 |
|   34 |       9 |          6 |        4 |
|   35 |      27 |          0 |        6 |
|   36 |      18 |          2 |        6 |
|   37 |       2 |          4 |        0 |
|   38 |       2 |          4 |        2 |
|   39 |      41 |          4 |        5 |
|   40 |      33 |          5 |        4 |
|   41 |      32 |          1 |        4 |
|   42 |      39 |          0 |        1 |
|   43 |       2 |          0 |        3 |
|   44 |      39 |          0 |        4 |
|   45 |      41 |          0 |        5 |
|   46 |      23 |          3 |        0 |
|   47 |      39 |          0 |        3 |
|   48 |      30 |          5 |        0 |
|   49 |       2 |          2 |        5 |
|   50 |       3 |          0 |        2 |
|   51 |      28 |          2 |        0 |
|   52 |       7 |          0 |        6 |
|   53 |       2 |          3 |        5 |
|   54 |      39 |          1 |        3 |
|   55 |      31 |          3 |        6 |
|   56 |      39 |          4 |        3 |
|   57 |       5 |          3 |        0 |
|   58 |       6 |          3 |        5 |
|   59 |       4 |          3 |        1 |
|   60 |       8 |          2 |        3 |
|   61 |      37 |          5 |        4 |
|   62 |      31 |          6 |        5 |
|   63 |       1 |          2 |        5 |
'----------------------------------------'
