Version: 2

Number of IDs: 40
Common Shelves: 10 - Single Shelves: 2
Number of Layers: 5
Locked Shelves: 0
Pair Rate: 0.5000
Pair Amount: 20 - Single Amount: 80
Weight: W1=0.7500 - W2=0.2500 - W3=0.0000
W1 Validation Threshold: 0.5000

W3 IDs: []
W2 IDs: [34, 39, 33, 36, 40, 32, 38, 37, 31, 35]
W1 IDs: [16, 19, 27, 22, 15, 12, 26, 4, 10, 14, 6, 24, 5, 21, 23, 29, 20, 18, 8, 17, 30, 7, 2, 11, 25, 13, 9, 3, 28, 1]
W1 Solver-Placed IDs: [22, 16, 4, 21, 10, 12, 20]
Edited IDs: [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]

===
.---------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |      Layer 1      |       Layer 2        |      Layer 3      |       Layer 4        |
|-------|--------|------|-------------------|-------------------|----------------------|-------------------|----------------------|
| 0     |        |    0 | 1 pair (2-item)   | 2 single (2-item) | 3 single (3-item)    | 1 pair (2-item)   | 2 single (2-item)    |
| 1     |        |    0 | 1 pair (2-item)   | 3 single (3-item) | 2 single (2-item)    | 3 single (3-item) | 2 single (2-item)    |
| 2     |        |    0 | 1 pair (2-item)   | 2 single (2-item) | pair+single (3-item) | 1 pair (2-item)   | 1 pair (2-item)      |
| 3     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)   | pair+single (3-item) | 2 single (2-item) | 2 single (2-item)    |
| 4     |        |    0 | 2 single (2-item) | 2 single (2-item) | 1 pair (2-item)      | 2 single (2-item) | 2 single (2-item)    |
| 5     |        |    0 | 2 single (2-item) | 2 single (2-item) | 2 single (2-item)    | 3 single (3-item) | 2 single (2-item)    |
| 6     |        |    0 | 1 pair (2-item)   | 2 single (2-item) | 3 single (3-item)    | 3 single (3-item) | pair+single (3-item) |
| 7     |        |    0 | 2 single (2-item) | 1 pair (2-item)   | 1 pair (2-item)      | 2 single (2-item) | 1 pair (2-item)      |
| 8     |        |    0 | 2 single (2-item) | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)   | 1 pair (2-item)      |
| 9     |        |    0 | 1 pair (2-item)   | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)   | 3 single (3-item)    |
| 10    | x      |    0 | 1 single (1-item) | 1 single (1-item) | 1 single (1-item)    | 1 single (1-item) | 1 single (1-item)    |
| 11    | x      |    0 | 1 single (1-item) | 1 single (1-item) | 1 single (1-item)    | 1 single (1-item) | 1 single (1-item)    |
'---------------------------------------------------------------------------------------------------------------------------------'

===

.---------------------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |  Layer 2  |   Layer 3  |   Layer 4  |
|-------|--------|------|------------|------------|-----------|------------|------------|
| 0     |        |    0 | [31,0,31]  | [29,29,12] | [7,11,11] | [0,2,2]    | [0,1,25]   |
| 1     |        |    0 | [37,16,37] | [33,38,12] | [0,32,0]  | [40,0,15]  | [1,1,0]    |
| 2     |        |    0 | [0,3,3]    | [16,29,16] | [28,28,0] | [36,0,36]  | [35,0,35]  |
| 3     |        |    0 | [14,14,12] | [0,19,19]  | [0,6,6]   | [0,17,2]   | [21,18,21] |
| 4     |        |    0 | [13,0,13]  | [0,3,19]   | [33,33,0] | [22,17,17] | [25,25,0]  |
| 5     |        |    0 | [0,5,5]    | [9,9,14]   | [8,8,0]   | [15,0,15]  | [0,22,22]  |
| 6     |        |    0 | [38,0,38]  | [27,0,27]  | [0,11,28] | [7,7,34]   | [18,18,30] |
| 7     |        |    0 | [5,4,4]    | [39,39,0]  | [0,34,34] | [21,35,0]  | [0,40,40]  |
| 8     |        |    0 | [23,23,0]  | [0,27,37]  | [26,8,0]  | [0,24,24]  | [30,30,0]  |
| 9     |        |    0 | [0,0,13]   | [4,0,31]   | [0,39,6]  | [32,0,32]  | [26,26,0]  |
| 10    | x      |    0 | [23]       | [20]       | [20]      | [20]       | [36]       |
| 11    | x      |    0 | [9]        | [10]       | [10]      | [24]       | [10]       |
'---------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |       5 |          7 |        5 |
|    1 |      13 |          9 |        4 |
|    2 |       3 |          4 |        2 |
|    3 |      31 |          9 |        0 |
|    4 |       4 |          9 |        7 |
|    5 |      39 |          9 |        7 |
|    6 |      23 |         10 |        8 |
|    7 |      12 |          0 |        4 |
|    8 |      29 |          2 |        0 |
|    9 |      16 |          1 |        2 |
|   10 |      37 |          8 |        1 |
|   11 |      38 |          1 |        6 |
|   12 |      27 |          8 |        6 |
|   13 |      28 |          6 |        2 |
|   14 |      11 |          0 |        6 |
|   15 |      11 |          0 |        6 |
|   16 |      34 |          6 |        7 |
|   17 |       7 |          0 |        6 |
|   18 |      12 |          3 |        1 |
|   19 |      14 |          5 |        3 |
|   20 |      19 |          4 |        3 |
|   21 |       6 |          9 |        3 |
|   22 |       2 |          3 |        0 |
|   23 |       9 |         11 |        5 |
|   24 |       8 |          8 |        5 |
|   25 |      33 |          1 |        0 |
|   26 |      12 |          4 |        1 |
|   27 |      33 |          0 |        4 |
|   28 |      32 |          1 |        9 |
|   29 |      15 |          1 |        5 |
|   30 |      22 |          4 |        5 |
|   31 |      17 |          3 |        4 |
|   32 |      25 |          0 |        4 |
|   33 |      26 |          8 |        9 |
|   34 |      40 |          1 |        2 |
|   35 |       1 |          0 |        1 |
|   36 |      18 |          3 |        0 |
|   37 |      21 |          7 |        3 |
|   38 |      18 |          6 |        0 |
|   39 |      18 |          6 |        0 |
|   40 |      35 |          7 |        0 |
|   41 |      40 |          2 |        7 |
|   42 |      10 |         11 |        8 |
|   43 |      10 |         11 |        1 |
|   44 |      10 |          8 |        1 |
|   45 |      24 |         11 |        8 |
|   46 |      30 |          6 |        8 |
|   47 |      10 |         11 |        1 |
|   48 |      20 |         10 |        2 |
|   49 |      20 |         10 |        1 |
|   50 |      20 |          2 |        1 |
|   51 |      20 |         10 |        1 |
|   52 |      36 |         10 |        2 |
|   53 |      35 |          0 |        2 |
'----------------------------------------'
