Version: 2

Number of IDs: 43
Common Shelves: 9 - Single Shelves: 0
Number of Layers: 7
Locked Shelves: 2
Pair Rate: 0.6000
Pair Amount: 26 - Single Amount: 77
Weight: W1=0.6500 - W2=0.3000 - W3=0.0500
W1 Validation Threshold: 0.6000

W3 IDs: [40, 43, 41, 42]
W2 IDs: [28, 38, 30, 32, 31, 36, 29, 35, 37, 34, 39, 33]
W1 IDs: [5, 6, 10, 26, 2, 22, 16, 23, 25, 14, 17, 15, 21, 3, 27, 19, 8, 12, 9, 11, 24, 18, 13, 1, 7, 4, 20]
W1 Solver-Placed IDs: [18, 27, 7, 15]
Edited IDs: [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]

===
.-------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |      Layer 1      |      Layer 2      |      Layer 3      |       Layer 4        |      Layer 5      |       Layer 6        |
|-------|--------|------|-------------------|-------------------|-------------------|-------------------|----------------------|-------------------|----------------------|
| 0     |        |    4 | 1 pair (2-item)   | 1 pair (2-item)   | 2 single (2-item) | 1 pair (2-item)   | 2 single (2-item)    | 2 single (2-item) | 2 single (2-item)    |
| 1     |        |    8 | 2 single (2-item) | 2 single (2-item) | 2 single (2-item) | 1 pair (2-item)   | pair+single (3-item) | 1 pair (2-item)   | 2 single (2-item)    |
| 2     |        |    0 | 2 single (2-item) | 2 single (2-item) | 1 pair (2-item)   | 2 single (2-item) | 1 pair (2-item)      | 2 single (2-item) | 2 single (2-item)    |
| 3     |        |    0 | 2 single (2-item) | 1 pair (2-item)   | 1 pair (2-item)   | 2 single (2-item) | 2 single (2-item)    | 2 single (2-item) | 1 pair (2-item)      |
| 4     |        |    0 | 2 single (2-item) | 1 pair (2-item)   | 1 pair (2-item)   | 1 pair (2-item)   | pair+single (3-item) | 1 pair (2-item)   | pair+single (3-item) |
| 5     |        |    0 | 2 single (2-item) | 2 single (2-item) | 2 single (2-item) | 2 single (2-item) | 1 pair (2-item)      | 2 single (2-item) | 2 single (2-item)    |
| 6     |        |    0 | 2 single (2-item) | 2 single (2-item) | 2 single (2-item) | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)   | 2 single (2-item)    |
| 7     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)   | 2 single (2-item) | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)   | 2 single (2-item)    |
| 8     |        |    0 | 2 single (2-item) | 1 pair (2-item)   | 1 pair (2-item)   | 1 pair (2-item)   | 2 single (2-item)    | 2 single (2-item) | 1 pair (2-item)      |
'-------------------------------------------------------------------------------------------------------------------------------------------------------------------------'

===

.----------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |   Layer 4  |  Layer 5  |  Layer 6  |
|-------|--------|------|------------|------------|------------|------------|------------|-----------|-----------|
| 0     |        |    4 | [21,0,21]  | [28,0,28]  | [0,7,7]    | [0,39,39]  | [19,0,33]  | [24,24,0] | [1,0,1]   |
| 1     |        |    8 | [0,23,23]  | [11,0,11]  | [4,0,14]   | [0,36,36]  | [31,31,20] | [22,22,0] | [8,0,8]   |
| 2     |        |    0 | [34,34,17] | [41,0,0]   | [26,0,26]  | [27,27,43] | [6,0,6]    | [42,0,16] | [13,0,0]  |
| 3     |        |    0 | [0,35,23]  | [32,32,0]  | [38,0,38]  | [0,39,0]   | [6,15,15]  | [0,24,42] | [10,0,10] |
| 4     |        |    0 | [40,18,28] | [38,34,0]  | [14,14,15] | [0,29,29]  | [19,19,12] | [0,30,30] | [0,13,13] |
| 5     |        |    0 | [17,17,0]  | [11,37,18] | [0,26,0]   | [36,25,25] | [0,43,3]   | [20,20,0] | [1,0,0]   |
| 6     |        |    0 | [41,21,41] | [0,5,7]    | [32,0,0]   | [25,27,0]  | [0,0,2]    | [0,16,16] | [30,0,10] |
| 7     |        |    0 | [0,37,37]  | [35,35,0]  | [0,40,29]  | [43,42,0]  | [0,12,12]  | [3,0,3]   | [9,0,8]   |
| 8     |        |    0 | [0,40,0]   | [5,5,18]   | [0,4,4]    | [33,33,0]  | [2,0,2]    | [0,31,22] | [0,9,9]   |
'----------------------------------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      17 |          2 |        5 |
|    1 |      37 |          5 |        7 |
|    2 |      35 |          3 |        7 |
|    3 |      40 |          4 |        8 |
|    4 |      40 |          7 |        8 |
|    5 |      21 |          6 |        0 |
|    6 |      28 |          4 |        0 |
|    7 |      18 |          4 |        5 |
|    8 |      34 |          4 |        2 |
|    9 |      41 |          2 |        6 |
|   10 |      23 |          3 |        1 |
|   11 |      11 |          5 |        1 |
|   12 |       7 |          6 |        0 |
|   13 |      18 |          8 |        5 |
|   14 |      26 |          5 |        2 |
|   15 |       5 |          6 |        8 |
|   16 |       4 |          1 |        8 |
|   17 |      32 |          6 |        3 |
|   18 |      38 |          4 |        3 |
|   19 |      39 |          3 |        0 |
|   20 |      33 |          0 |        8 |
|   21 |      14 |          1 |        0 |
|   22 |      36 |          5 |        1 |
|   23 |      25 |          6 |        5 |
|   24 |      43 |          2 |        5 |
|   25 |      27 |          6 |        2 |
|   26 |       6 |          3 |        2 |
|   27 |      15 |          4 |        3 |
|   28 |      14 |          0 |        4 |
|   29 |       2 |          6 |        8 |
|   30 |      16 |          2 |        6 |
|   31 |      29 |          7 |        4 |
|   32 |      19 |          4 |        0 |
|   33 |      19 |          4 |        0 |
|   34 |      24 |          3 |        0 |
|   35 |      42 |          2 |        3 |
|   36 |      42 |          7 |        3 |
|   37 |      10 |          6 |        3 |
|   38 |      43 |          5 |        7 |
|   39 |      43 |          5 |        7 |
|   40 |      12 |          4 |        7 |
|   41 |       3 |          5 |        7 |
|   42 |      20 |          1 |        5 |
|   43 |       1 |          5 |        0 |
|   44 |      30 |          6 |        4 |
|   45 |      13 |          2 |        4 |
|   46 |      31 |          8 |        1 |
|   47 |      22 |          8 |        1 |
|   48 |       8 |          7 |        1 |
|   49 |       9 |          7 |        8 |
'----------------------------------------'
