Version: 2

Number of IDs: 45
Common Shelves: 14 - Single Shelves: 0
Number of Layers: 4
Locked Shelves: 1
Pair Rate: 0.7000
Pair Amount: 31 - Single Amount: 73
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.7000

W3 IDs: [43, 45, 44]
W2 IDs: [34, 28, 31, 40, 37, 42, 35, 30, 26, 36, 25, 39, 41, 27, 32, 29, 38, 33]
W1 IDs: [8, 20, 3, 11, 12, 23, 13, 7, 15, 6, 19, 18, 21, 24, 17, 2, 16, 5, 1, 10, 22, 9, 14, 4]
W1 Solver-Placed IDs: [10]
Edited IDs: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 18, 19, 20, 21, 22, 23, 26, 27, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 43, 44, 45]

===
.----------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|
| 0     |        |    0 | 2 single (2-item) | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) |
| 1     |        |    4 | 1 single (1-item) | pair+single (3-item) | pair+single (3-item) | 1 single (1-item)    |
| 2     |        |    0 | 1 pair (2-item)   | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) |
| 3     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 1 single (1-item)    | pair+single (3-item) |
| 4     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | 1 single (1-item)    |
| 5     |        |    0 | 1 pair (2-item)   | 1 single (1-item)    | pair+single (3-item) | 3 single (3-item)    |
| 6     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 7     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) |
| 8     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | 1 single (1-item)    |
| 9     |        |    0 | 2 single (2-item) | 3 single (3-item)    | pair+single (3-item) | 1 single (1-item)    |
| 10    |        |    0 | 2 single (2-item) | pair+single (3-item) | 1 single (1-item)    | pair+single (3-item) |
| 11    |        |    0 | 2 single (2-item) | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) |
| 12    |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | 1 single (1-item)    |
| 13    |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
'----------------------------------------------------------------------------------------------------------------'

===

.---------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |
|-------|--------|------|------------|------------|------------|------------|
| 0     |        |    0 | [19,40,0]  | [18,23,15] | [37,2,37]  | [26,24,24] |
| 1     |        |    4 | [14,29,29] | [4,0,15]   | [16,16,0]  | [17,0,0]   |
| 2     |        |    0 | [10,5,5]   | [18,7,0]   | [0,31,31]  | [3,3,0]    |
| 3     |        |    0 | [28,1,1]   | [41,15,23] | [34,35,0]  | [11,0,11]  |
| 4     |        |    0 | [19,20,0]  | [22,44,22] | [25,25,4]  | [0,13,13]  |
| 5     |        |    0 | [41,43,41] | [9,7,7]    | [0,37,6]   | [44,0,0]   |
| 6     |        |    0 | [36,0,36]  | [30,32,29] | [0,27,27]  | [0,42,42]  |
| 7     |        |    0 | [12,12,0]  | [39,8,39]  | [16,2,4]   | [0,34,34]  |
| 8     |        |    0 | [20,5,33]  | [40,40,36] | [38,38,0]  | [0,2,0]    |
| 9     |        |    0 | [0,43,43]  | [27,23,0]  | [32,42,32] | [0,11,0]   |
| 10    |        |    0 | [14,14,0]  | [33,8,33]  | [21,0,13]  | [6,24,6]   |
| 11    |        |    0 | [30,1,30]  | [44,22,8]  | [39,26,26] | [17,17,38] |
| 12    |        |    0 | [20,10,10] | [18,28,28] | [21,21,0]  | [45,0,45]  |
| 13    |        |    0 | [0,12,19]  | [9,9,45]   | [31,35,35] | [25,0,3]   |
'---------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      43 |          5 |        9 |
|    1 |      12 |         13 |        7 |
|    2 |      19 |          4 |        0 |
|    3 |      20 |          8 |        4 |
|    4 |      20 |         12 |        4 |
|    5 |      10 |          2 |       12 |
|    6 |      14 |          1 |       10 |
|    7 |       5 |          8 |        2 |
|    8 |      33 |         10 |        8 |
|    9 |      33 |         10 |        8 |
|   10 |      36 |          8 |        6 |
|   11 |      40 |          0 |        8 |
|   12 |      29 |          6 |        1 |
|   13 |      19 |         13 |        0 |
|   14 |      18 |         12 |        2 |
|   15 |      28 |          3 |       12 |
|   16 |       1 |         11 |        3 |
|   17 |      41 |          3 |        5 |
|   18 |      30 |          6 |       11 |
|   19 |       8 |          7 |       10 |
|   20 |       8 |         11 |       10 |
|   21 |      21 |         10 |       12 |
|   22 |      45 |         13 |       12 |
|   23 |       9 |          5 |       13 |
|   24 |       7 |          2 |        5 |
|   25 |      18 |          0 |        2 |
|   26 |      31 |         13 |        2 |
|   27 |      15 |          1 |        0 |
|   28 |      23 |          0 |        3 |
|   29 |      15 |          3 |        0 |
|   30 |      23 |          9 |        3 |
|   31 |      35 |          3 |       13 |
|   32 |       3 |         13 |        2 |
|   33 |      44 |          4 |       11 |
|   34 |      22 |         11 |        4 |
|   35 |       4 |          4 |        1 |
|   36 |      25 |         13 |        4 |
|   37 |      13 |         10 |        4 |
|   38 |       2 |          0 |        2 |
|   39 |      37 |          5 |        0 |
|   40 |       6 |         10 |        5 |
|   41 |       6 |         10 |        5 |
|   42 |      44 |          5 |       11 |
|   43 |      39 |         11 |        7 |
|   44 |      26 |          0 |       11 |
|   45 |       4 |          7 |        1 |
|   46 |      16 |          7 |        1 |
|   47 |      24 |         10 |        0 |
|   48 |      38 |         11 |        8 |
|   49 |      17 |          1 |       11 |
|   50 |       2 |          2 |        7 |
|   51 |       2 |          8 |        7 |
|   52 |      34 |          3 |        7 |
|   53 |      32 |          6 |        0 |
|   54 |      27 |          9 |        6 |
|   55 |      42 |          9 |        6 |
|   56 |      32 |          0 |        9 |
|   57 |      11 |          9 |        3 |
'----------------------------------------'
