Version: 2

Number of IDs: 36
Common Shelves: 10 - Single Shelves: 2
Number of Layers: 4
Locked Shelves: 0
Pair Rate: 0.5000
Pair Amount: 18 - Single Amount: 72
Weight: W1=0.5500 - W2=0.4500 - W3=0.0000
W1 Validation Threshold: 0.5000

W3 IDs: [36]
W2 IDs: [27, 24, 32, 34, 30, 25, 35, 29, 28, 21, 22, 33, 31, 20, 26, 23]
W1 IDs: [5, 1, 2, 15, 13, 16, 17, 19, 12, 10, 14, 4, 18, 8, 11, 3, 7, 6, 9]
W1 Solver-Placed IDs: [11, 6, 15, 13, 14, 2, 4, 10, 12]
Edited IDs: [2, 3, 6, 7, 8, 10, 11, 12, 13, 14, 19, 20, 21, 22, 23, 31, 32, 33, 35, 36]

===
.----------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|
| 0     |        |    0 | 2 single (2-item) | 1 pair (2-item)      | pair+single (3-item) | 2 single (2-item)    |
| 1     |        |    0 | 2 single (2-item) | 3 single (3-item)    | pair+single (3-item) | 2 single (2-item)    |
| 2     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 3 single (3-item)    | pair+single (3-item) |
| 3     |        |    0 | 2 single (2-item) | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) |
| 4     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) |
| 5     |        |    0 | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)      | 3 single (3-item)    |
| 6     |        |    0 | 2 single (2-item) | pair+single (3-item) | 1 single (1-item)    | 1 single (1-item)    |
| 7     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    |
| 8     |        |    0 | 2 single (2-item) | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) |
| 9     |        |    0 | 2 single (2-item) | pair+single (3-item) | 2 single (2-item)    | pair+single (3-item) |
| 10    | x      |    0 | 1 single (1-item) | 1 single (1-item)    | 1 single (1-item)    | 1 single (1-item)    |
| 11    | x      |    0 | 1 single (1-item) | 1 single (1-item)    | 1 single (1-item)    | 1 single (1-item)    |
'----------------------------------------------------------------------------------------------------------------'

===

.---------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |
|-------|--------|------|------------|------------|------------|------------|
| 0     |        |    0 | [8,22,0]   | [7,0,7]    | [27,27,36] | [25,35,0]  |
| 1     |        |    0 | [5,0,5]    | [17,36,6]  | [29,14,29] | [0,27,1]   |
| 2     |        |    0 | [5,4,0]    | [33,3,3]   | [32,0,6]   | [0,21,21]  |
| 3     |        |    0 | [4,36,4]   | [9,28,9]   | [32,0,32]  | [0,34,34]  |
| 4     |        |    0 | [0,35,35]  | [14,9,14]  | [26,31,26] | [20,0,20]  |
| 5     |        |    0 | [0,8,8]    | [31,31,3]  | [25,0,25]  | [1,16,1]   |
| 6     |        |    0 | [10,19,19] | [33,10,33] | [18,2,10]  | [12,12,0]  |
| 7     |        |    0 | [30,15,30] | [24,24,15] | [34,28,28] | [26,15,29] |
| 8     |        |    0 | [19,0,13]  | [22,22,0]  | [18,18,23] | [16,21,16] |
| 9     |        |    0 | [24,13,13] | [17,30,17] | [23,0,23]  | [0,20,0]   |
| 10    | x      |    0 | [6]        | [7]        | [11]       | [11]       |
| 11    | x      |    0 | [2]        | [2]        | [11]       | [12]       |
'---------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |       8 |          0 |        5 |
|    1 |       5 |          2 |        1 |
|    2 |      19 |          6 |        8 |
|    3 |       4 |          3 |        2 |
|    4 |       4 |          3 |        2 |
|    5 |      33 |          2 |        0 |
|    6 |       3 |          5 |        2 |
|    7 |      13 |          8 |        0 |
|    8 |      19 |          6 |        8 |
|    9 |      22 |          0 |        8 |
|   10 |      13 |          9 |        0 |
|   11 |      33 |          0 |        2 |
|   12 |      13 |          9 |        0 |
|   13 |       6 |         10 |        3 |
|   14 |       7 |         10 |        0 |
|   15 |      36 |          0 |        3 |
|   16 |       6 |          3 |        0 |
|   17 |      36 |          1 |        3 |
|   18 |       6 |          0 |        1 |
|   19 |      17 |          1 |        0 |
|   20 |       6 |          2 |        1 |
|   21 |      10 |          6 |        2 |
|   22 |      10 |          6 |        4 |
|   23 |      33 |          2 |        6 |
|   24 |      29 |          1 |        2 |
|   25 |       2 |         11 |        9 |
|   26 |      23 |          8 |        1 |
|   27 |      18 |          6 |        8 |
|   28 |      10 |          4 |        6 |
|   29 |       2 |         11 |        5 |
|   30 |      11 |         10 |        9 |
|   31 |       2 |          6 |        4 |
|   32 |      10 |          2 |        6 |
|   33 |      24 |          9 |        2 |
|   34 |       2 |          4 |        9 |
|   35 |      11 |          9 |        4 |
|   36 |       2 |          5 |        9 |
|   37 |      15 |          7 |        5 |
|   38 |      30 |          9 |        7 |
|   39 |      17 |          0 |        9 |
|   40 |      23 |          1 |        9 |
|   41 |      15 |          7 |        0 |
|   42 |      24 |          2 |        7 |
|   43 |      34 |          7 |        1 |
|   44 |      28 |          3 |        7 |
|   45 |      29 |          1 |        2 |
|   46 |      14 |          1 |        6 |
|   47 |      11 |         10 |        3 |
|   48 |      32 |          2 |        1 |
|   49 |      29 |          7 |        2 |
|   50 |      21 |          8 |        2 |
|   51 |      11 |         11 |        1 |
|   52 |      12 |          6 |        7 |
|   53 |      12 |         11 |        6 |
|   54 |      20 |          9 |        8 |
|   55 |      14 |          6 |        2 |
|   56 |      12 |          7 |        6 |
|   57 |      15 |          0 |        7 |
|   58 |      26 |          7 |        6 |
|   59 |      15 |          5 |        7 |
|   60 |      27 |          0 |        5 |
|   61 |      27 |          0 |        2 |
|   62 |      20 |          8 |        2 |
|   63 |      11 |          4 |        0 |
|   64 |      35 |          0 |        4 |
|   65 |      11 |          3 |        0 |
|   66 |       9 |          4 |        3 |
|   67 |      32 |          1 |        3 |
|   68 |      34 |          1 |        3 |
|   69 |      14 |          2 |        4 |
|   70 |      11 |          0 |        1 |
|   71 |      11 |          0 |        1 |
|   72 |      26 |          4 |        6 |
|   73 |      26 |          4 |        6 |
|   74 |      27 |          5 |        1 |
|   75 |      31 |          4 |        5 |
|   76 |      25 |          0 |        5 |
|   77 |      20 |          2 |        4 |
|   78 |      16 |          5 |        8 |
|   79 |       1 |          1 |        5 |
|   80 |      27 |          2 |        1 |
'----------------------------------------'
