Version: 2

Number of IDs: 41
Common Shelves: 12 - Single Shelves: 0
Number of Layers: 4
Locked Shelves: 2
Pair Rate: 0.7000
Pair Amount: 29 - Single Amount: 65
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.7000

W3 IDs: [41, 39, 40]
W2 IDs: [32, 30, 27, 25, 35, 24, 38, 31, 33, 23, 26, 28, 37, 34, 29, 36]
W1 IDs: [19, 10, 9, 4, 16, 22, 12, 3, 14, 15, 8, 6, 17, 5, 21, 2, 1, 20, 18, 13, 7, 11]
W1 Solver-Placed IDs: [19, 15, 5]
Edited IDs: [1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 37, 38, 39, 40, 41]

===
.-------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |       Layer 0        |       Layer 1        |       Layer 2        |       Layer 3        |
|-------|--------|------|----------------------|----------------------|----------------------|----------------------|
| 0     |        |    4 | 1 single (1-item)    | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) |
| 1     |        |    8 | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 2     |        |    0 | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 3     |        |    0 | 1 pair (2-item)      | 3 single (3-item)    | 3 single (3-item)    | pair+single (3-item) |
| 4     |        |    0 | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 5     |        |    0 | 1 single (1-item)    | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) |
| 6     |        |    0 | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 7     |        |    0 | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    |
| 8     |        |    0 | 1 single (1-item)    | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) |
| 9     |        |    0 | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 10    |        |    0 | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 11    |        |    0 | 1 single (1-item)    | 3 single (3-item)    | 3 single (3-item)    | 3 single (3-item)    |
'-------------------------------------------------------------------------------------------------------------------'

===

.--------------------------------------------------------------------------.
| Shelf | Single | Lock |  Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |
|-------|--------|------|-----------|------------|------------|------------|
| 0     |        |    4 | [17,2,17] | [25,0,4]   | [20,20,1]  | [14,36,36] |
| 1     |        |    8 | [30,0,30] | [10,33,33] | [39,6,6]   | [8,0,37]   |
| 2     |        |    0 | [3,22,22] | [18,24,18] | [20,31,31] | [12,40,0]  |
| 3     |        |    0 | [24,5,24] | [0,10,39]  | [6,35,7]   | [0,31,0]   |
| 4     |        |    0 | [3,15,15] | [23,23,41] | [32,32,28] | [26,26,13] |
| 5     |        |    0 | [9,15,0]  | [10,38,17] | [0,7,7]    | [35,0,0]   |
| 6     |        |    0 | [22,29,0] | [19,28,28] | [1,1,0]    | [37,0,37]  |
| 7     |        |    0 | [3,0,32]  | [11,2,11]  | [25,25,23] | [8,13,39]  |
| 8     |        |    0 | [16,16,0] | [41,19,19] | [21,27,0]  | [34,34,40] |
| 9     |        |    0 | [35,9,38] | [0,29,29]  | [36,4,4]   | [27,13,27] |
| 10    |        |    0 | [9,5,5]   | [0,11,30]  | [21,21,26] | [14,12,12] |
| 11    |        |    0 | [16,38,0] | [0,2,18]   | [33,34,41] | [8,14,40]  |
'--------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      16 |         11 |        8 |
|    1 |       9 |         10 |        5 |
|    2 |       5 |          3 |       10 |
|    3 |       3 |          2 |        7 |
|    4 |      22 |          6 |        2 |
|    5 |      24 |          2 |        3 |
|    6 |       3 |          4 |        2 |
|    7 |      15 |          5 |        4 |
|    8 |       9 |          9 |        5 |
|    9 |      38 |          5 |       11 |
|   10 |      38 |          9 |       11 |
|   11 |       2 |          0 |       11 |
|   12 |      17 |          5 |        0 |
|   13 |      30 |         10 |        1 |
|   14 |      10 |          1 |        5 |
|   15 |      10 |          3 |        5 |
|   16 |       3 |          2 |        0 |
|   17 |      18 |         11 |        2 |
|   18 |      39 |          3 |        1 |
|   19 |       7 |          3 |        5 |
|   20 |      35 |          3 |        5 |
|   21 |      35 |          9 |        5 |
|   22 |      29 |          6 |        9 |
|   23 |      32 |          7 |        5 |
|   24 |       3 |          0 |        7 |
|   25 |       2 |          7 |       11 |
|   26 |      11 |         10 |        7 |
|   27 |      39 |          1 |        0 |
|   28 |      33 |         11 |        1 |
|   29 |       6 |          1 |        3 |
|   30 |       6 |          1 |        3 |
|   31 |      41 |          4 |       11 |
|   32 |      23 |          7 |        4 |
|   33 |      25 |          0 |        7 |
|   34 |      39 |          0 |        1 |
|   35 |      39 |          7 |        1 |
|   36 |      34 |         11 |        7 |
|   37 |      41 |          8 |       11 |
|   38 |      19 |          6 |        8 |
|   39 |      28 |          4 |        6 |
|   40 |      32 |          5 |        4 |
|   41 |       4 |          9 |        0 |
|   42 |       4 |          9 |        0 |
|   43 |       1 |          0 |        6 |
|   44 |      37 |          1 |        6 |
|   45 |      20 |          2 |        0 |
|   46 |      31 |          3 |        2 |
|   47 |      36 |          0 |        9 |
|   48 |      36 |          0 |        9 |
|   49 |       8 |          7 |        1 |
|   50 |       8 |         11 |        1 |
|   51 |      13 |          4 |        7 |
|   52 |      26 |         10 |        4 |
|   53 |      21 |          8 |       10 |
|   54 |      27 |          8 |        3 |
|   55 |      14 |         10 |        3 |
|   56 |      12 |          2 |       10 |
|   57 |      40 |         11 |        0 |
|   58 |      27 |          9 |       11 |
|   59 |      34 |          7 |        3 |
|   60 |      13 |          9 |        7 |
|   61 |      40 |          0 |        2 |
|   62 |      40 |          8 |        2 |
|   63 |      34 |          3 |        8 |
|   64 |      14 |          3 |        0 |
|   65 |      14 |         11 |        0 |
|   66 |      27 |          3 |        9 |
|   67 |      27 |         11 |        9 |
'----------------------------------------'
