Version: 2

Number of IDs: 48
Common Shelves: 15 - Single Shelves: 0
Number of Layers: 4
Locked Shelves: 2
Pair Rate: 0.6300
Pair Amount: 30 - Single Amount: 84
Weight: W1=0.5500 - W2=0.4500 - W3=0.0000
W1 Validation Threshold: 0.6000

W3 IDs: [48]
W2 IDs: [47, 42, 45, 29, 41, 43, 39, 28, 35, 38, 46, 30, 27, 33, 34, 31, 32, 37, 40, 36, 44]
W1 IDs: [9, 7, 14, 21, 12, 8, 15, 23, 19, 26, 13, 17, 22, 11, 10, 5, 18, 3, 24, 6, 1, 4, 20, 16, 2, 25]
W1 Solver-Placed IDs: [9, 1, 6, 24]
Edited IDs: [1, 2, 3, 6, 8, 11, 13, 14, 16, 20, 23, 24, 26, 30, 32, 34, 35, 38, 40, 41, 42, 46, 48]

===
.-------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |      Layer 2      |       Layer 3        |
|-------|--------|------|-------------------|----------------------|-------------------|----------------------|
| 0     |        |    4 | 2 single (2-item) | 3 single (3-item)    | 2 single (2-item) | pair+single (3-item) |
| 1     |        |    8 | 1 pair (2-item)   | 1 pair (2-item)      | 1 pair (2-item)   | 1 pair (2-item)      |
| 2     |        |    0 | 2 single (2-item) | pair+single (3-item) | 1 pair (2-item)   | 3 single (3-item)    |
| 3     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item) | 3 single (3-item)    |
| 4     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item) | 3 single (3-item)    |
| 5     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | 3 single (3-item) | 3 single (3-item)    |
| 6     |        |    0 | 2 single (2-item) | 1 pair (2-item)      | 2 single (2-item) | 3 single (3-item)    |
| 7     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 1 pair (2-item)   | 1 pair (2-item)      |
| 8     |        |    0 | 2 single (2-item) | 2 single (2-item)    | 2 single (2-item) | 1 pair (2-item)      |
| 9     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | 2 single (2-item) | 3 single (3-item)    |
| 10    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 1 pair (2-item)   | 3 single (3-item)    |
| 11    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item) | 1 pair (2-item)      |
| 12    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 1 pair (2-item)   | 3 single (3-item)    |
| 13    |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item) | 3 single (3-item)    |
| 14    |        |    0 | 2 single (2-item) | 1 pair (2-item)      | 2 single (2-item) | 1 pair (2-item)      |
'-------------------------------------------------------------------------------------------------------------'

===

.---------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |
|-------|--------|------|------------|------------|------------|------------|
| 0     |        |    4 | [16,16,18] | [0,29,46]  | [6,8,24]   | [28,0,28]  |
| 1     |        |    8 | [44,44,0]  | [40,0,40]  | [0,26,26]  | [30,30,0]  |
| 2     |        |    0 | [32,0,0]   | [47,2,2]   | [0,39,39]  | [38,10,22] |
| 3     |        |    0 | [1,37,37]  | [44,11,0]  | [0,12,12]  | [0,4,19]   |
| 4     |        |    0 | [14,14,1]  | [16,35,35] | [0,26,30]  | [22,13,22] |
| 5     |        |    0 | [0,29,29]  | [32,1,32]  | [41,0,0]   | [3,3,6]    |
| 6     |        |    0 | [0,40,14]  | [0,20,20]  | [28,45,0]  | [4,7,4]    |
| 7     |        |    0 | [0,43,43]  | [11,11,37] | [6,33,33]  | [21,0,21]  |
| 8     |        |    0 | [15,0,27]  | [39,2,0]   | [24,24,48] | [45,45,0]  |
| 9     |        |    0 | [46,46,35] | [41,41,0]  | [17,34,17] | [7,7,23]   |
| 10    |        |    0 | [0,15,15]  | [43,5,5]   | [0,38,38]  | [10,0,10]  |
| 11    |        |    0 | [47,0,47]  | [0,36,33]  | [17,25,25] | [13,0,13]  |
| 12    |        |    0 | [36,36,9]  | [20,0,48]  | [42,9,42]  | [23,23,3]  |
| 13    |        |    0 | [9,18,18]  | [31,31,5]  | [25,8,8]   | [19,19,21] |
| 14    |        |    0 | [0,48,31]  | [27,0,27]  | [0,42,12]  | [34,34,0]  |
'---------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      15 |          8 |       10 |
|    1 |      43 |         10 |        7 |
|    2 |      32 |          2 |        5 |
|    3 |      47 |          2 |       11 |
|    4 |       9 |         12 |        6 |
|    5 |      36 |         11 |       12 |
|    6 |       1 |          3 |        2 |
|    7 |      37 |          7 |        3 |
|    8 |      11 |          3 |        7 |
|    9 |      33 |          7 |       11 |
|   10 |      33 |          7 |       11 |
|   11 |       1 |          4 |        3 |
|   12 |      14 |          6 |        4 |
|   13 |      44 |          3 |        1 |
|   14 |      40 |          6 |        1 |
|   15 |       9 |         13 |        6 |
|   16 |      18 |          0 |       13 |
|   17 |      16 |          4 |        0 |
|   18 |      35 |          9 |        4 |
|   19 |      46 |          0 |        9 |
|   20 |      26 |          4 |        1 |
|   21 |      30 |          4 |        1 |
|   22 |       5 |         13 |       10 |
|   23 |      31 |         14 |       13 |
|   24 |      29 |          5 |        0 |
|   25 |      29 |          5 |        0 |
|   26 |      32 |          5 |        9 |
|   27 |      25 |         13 |        1 |
|   28 |       8 |          0 |       13 |
|   29 |       1 |          2 |        3 |
|   30 |       1 |          5 |        3 |
|   31 |      32 |          9 |        5 |
|   32 |      41 |          5 |        9 |
|   33 |       6 |          7 |        0 |
|   34 |      21 |         13 |        7 |
|   35 |      25 |         11 |        1 |
|   36 |      25 |         11 |        1 |
|   37 |      17 |          9 |       11 |
|   38 |      17 |          9 |       11 |
|   39 |      13 |          4 |       11 |
|   40 |      48 |         14 |       12 |
|   41 |      27 |          8 |       14 |
|   42 |       2 |          8 |        2 |
|   43 |      39 |          8 |        2 |
|   44 |      22 |          2 |        4 |
|   45 |      38 |          2 |       10 |
|   46 |      10 |          2 |       10 |
|   47 |      12 |         14 |        3 |
|   48 |      19 |          3 |       13 |
|   49 |      24 |          0 |        1 |
|   50 |       6 |          5 |        0 |
|   51 |      24 |          8 |        1 |
|   52 |      24 |          8 |        1 |
|   53 |      48 |         12 |        8 |
|   54 |      48 |         12 |        8 |
|   55 |      20 |         12 |        1 |
|   56 |       9 |         12 |        6 |
|   57 |      42 |         14 |       12 |
|   58 |      34 |          9 |       14 |
|   59 |       3 |         12 |        5 |
|   60 |      23 |          9 |       12 |
|   61 |      20 |          1 |        6 |
|   62 |      28 |          6 |        0 |
|   63 |      45 |          6 |        8 |
|   64 |       7 |          6 |        9 |
|   65 |       4 |          3 |        6 |
'----------------------------------------'
