Version: 2

Number of IDs: 48
Common Shelves: 17 - Single Shelves: 0
Number of Layers: 4
Locked Shelves: 0
Pair Rate: 0.4600
Pair Amount: 22 - Single Amount: 100
Weight: W1=0.8000 - W2=0.1500 - W3=0.0500
W1 Validation Threshold: 0.7000

W3 IDs: [47, 46, 48]
W2 IDs: [43, 41, 39, 40, 42, 45, 44]
W1 IDs: [10, 30, 2, 13, 8, 21, 4, 19, 16, 12, 23, 11, 28, 32, 25, 17, 37, 38, 6, 1, 22, 26, 18, 29, 3, 34, 20, 9, 7, 35, 31, 15, 24, 14, 33, 36, 5, 27]
W1 Solver-Placed IDs: [9, 13, 2, 18, 10]
Edited IDs: [1, 2, 3, 4, 8, 9, 13, 14, 16, 17, 18, 20, 22, 23, 25, 26, 34, 35, 36, 41, 42, 43, 45, 46, 47]

===
.----------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|
| 0     |        |    0 | 2 single (2-item) | 1 pair (2-item)      | 1 pair (2-item)      | 2 single (2-item)    |
| 1     |        |    0 | 2 single (2-item) | 2 single (2-item)    | 2 single (2-item)    | pair+single (3-item) |
| 2     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | 1 pair (2-item)      | 1 pair (2-item)      |
| 3     |        |    0 | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)      | 2 single (2-item)    |
| 4     |        |    0 | 2 single (2-item) | 2 single (2-item)    | pair+single (3-item) | 2 single (2-item)    |
| 5     |        |    0 | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)      | 2 single (2-item)    |
| 6     |        |    0 | 2 single (2-item) | 2 single (2-item)    | pair+single (3-item) | 2 single (2-item)    |
| 7     |        |    0 | 2 single (2-item) | 1 pair (2-item)      | 2 single (2-item)    | 2 single (2-item)    |
| 8     |        |    0 | 2 single (2-item) | 2 single (2-item)    | pair+single (3-item) | 2 single (2-item)    |
| 9     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    | 1 pair (2-item)      |
| 10    |        |    0 | 2 single (2-item) | 2 single (2-item)    | 2 single (2-item)    | 2 single (2-item)    |
| 11    |        |    0 | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)      | 1 pair (2-item)      |
| 12    |        |    0 | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)      | 2 single (2-item)    |
| 13    |        |    0 | 2 single (2-item) | 2 single (2-item)    | 2 single (2-item)    | 2 single (2-item)    |
| 14    |        |    0 | 2 single (2-item) | 2 single (2-item)    | 2 single (2-item)    | 2 single (2-item)    |
| 15    |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | 1 pair (2-item)      |
| 16    |        |    0 | 2 single (2-item) | 2 single (2-item)    | 2 single (2-item)    | 2 single (2-item)    |
'----------------------------------------------------------------------------------------------------------------'

===

.---------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |
|-------|--------|------|------------|------------|------------|------------|
| 0     |        |    0 | [6,18,6]   | [40,0,40]  | [36,36,0]  | [0,0,39]   |
| 1     |        |    0 | [28,0,28]  | [17,18,25] | [0,48,0]   | [45,45,0]  |
| 2     |        |    0 | [0,44,44]  | [0,14,14]  | [4,0,4]    | [0,16,16]  |
| 3     |        |    0 | [30,0,30]  | [0,42,45]  | [38,0,38]  | [0,27,11]  |
| 4     |        |    0 | [6,47,0]   | [3,0,3]    | [37,37,0]  | [0,31,20]  |
| 5     |        |    0 | [12,0,33]  | [0,18,0]   | [39,0,39]  | [21,21,0]  |
| 6     |        |    0 | [19,19,0]  | [0,8,8]    | [41,41,4]  | [0,20,20]  |
| 7     |        |    0 | [29,2,2]   | [26,26,1]  | [23,23,0]  | [0,0,41]   |
| 8     |        |    0 | [19,17,17] | [46,0,48]  | [1,1,0]    | [25,0,25]  |
| 9     |        |    0 | [0,7,7]    | [46,35,35] | [34,0,38]  | [31,31,0]  |
| 10    |        |    0 | [29,29,0]  | [3,0,15]   | [46,37,0]  | [0,27,27]  |
| 11    |        |    0 | [33,33,0]  | [9,9,35]   | [10,0,2]   | [43,43,10] |
| 12    |        |    0 | [26,28,0]  | [24,22,24] | [42,0,42]  | [0,10,32]  |
| 13    |        |    0 | [8,5,48]   | [0,24,44]  | [43,36,0]  | [11,0,11]  |
| 14    |        |    0 | [13,5,5]   | [47,0,14]  | [0,23,0]   | [21,0,0]   |
| 15    |        |    0 | [0,12,12]  | [15,47,15] | [22,22,0]  | [0,32,32]  |
| 16    |        |    0 | [9,30,7]   | [34,34,0]  | [13,40,13] | [0,16,0]   |
'---------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      33 |          5 |       11 |
|    1 |      12 |          5 |       15 |
|    2 |      29 |          7 |       10 |
|    3 |      19 |          8 |        6 |
|    4 |      28 |         12 |        1 |
|    5 |      17 |          1 |        8 |
|    6 |       8 |         13 |        6 |
|    7 |      30 |         16 |        3 |
|    8 |       7 |         16 |        9 |
|    9 |      18 |          0 |        1 |
|   10 |       6 |          4 |        0 |
|   11 |      18 |          1 |        5 |
|   12 |      18 |          1 |        5 |
|   13 |      46 |          9 |        8 |
|   14 |      35 |         11 |        9 |
|   15 |       9 |         16 |       11 |
|   16 |      34 |          9 |       16 |
|   17 |       2 |         11 |        7 |
|   18 |      40 |         16 |        0 |
|   19 |      13 |         14 |       16 |
|   20 |       5 |         13 |       14 |
|   21 |      47 |          4 |       14 |
|   22 |       3 |         10 |        4 |
|   23 |      26 |          7 |       12 |
|   24 |      26 |          7 |       12 |
|   25 |      15 |         15 |       10 |
|   26 |      15 |         15 |       10 |
|   27 |      37 |         10 |        4 |
|   28 |      46 |          8 |       10 |
|   29 |      46 |          8 |       10 |
|   30 |      48 |          8 |       13 |
|   31 |       1 |          7 |        8 |
|   32 |      25 |          1 |        8 |
|   33 |      48 |          1 |       13 |
|   34 |      45 |          3 |        1 |
|   35 |      44 |         13 |        2 |
|   36 |      14 |         14 |        2 |
|   37 |       4 |          6 |        2 |
|   38 |      47 |         15 |       14 |
|   39 |      22 |         12 |       15 |
|   40 |      24 |         13 |       12 |
|   41 |      42 |          3 |       12 |
|   42 |      38 |          9 |        3 |
|   43 |      27 |          3 |       10 |
|   44 |      31 |          4 |        9 |
|   45 |      32 |         12 |       15 |
|   46 |      23 |         14 |        7 |
|   47 |      41 |          7 |        6 |
|   48 |      20 |          4 |        6 |
|   49 |      16 |         16 |        2 |
|   50 |      36 |         13 |        0 |
|   51 |      39 |          0 |        5 |
|   52 |      21 |         14 |        5 |
|   53 |      10 |         11 |       12 |
|   54 |      10 |         11 |       12 |
|   55 |      43 |         13 |       11 |
|   56 |      11 |          3 |       13 |
'----------------------------------------'
