Version: 2

Number of IDs: 45
Common Shelves: 15 - Single Shelves: 0
Number of Layers: 4
Locked Shelves: 4
Pair Rate: 0.4000
Pair Amount: 18 - Single Amount: 99
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.7000

W3 IDs: [43, 44, 45]
W2 IDs: [41, 28, 36, 32, 42, 26, 29, 38, 27, 30, 35, 25, 34, 31, 37, 33, 40, 39]
W1 IDs: [20, 10, 5, 3, 23, 1, 14, 12, 24, 4, 11, 7, 8, 6, 17, 13, 16, 2, 19, 22, 18, 9, 15, 21]
W1 Solver-Placed IDs: [1]
Edited IDs: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]

===
.----------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|
| 0     |        |    4 | 2 single (2-item) | pair+single (3-item) | 3 single (3-item)    | 3 single (3-item)    |
| 1     |        |    8 | 2 single (2-item) | pair+single (3-item) | 2 single (2-item)    | pair+single (3-item) |
| 2     |        |   12 | 1 pair (2-item)   | 2 single (2-item)    | 2 single (2-item)    | pair+single (3-item) |
| 3     |        |   16 | 1 pair (2-item)   | pair+single (3-item) | 1 single (1-item)    | 3 single (3-item)    |
| 4     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 1 pair (2-item)      | 1 single (1-item)    |
| 5     |        |    0 | 2 single (2-item) | 2 single (2-item)    | 1 single (1-item)    | 3 single (3-item)    |
| 6     |        |    0 | 2 single (2-item) | 1 single (1-item)    | 3 single (3-item)    | 3 single (3-item)    |
| 7     |        |    0 | 2 single (2-item) | pair+single (3-item) | 2 single (2-item)    | pair+single (3-item) |
| 8     |        |    0 | 1 pair (2-item)   | 2 single (2-item)    | 2 single (2-item)    | pair+single (3-item) |
| 9     |        |    0 | 2 single (2-item) | pair+single (3-item) | 2 single (2-item)    | 1 single (1-item)    |
| 10    |        |    0 | 2 single (2-item) | 3 single (3-item)    | 2 single (2-item)    | pair+single (3-item) |
| 11    |        |    0 | 2 single (2-item) | pair+single (3-item) | 2 single (2-item)    | 1 single (1-item)    |
| 12    |        |    0 | 2 single (2-item) | 2 single (2-item)    | 2 single (2-item)    | 2 single (2-item)    |
| 13    |        |    0 | 2 single (2-item) | 2 single (2-item)    | pair+single (3-item) | 3 single (3-item)    |
| 14    |        |    0 | 1 pair (2-item)   | 2 single (2-item)    | 1 single (1-item)    | pair+single (3-item) |
'----------------------------------------------------------------------------------------------------------------'

===

.---------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |
|-------|--------|------|------------|------------|------------|------------|
| 0     |        |   12 | [40,0,7]   | [45,45,0]  | [0,21,21]  | [10,10,0]  |
| 1     |        |   16 | [0,0,14]   | [31,31,0]  | [0,43,43]  | [33,33,0]  |
| 2     |        |    0 | [27,34,27] | [13,13,19] | [12,12,0]  | [0,16,0]   |
| 3     |        |    0 | [32,32,44] | [40,40,5]  | [0,2,2]    | [35,35,0]  |
| 4     |        |    0 | [42,0,42]  | [20,19,19] | [28,22,28] | [0,0,0]    |
| 5     |        |    0 | [8,8,0]    | [25,15,15] | [17,17,0]  | [23,16,23] |
| 6     |        |    0 | [41,41,7]  | [18,1,1]   | [36,33,0]  | [39,0,39]  |
| 7     |        |    0 | [6,6,0]    | [38,44,38] | [37,37,30] | [0,26,26]  |
| 8     |        |    4 | [29,3,29]  | [14,11,11] | [0,24,24]  | [0,0,0]    |
| 9     |        |    8 | [18,7,20]  | [36,5,36]  | [9,9,43]   | [4,4,0]    |
| 10    |        |    0 | [3,20,3]   | [45,28,27] | [0,9,0]    | [0,10,39]  |
| 11    |        |    0 | [38,32,1]  | [0,15,29]  | [30,0,30]  | [23,12,0]  |
| 12    |        |    0 | [8,0,6]    | [41,34,34] | [22,22,4]  | [2,17,0]   |
| 13    |        |    0 | [42,0,44]  | [25,25,14] | [24,0,35]  | [0,0,0]    |
| 14    |        |    0 | [5,0,13]   | [18,37,11] | [0,16,31]  | [21,0,26]  |
'---------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |       8 |         12 |        5 |
|    1 |       6 |         12 |        7 |
|    2 |      42 |         13 |        4 |
|    3 |      44 |          3 |       13 |
|    4 |      44 |          7 |       13 |
|    5 |      32 |         11 |        3 |
|    6 |      38 |         11 |        7 |
|    7 |      14 |         13 |       11 |
|    8 |      25 |          5 |       13 |
|    9 |       7 |          6 |        5 |
|   10 |      41 |         12 |        6 |
|   11 |      34 |          2 |       12 |
|   12 |      18 |          6 |        2 |
|   13 |       1 |         11 |        6 |
|   14 |      20 |         10 |        6 |
|   15 |       3 |          8 |       10 |
|   16 |      18 |          2 |        8 |
|   17 |      27 |         10 |        2 |
|   18 |      40 |          3 |        0 |
|   19 |       7 |          0 |        3 |
|   20 |      40 |          3 |        0 |
|   21 |      45 |         10 |        0 |
|   22 |      19 |          2 |        0 |
|   23 |      13 |         14 |        2 |
|   24 |      20 |          4 |        2 |
|   25 |      19 |          0 |        4 |
|   26 |      28 |          4 |       10 |
|   27 |      28 |          4 |       10 |
|   28 |      22 |         12 |        4 |
|   29 |      22 |         12 |        4 |
|   30 |       5 |         14 |        3 |
|   31 |      37 |          7 |       12 |
|   32 |      37 |         14 |        7 |
|   33 |      36 |          6 |       13 |
|   34 |      30 |          7 |        4 |
|   35 |      20 |          6 |       14 |
|   36 |      37 |         12 |        7 |
|   37 |      14 |         11 |        1 |
|   38 |       5 |          3 |       12 |
|   39 |      29 |          8 |        3 |
|   40 |       7 |          5 |        0 |
|   41 |      15 |         11 |        5 |
|   42 |      29 |          3 |       11 |
|   43 |      33 |          6 |       12 |
|   44 |      29 |          8 |       11 |
|   45 |      18 |          8 |        4 |
|   46 |      14 |          8 |        5 |
|   47 |      26 |          7 |        6 |
|   48 |      30 |          4 |       11 |
|   49 |      14 |          5 |        1 |
|   50 |      11 |         14 |        8 |
|   51 |      24 |         13 |        8 |
|   52 |      20 |          2 |       14 |
|   53 |      12 |         11 |        2 |
|   54 |      26 |          6 |        3 |
|   55 |      17 |          5 |       10 |
|   56 |      17 |          5 |        4 |
|   57 |      23 |          5 |        1 |
|   58 |      16 |          2 |        6 |
|   59 |       5 |          3 |       11 |
|   60 |      21 |          0 |        7 |
|   61 |      23 |          1 |       13 |
|   62 |      23 |         13 |        2 |
|   63 |      18 |          4 |        1 |
|   64 |      23 |          5 |        2 |
|   65 |      23 |         11 |        2 |
|   66 |      18 |         14 |        2 |
|   67 |      20 |          9 |       14 |
|   68 |      21 |          0 |        7 |
|   69 |      18 |          1 |        2 |
|   70 |      18 |          9 |        2 |
|   71 |      31 |         14 |        1 |
|   72 |       7 |          0 |        9 |
|   73 |       7 |          3 |        9 |
|   74 |      16 |          5 |       14 |
|   75 |      16 |          6 |       14 |
|   76 |      26 |          7 |        3 |
|   77 |      26 |         14 |        3 |
|   78 |      21 |         14 |        7 |
|   79 |       5 |          9 |       11 |
|   80 |       5 |         12 |       11 |
|   81 |      36 |         13 |        9 |
|   82 |      43 |          9 |        1 |
|   83 |       9 |         10 |        9 |
|   84 |      33 |         12 |        1 |
|   85 |       4 |         12 |        9 |
|   86 |       2 |         12 |        3 |
|   87 |      35 |         13 |        3 |
|   88 |      17 |         10 |        4 |
|   89 |      10 |         10 |        0 |
|   90 |      39 |         10 |        6 |
|   91 |      17 |         12 |        4 |
'----------------------------------------'
