Version: 2

Number of IDs: 33
Common Shelves: 9 - Single Shelves: 0
Number of Layers: 5
Locked Shelves: 1
Pair Rate: 0.7500
Pair Amount: 25 - Single Amount: 49
Weight: W1=0.6000 - W2=0.3500 - W3=0.0500
W1 Validation Threshold: 0.8500

W3 IDs: [31, 33, 32]
W2 IDs: [21, 24, 22, 23, 29, 27, 26, 20, 30, 28, 25]
W1 IDs: [6, 15, 16, 1, 13, 11, 3, 7, 10, 2, 9, 19, 5, 18, 8, 17, 12, 4, 14]
W1 Solver-Placed IDs: [19, 18]
Edited IDs: [33, 32, 8, 31, 18, 26, 4, 21, 25, 24, 3, 13, 7, 20, 23, 19]

===
.------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |      Layer 1      |       Layer 2        |      Layer 3      |      Layer 4      |
|-------|--------|------|-------------------|-------------------|----------------------|-------------------|-------------------|
| 0     |        |    4 | 1 pair (2-item)   | 3 single (3-item) | 2 single (2-item)    | 1 pair (2-item)   | 2 single (2-item) |
| 1     |        |    0 | 1 pair (2-item)   | 2 single (2-item) | 1 pair (2-item)      | 3 single (3-item) | 1 pair (2-item)   |
| 2     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)   | 1 pair (2-item)      | 1 pair (2-item)   | 2 single (2-item) |
| 3     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)   | 3 single (3-item)    | 1 pair (2-item)   | 1 pair (2-item)   |
| 4     |        |    0 | 2 single (2-item) | 2 single (2-item) | pair+single (3-item) | 3 single (3-item) | 2 single (2-item) |
| 5     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)   | 3 single (3-item)    | 2 single (2-item) | 1 pair (2-item)   |
| 6     |        |    0 | 2 single (2-item) | 1 pair (2-item)   | 1 pair (2-item)      | 1 pair (2-item)   | 1 pair (2-item)   |
| 7     |        |    0 | 1 pair (2-item)   | 3 single (3-item) | 2 single (2-item)    | 3 single (3-item) | 1 pair (2-item)   |
| 8     |        |    0 | 2 single (2-item) | 1 pair (2-item)   | 3 single (3-item)    | 1 pair (2-item)   | 2 single (2-item) |
'------------------------------------------------------------------------------------------------------------------------------'

===

.--------------------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |  Layer 2  |   Layer 3  |  Layer 4  |
|-------|--------|------|------------|------------|-----------|------------|-----------|
| 0     |        |    4 | [0,8,33]   | [18,31,0]  | [0,6,10]  | [25,25,0]  | [0,1,2]   |
| 1     |        |    0 | [0,11,11]  | [33,32,33] | [0,7,7]   | [31,12,25] | [1,1,0]   |
| 2     |        |    0 | [14,14,0]  | [16,16,0]  | [0,10,10] | [0,26,26]  | [4,0,4]   |
| 3     |        |    0 | [17,0,17]  | [8,0,8]    | [6,9,7]   | [22,22,0]  | [21,21,0] |
| 4     |        |    0 | [32,32,28] | [0,27,15]  | [9,29,29] | [12,12,21] | [24,22,0] |
| 5     |        |    0 | [27,27,0]  | [28,0,28]  | [0,9,0]   | [29,31,0]  | [0,2,2]   |
| 6     |        |    0 | [14,17,0]  | [24,24,18] | [0,13,13] | [0,30,30]  | [0,20,20] |
| 7     |        |    0 | [23,18,23] | [19,16,0]  | [0,20,3]  | [5,4,0]    | [3,3,0]   |
| 8     |        |    0 | [0,11,19]  | [23,15,15] | [13,19,6] | [5,0,5]    | [30,26,0] |
'--------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      14 |          6 |        2 |
|    1 |      17 |          6 |        3 |
|    2 |      11 |          8 |        1 |
|    3 |      28 |          4 |        2 |
|    4 |      32 |          1 |        4 |
|    5 |      33 |          0 |        1 |
|    6 |       8 |          0 |        3 |
|    7 |       7 |          3 |        1 |
|    8 |      27 |          4 |        5 |
|    9 |      28 |          2 |        5 |
|   10 |      18 |          6 |        0 |
|   11 |      31 |          0 |        2 |
|   12 |      18 |          7 |        0 |
|   13 |      19 |          8 |        0 |
|   14 |      23 |          8 |        7 |
|   15 |      15 |          4 |        8 |
|   16 |       9 |          3 |        5 |
|   17 |       9 |          4 |        5 |
|   18 |      29 |          5 |        4 |
|   19 |       6 |          0 |        3 |
|   20 |       6 |          8 |        3 |
|   21 |      31 |          1 |        5 |
|   22 |      31 |          2 |        5 |
|   23 |      16 |          7 |        2 |
|   24 |      10 |          0 |        2 |
|   25 |      19 |          0 |        7 |
|   26 |      19 |          8 |        7 |
|   27 |      25 |          1 |        0 |
|   28 |       2 |          0 |        5 |
|   29 |      12 |          4 |        1 |
|   30 |      12 |          4 |        1 |
|   31 |       1 |          0 |        1 |
|   32 |      21 |          4 |        0 |
|   33 |      22 |          4 |        3 |
|   34 |      21 |          0 |        3 |
|   35 |      24 |          4 |        6 |
|   36 |      13 |          8 |        6 |
|   37 |      30 |          6 |        0 |
|   38 |      30 |          6 |        0 |
|   39 |      20 |          7 |        6 |
|   40 |       3 |          7 |        1 |
|   41 |       5 |          7 |        8 |
|   42 |      30 |          8 |        0 |
|   43 |      26 |          8 |        2 |
|   44 |       4 |          7 |        2 |
|   45 |       3 |          1 |        7 |
'----------------------------------------'
