Version: 2

Number of IDs: 53
Common Shelves: 12 - Single Shelves: 0
Number of Layers: 5
Locked Shelves: 0
Pair Rate: 0.8000
Pair Amount: 42 - Single Amount: 75
Weight: W1=0.8000 - W2=0.1500 - W3=0.0500
W1 Validation Threshold: 0.6000

W3 IDs: [53, 50, 52, 51]
W2 IDs: [45, 46, 48, 44, 43, 47, 49]
W1 IDs: [34, 11, 31, 6, 28, 8, 26, 22, 7, 9, 16, 4, 19, 23, 10, 35, 15, 21, 18, 30, 20, 29, 25, 38, 39, 3, 2, 17, 24, 14, 42, 1, 41, 12, 40, 27, 32, 13, 33, 37, 36, 5]
W1 Solver-Placed IDs: [15, 16, 25, 7, 33, 13]
Edited IDs: [3, 4, 6, 7, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 32, 33, 34, 35, 36, 38, 39, 41, 43, 44, 45, 47, 48, 49, 51, 52, 53]

===
.---------------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |       Layer 4        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|----------------------|
| 0     |        |    0 | 2 single (2-item) | 1 single (1-item)    | 3 single (3-item)    | 3 single (3-item)    | pair+single (3-item) |
| 1     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    | 3 single (3-item)    | pair+single (3-item) |
| 2     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 3     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 4     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 5     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) |
| 6     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) |
| 7     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 1 single (1-item)    | 3 single (3-item)    | pair+single (3-item) |
| 8     |        |    0 | 2 single (2-item) | pair+single (3-item) | 1 pair (2-item)      | 3 single (3-item)    | 2 single (2-item)    |
| 9     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | 1 pair (2-item)      |
| 10    |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 11    |        |    0 | 2 single (2-item) | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    |
'---------------------------------------------------------------------------------------------------------------------------------------'

===

.----------------------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |   Layer 4  |
|-------|--------|------|------------|------------|------------|------------|------------|
| 0     |        |    0 | [26,25,25] | [41,18,13] | [0,0,19]   | [48,27,27] | [10,10,42] |
| 1     |        |    0 | [0,23,23]  | [39,39,4]  | [51,6,6]   | [8,38,38]  | [42,42,28] |
| 2     |        |    0 | [0,52,20]  | [45,16,16] | [12,0,12]  | [9,27,9]   | [11,28,28] |
| 3     |        |    0 | [39,43,43] | [0,25,16]  | [19,19,53] | [2,0,2]    | [30,50,30] |
| 4     |        |    0 | [33,22,22] | [20,20,52] | [50,21,50] | [24,24,5]  | [46,46,1]  |
| 5     |        |    0 | [35,33,0]  | [41,41,3]  | [48,48,0]  | [24,29,29] | [1,1,53]   |
| 6     |        |    0 | [49,0,49]  | [47,47,43] | [32,45,45] | [38,36,36] | [31,11,11] |
| 7     |        |    0 | [18,18,0]  | [13,52,13] | [12,0,6]   | [29,9,17]  | [40,31,31] |
| 8     |        |    0 | [7,7,47]   | [3,3,49]   | [0,32,32]  | [17,17,2]  | [0,53,44]  |
| 9     |        |    0 | [0,35,35]  | [34,4,4]   | [26,26,14] | [5,5,46]   | [0,37,37]  |
| 10    |        |    0 | [34,0,34]  | [15,51,15] | [14,23,14] | [8,8,36]   | [37,40,40] |
| 11    |        |    0 | [15,51,0]  | [0,7,22]   | [21,33,21] | [44,44,0]  | [0,10,30]  |
'----------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      35 |          5 |        9 |
|    1 |      34 |          9 |       10 |
|    2 |      51 |         10 |       11 |
|    3 |      15 |         11 |       10 |
|    4 |      23 |         10 |        1 |
|    5 |       4 |          1 |        9 |
|    6 |      39 |          3 |        1 |
|    7 |      51 |          1 |       11 |
|    8 |      14 |          9 |       10 |
|    9 |      26 |          0 |        9 |
|   10 |      33 |          4 |        5 |
|   11 |      22 |         11 |        4 |
|   12 |      52 |          4 |        2 |
|   13 |      20 |          2 |        4 |
|   14 |       7 |          8 |       11 |
|   15 |       7 |          8 |       11 |
|   16 |      33 |         11 |        5 |
|   17 |      21 |          4 |       11 |
|   18 |      47 |          8 |        0 |
|   19 |      49 |          8 |        6 |
|   20 |       3 |          5 |        8 |
|   21 |      43 |          6 |        3 |
|   22 |      47 |          0 |        6 |
|   23 |      25 |          3 |        0 |
|   24 |      41 |          0 |        5 |
|   25 |      32 |          6 |        8 |
|   26 |      18 |          0 |        7 |
|   27 |      52 |          7 |        2 |
|   28 |      13 |          0 |        7 |
|   29 |      45 |          2 |        6 |
|   30 |      16 |          3 |        2 |
|   31 |       6 |          7 |        1 |
|   32 |      12 |          7 |        2 |
|   33 |      19 |          3 |        0 |
|   34 |      19 |          3 |        0 |
|   35 |      48 |          0 |        5 |
|   36 |      27 |          2 |        0 |
|   37 |       9 |          7 |        2 |
|   38 |       8 |          1 |        3 |
|   39 |      38 |          6 |        1 |
|   40 |      36 |         10 |        6 |
|   41 |       8 |          3 |       10 |
|   42 |      28 |          1 |        3 |
|   43 |      42 |          0 |        1 |
|   44 |      11 |          2 |        1 |
|   45 |      28 |          3 |        2 |
|   46 |      11 |          6 |        1 |
|   47 |      11 |          6 |        1 |
|   48 |      53 |          3 |        1 |
|   49 |       2 |          8 |        3 |
|   50 |      50 |          3 |        4 |
|   51 |      17 |          7 |        8 |
|   52 |      44 |          8 |       11 |
|   53 |      10 |         11 |        0 |
|   54 |      30 |         11 |        3 |
|   55 |       5 |          4 |        0 |
|   56 |      24 |          5 |        4 |
|   57 |      29 |          7 |        5 |
|   58 |      53 |          1 |        8 |
|   59 |      53 |          5 |        8 |
|   60 |       1 |          4 |        5 |
|   61 |      46 |          9 |        4 |
|   62 |       5 |          0 |        9 |
|   63 |      37 |         10 |        9 |
|   64 |      40 |          7 |       10 |
|   65 |      31 |          6 |        7 |
'----------------------------------------'
