Version: 2

Number of IDs: 48
Common Shelves: 10 - Single Shelves: 0
Number of Layers: 5
Locked Shelves: 2
Pair Rate: 0.7700
Pair Amount: 37 - Single Amount: 70
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.5000

W3 IDs: [46, 48, 47]
W2 IDs: [29, 32, 41, 38, 27, 37, 36, 28, 30, 39, 45, 34, 31, 35, 43, 40, 44, 42, 33]
W1 IDs: [7, 16, 9, 12, 20, 11, 13, 1, 25, 17, 19, 26, 18, 23, 21, 15, 14, 5, 8, 2, 22, 6, 10, 4, 3, 24]
W1 Solver-Placed IDs: [4, 18, 26, 1, 25]
Edited IDs: [1, 3, 4, 6, 8, 13, 16, 21, 25, 30, 31, 37, 44]

===
.------------------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |       Layer 0        |       Layer 1        |       Layer 2        |       Layer 3        |       Layer 4        |
|-------|--------|------|----------------------|----------------------|----------------------|----------------------|----------------------|
| 0     |        |    4 | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) |
| 1     |        |    8 | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    | 3 single (3-item)    |
| 2     |        |    0 | 3 single (3-item)    | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) |
| 3     |        |    0 | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 4     |        |    0 | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    |
| 5     |        |    0 | 1 pair (2-item)      | 3 single (3-item)    | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) |
| 6     |        |    0 | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    | 3 single (3-item)    | pair+single (3-item) |
| 7     |        |    0 | 2 single (2-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 8     |        |    0 | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 9     |        |    0 | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
'------------------------------------------------------------------------------------------------------------------------------------------'

===

.----------------------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |   Layer 4  |
|-------|--------|------|------------|------------|------------|------------|------------|
| 0     |        |    4 | [16,26,26] | [10,39,10] | [38,20,20] | [5,34,5]   | [12,12,14] |
| 1     |        |    8 | [1,1,26]   | [7,7,41]   | [48,11,11] | [29,22,48] | [36,17,23] |
| 2     |        |    0 | [8,8,0]    | [21,37,37] | [1,3,20]   | [9,33,33]  | [12,29,29] |
| 3     |        |    0 | [4,41,41]  | [28,19,28] | [39,39,43] | [27,40,27] | [14,14,33] |
| 4     |        |    0 | [30,37,30] | [15,15,13] | [34,34,4]  | [18,35,35] | [24,18,18] |
| 5     |        |    0 | [16,16,4]  | [31,15,7]  | [42,42,6]  | [32,22,22] | [17,17,2]  |
| 6     |        |    0 | [13,0,13]  | [44,25,25] | [45,47,28] | [46,9,9]   | [23,23,27] |
| 7     |        |    0 | [0,25,30]  | [19,19,47] | [46,3,3]   | [5,38,38]  | [32,32,48] |
| 8     |        |    0 | [0,44,44]  | [45,45,10] | [11,31,31] | [36,36,47] | [2,35,2]   |
| 9     |        |    0 | [6,8,6]    | [21,21,42] | [40,0,40]  | [43,43,0]  | [24,24,46] |
'----------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |       8 |          9 |        2 |
|    1 |      37 |          4 |        6 |
|    2 |      30 |          7 |        4 |
|    3 |      21 |          2 |        7 |
|    4 |      37 |          6 |        2 |
|    5 |      13 |          4 |        6 |
|    6 |      44 |          6 |        8 |
|    7 |      25 |          7 |        6 |
|    8 |       4 |          5 |        4 |
|    9 |      16 |          0 |        5 |
|   10 |       4 |          4 |        0 |
|   11 |      15 |          5 |        4 |
|   12 |       4 |          0 |        5 |
|   13 |      26 |          1 |        0 |
|   14 |       1 |          2 |        1 |
|   15 |      39 |          0 |        2 |
|   16 |      10 |          8 |        0 |
|   17 |      45 |          6 |        8 |
|   18 |      38 |          0 |        6 |
|   19 |      20 |          2 |        0 |
|   20 |      41 |          1 |        2 |
|   21 |       7 |          5 |        1 |
|   22 |       4 |          3 |        5 |
|   23 |      41 |          2 |        3 |
|   24 |      48 |          1 |        2 |
|   25 |      11 |          8 |        1 |
|   26 |      31 |          5 |        8 |
|   27 |       4 |          4 |        5 |
|   28 |      34 |          0 |        4 |
|   29 |       6 |          5 |        9 |
|   30 |      42 |          9 |        5 |
|   31 |      21 |          7 |        9 |
|   32 |      19 |          3 |        0 |
|   33 |      28 |          6 |        3 |
|   34 |      47 |          7 |        6 |
|   35 |      19 |          0 |        7 |
|   36 |      43 |          3 |        0 |
|   37 |      39 |          2 |        3 |
|   38 |      40 |          3 |        9 |
|   39 |      43 |          0 |        9 |
|   40 |      32 |          5 |        0 |
|   41 |      22 |          1 |        5 |
|   42 |      38 |          6 |        1 |
|   43 |      47 |          8 |        6 |
|   44 |      46 |          7 |        2 |
|   45 |       3 |          2 |        7 |
|   46 |      32 |          0 |        2 |
|   47 |       5 |          7 |        0 |
|   48 |      38 |          1 |        7 |
|   49 |      48 |          7 |        1 |
|   50 |      32 |          2 |        7 |
|   51 |      29 |          1 |        7 |
|   52 |      48 |          2 |        1 |
|   53 |      36 |          1 |        8 |
|   54 |      46 |          6 |        2 |
|   55 |      46 |          9 |        2 |
|   56 |       9 |          2 |        6 |
|   57 |      27 |          6 |        3 |
|   58 |      23 |          1 |        6 |
|   59 |      33 |          3 |        2 |
|   60 |      14 |          0 |        3 |
|   61 |      12 |          2 |        0 |
|   62 |      29 |          7 |        2 |
|   63 |      17 |          5 |        1 |
|   64 |      17 |          5 |        1 |
|   65 |       2 |          8 |        5 |
|   66 |       2 |          8 |        5 |
|   67 |      18 |          4 |        0 |
|   68 |      35 |          8 |        4 |
|   69 |      24 |          4 |        9 |
|   70 |      18 |          0 |        4 |
'----------------------------------------'
