Version: 2

Number of IDs: 51
Common Shelves: 19 - Single Shelves: 0
Number of Layers: 4
Locked Shelves: 0
Pair Rate: 0.7900
Pair Amount: 40 - Single Amount: 73
Weight: W1=0.6000 - W2=0.3500 - W3=0.0500
W1 Validation Threshold: 0.6000

W3 IDs: [50, 48, 49, 51]
W2 IDs: [36, 39, 45, 31, 40, 37, 34, 32, 33, 38, 44, 47, 43, 46, 35, 41, 42]
W1 IDs: [12, 14, 6, 8, 23, 4, 20, 1, 29, 25, 5, 26, 13, 24, 19, 28, 30, 27, 3, 11, 10, 18, 7, 15, 16, 17, 9, 2, 22, 21]
W1 Solver-Placed IDs: [30, 26, 17, 13]
Edited IDs: [9, 12, 13, 17, 19, 26, 27, 30, 31, 32, 34, 35, 38, 42, 46, 48, 49, 50, 51]

===
.----------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |      Layer 1      |       Layer 2        |      Layer 3      |
|-------|--------|------|-------------------|-------------------|----------------------|-------------------|
| 0     |        |    0 | 1 pair (2-item)   | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)   |
| 1     |        |    0 | 2 single (2-item) | 1 pair (2-item)   | 1 pair (2-item)      | 1 pair (2-item)   |
| 2     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)   | 2 single (2-item)    | 2 single (2-item) |
| 3     |        |    0 | 1 pair (2-item)   | 2 single (2-item) | 1 pair (2-item)      | 2 single (2-item) |
| 4     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)   | 2 single (2-item)    | 1 pair (2-item)   |
| 5     |        |    0 | 2 single (2-item) | 1 pair (2-item)   | 1 pair (2-item)      | 2 single (2-item) |
| 6     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)   | 1 pair (2-item)      | 1 pair (2-item)   |
| 7     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)   | 1 pair (2-item)      | 2 single (2-item) |
| 8     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)   | 3 single (3-item)    | 2 single (2-item) |
| 9     |        |    0 | 2 single (2-item) | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)   |
| 10    |        |    0 | 2 single (2-item) | 2 single (2-item) | 1 single (1-item)    | 1 pair (2-item)   |
| 11    |        |    0 | 1 pair (2-item)   | 2 single (2-item) | 1 pair (2-item)      | 1 pair (2-item)   |
| 12    |        |    0 | 1 pair (2-item)   | 2 single (2-item) | 1 pair (2-item)      | 1 pair (2-item)   |
| 13    |        |    0 | 2 single (2-item) | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)   |
| 14    |        |    0 | 2 single (2-item) | 1 pair (2-item)   | 2 single (2-item)    | 2 single (2-item) |
| 15    |        |    0 | 2 single (2-item) | 2 single (2-item) | pair+single (3-item) | 1 pair (2-item)   |
| 16    |        |    0 | 1 pair (2-item)   | 2 single (2-item) | 1 pair (2-item)      | 1 pair (2-item)   |
| 17    |        |    0 | 2 single (2-item) | 2 single (2-item) | 1 pair (2-item)      | 2 single (2-item) |
| 18    |        |    0 | 1 pair (2-item)   | 2 single (2-item) | 2 single (2-item)    | 2 single (2-item) |
'----------------------------------------------------------------------------------------------------------'

===

.--------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |  Layer 2  |   Layer 3  |
|-------|--------|------|------------|------------|-----------|------------|
| 0     |        |    0 | [36,0,36]  | [35,8,33]  | [22,40,0] | [0,39,39]  |
| 1     |        |    0 | [0,29,16]  | [9,9,0]    | [0,44,44] | [0,27,27]  |
| 2     |        |    0 | [41,0,41]  | [37,48,37] | [32,0,6]  | [28,20,0]  |
| 3     |        |    0 | [49,19,19] | [36,15,0]  | [42,42,0] | [0,14,0]   |
| 4     |        |    0 | [18,18,0]  | [8,8,0]    | [0,2,0]   | [24,0,24]  |
| 5     |        |    0 | [30,7,30]  | [32,32,0]  | [0,3,3]   | [25,50,0]  |
| 6     |        |    0 | [21,21,0]  | [0,40,40]  | [10,0,10] | [25,0,25]  |
| 7     |        |    0 | [7,0,7]    | [43,43,0]  | [33,33,0] | [0,27,4]   |
| 8     |        |    0 | [0,16,16]  | [46,0,46]  | [1,1,10]  | [0,50,0]   |
| 9     |        |    0 | [0,9,23]   | [34,41,34] | [0,3,0]   | [0,17,17]  |
| 10    |        |    0 | [38,0,47]  | [44,19,0]  | [0,30,0]  | [0,28,28]  |
| 11    |        |    0 | [0,11,11]  | [42,51,0]  | [6,6,0]   | [14,0,14]  |
| 12    |        |    0 | [23,0,23]  | [0,12,12]  | [22,22,0] | [20,20,0]  |
| 13    |        |    0 | [18,46,11] | [31,0,26]  | [0,49,50] | [0,5,5]    |
| 14    |        |    0 | [0,21,0]   | [47,0,47]  | [34,13,1] | [0,5,0]    |
| 15    |        |    0 | [35,35,37] | [0,15,15]  | [2,0,2]   | [17,45,45] |
| 16    |        |    0 | [0,13,13]  | [12,0,0]   | [31,0,31] | [0,4,4]    |
| 17    |        |    0 | [26,26,43] | [0,49,51]  | [38,38,0] | [0,48,24]  |
| 18    |        |    0 | [29,29,0]  | [0,51,0]   | [0,45,39] | [0,48,0]   |
'--------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      16 |          1 |        8 |
|    1 |      29 |          1 |       18 |
|    2 |       7 |          5 |        7 |
|    3 |       9 |          9 |        1 |
|    4 |      23 |          9 |       12 |
|    5 |      41 |          9 |        2 |
|    6 |      18 |         13 |        4 |
|    7 |      46 |         13 |        8 |
|    8 |      11 |         13 |       11 |
|    9 |      21 |         14 |        6 |
|   10 |      47 |         10 |       14 |
|   11 |      34 |         14 |        9 |
|   12 |      13 |         14 |       16 |
|   13 |      12 |         16 |       12 |
|   14 |      31 |         13 |       16 |
|   15 |      43 |         17 |        7 |
|   16 |      26 |         13 |       17 |
|   17 |       1 |          8 |       14 |
|   18 |       1 |          8 |       14 |
|   19 |      51 |         11 |       18 |
|   20 |      51 |         17 |       18 |
|   21 |      49 |          3 |       17 |
|   22 |      49 |         13 |       17 |
|   23 |      38 |         10 |       17 |
|   24 |      44 |         10 |        1 |
|   25 |      19 |         10 |        3 |
|   26 |      36 |          3 |        0 |
|   27 |       8 |          0 |        4 |
|   28 |      33 |          0 |        7 |
|   29 |      27 |          7 |        1 |
|   30 |       4 |          7 |       16 |
|   31 |      30 |         10 |        5 |
|   32 |      48 |          2 |       17 |
|   33 |      37 |         15 |        2 |
|   34 |      32 |          2 |        5 |
|   35 |       3 |          9 |        5 |
|   36 |      35 |          0 |       15 |
|   37 |      40 |          0 |        6 |
|   38 |      22 |          0 |       12 |
|   39 |      15 |          3 |       15 |
|   40 |       2 |          4 |       15 |
|   41 |      10 |          8 |        6 |
|   42 |      25 |          5 |        6 |
|   43 |      42 |         11 |        3 |
|   44 |       6 |          2 |       11 |
|   45 |      28 |          2 |       10 |
|   46 |      20 |          2 |       12 |
|   47 |      14 |          3 |       11 |
|   48 |      17 |         15 |        9 |
|   49 |      24 |         17 |        4 |
|   50 |      39 |         18 |        0 |
|   51 |      45 |         18 |       15 |
|   52 |      48 |         18 |       17 |
|   53 |      50 |         13 |        5 |
|   54 |      50 |          8 |        5 |
|   55 |       5 |         14 |       13 |
'----------------------------------------'
