Version: 2

Number of IDs: 52
Common Shelves: 21 - Single Shelves: 0
Number of Layers: 3
Locked Shelves: 0
Pair Rate: 0.7300
Pair Amount: 38 - Single Amount: 80
Weight: W1=0.6000 - W2=0.3500 - W3=0.0500
W1 Validation Threshold: 0.6000

W3 IDs: [52, 51, 50]
W2 IDs: [38, 47, 37, 35, 48, 36, 42, 39, 44, 49, 43, 32, 33, 46, 45, 41, 40, 34]
W1 IDs: [30, 1, 27, 4, 29, 25, 31, 2, 22, 12, 26, 16, 14, 5, 6, 23, 21, 8, 24, 3, 13, 9, 18, 11, 15, 20, 17, 7, 19, 28, 10]
W1 Solver-Placed IDs: [20, 13, 23, 10, 3, 18, 27, 2, 8, 9, 17, 28]
Edited IDs: [2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]

===
.---------------------------------------------------------------------------------------.
| Shelf | Single | Lock |     Layer 0     |       Layer 1        |       Layer 2        |
|-------|--------|------|-----------------|----------------------|----------------------|
| 0     |        |    0 | 1 pair (2-item) | 3 single (3-item)    | 3 single (3-item)    |
| 1     |        |    0 | 1 pair (2-item) | pair+single (3-item) | pair+single (3-item) |
| 2     |        |    0 | 1 pair (2-item) | 1 single (1-item)    | pair+single (3-item) |
| 3     |        |    0 | 1 pair (2-item) | 3 single (3-item)    | 3 single (3-item)    |
| 4     |        |    0 | 1 pair (2-item) | pair+single (3-item) | 3 single (3-item)    |
| 5     |        |    0 | 1 pair (2-item) | 3 single (3-item)    | pair+single (3-item) |
| 6     |        |    0 | 1 pair (2-item) | 3 single (3-item)    | pair+single (3-item) |
| 7     |        |    0 | 1 pair (2-item) | pair+single (3-item) | pair+single (3-item) |
| 8     |        |    0 | 1 pair (2-item) | pair+single (3-item) | 3 single (3-item)    |
| 9     |        |    0 | 1 pair (2-item) | 3 single (3-item)    | 3 single (3-item)    |
| 10    |        |    0 | 1 pair (2-item) | 3 single (3-item)    | pair+single (3-item) |
| 11    |        |    0 | 1 pair (2-item) | 3 single (3-item)    | 3 single (3-item)    |
| 12    |        |    0 | 1 pair (2-item) | 1 single (1-item)    | 3 single (3-item)    |
| 13    |        |    0 | 1 pair (2-item) | 3 single (3-item)    | pair+single (3-item) |
| 14    |        |    0 | 1 pair (2-item) | pair+single (3-item) | 3 single (3-item)    |
| 15    |        |    0 | 1 pair (2-item) | pair+single (3-item) | 1 single (1-item)    |
| 16    |        |    0 | 1 pair (2-item) | 1 single (1-item)    | 1 single (1-item)    |
| 17    |        |    0 | 1 pair (2-item) | pair+single (3-item) | 1 single (1-item)    |
| 18    |        |    0 | 1 pair (2-item) | pair+single (3-item) | 3 single (3-item)    |
| 19    |        |    0 | 1 pair (2-item) | 3 single (3-item)    | pair+single (3-item) |
| 20    |        |    0 | 1 pair (2-item) | 3 single (3-item)    | pair+single (3-item) |
'---------------------------------------------------------------------------------------'

===

.--------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |
|-------|--------|------|------------|------------|------------|
| 0     |        |    0 | [33,33,3]  | [43,0,4]   | [21,0,51]  |
| 1     |        |    0 | [0,18,34]  | [22,22,2]  | [30,45,30] |
| 2     |        |    0 | [27,27,0]  | [52,8,8]   | [12,12,25] |
| 3     |        |    0 | [13,13,0]  | [31,5,5]   | [7,0,7]    |
| 4     |        |    0 | [20,0,20]  | [34,34,46] | [12,0,0]   |
| 5     |        |    0 | [2,0,2]    | [14,14,8]  | [0,38,38]  |
| 6     |        |    0 | [0,28,28]  | [37,35,37] | [21,15,21] |
| 7     |        |    0 | [0,43,43]  | [39,39,29] | [1,52,1]   |
| 8     |        |    0 | [47,28,47] | [0,51,51]  | [16,37,0]  |
| 9     |        |    0 | [42,42,17] | [47,19,52] | [48,26,0]  |
| 10    |        |    0 | [17,49,49] | [44,0,5]   | [30,26,26] |
| 11    |        |    0 | [0,41,41]  | [14,40,36] | [16,6,16]  |
| 12    |        |    0 | [18,18,0]  | [42,33,27] | [24,6,6]   |
| 13    |        |    0 | [29,0,29]  | [9,32,38]  | [0,46,46]  |
| 14    |        |    0 | [50,50,0]  | [31,13,31] | [15,9,15]  |
| 15    |        |    0 | [44,44,0]  | [48,10,48] | [3,0,3]    |
| 16    |        |    0 | [23,0,10]  | [11,23,23] | [1,20,0]   |
| 17    |        |    0 | [10,32,32] | [4,41,4]   | [0,9,0]    |
| 18    |        |    0 | [19,0,19]  | [45,49,45] | [25,7,25]  |
| 19    |        |    0 | [36,0,36]  | [22,11,11] | [0,35,35]  |
| 20    |        |    0 | [40,40,17] | [39,50,0]  | [24,0,24]  |
'--------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      18 |          1 |       12 |
|    1 |      28 |          8 |        6 |
|    2 |      27 |         12 |        2 |
|    3 |       3 |          0 |        1 |
|    4 |      33 |         12 |        0 |
|    5 |      43 |          0 |        7 |
|    6 |      29 |          7 |       13 |
|    7 |      42 |          9 |       12 |
|    8 |      42 |          9 |       12 |
|    9 |      17 |         10 |        9 |
|   10 |      17 |         20 |        9 |
|   11 |      47 |          9 |        8 |
|   12 |      19 |          9 |       18 |
|   13 |      49 |         18 |       10 |
|   14 |      44 |         10 |       15 |
|   15 |      10 |         17 |       16 |
|   16 |      32 |         13 |       17 |
|   17 |      41 |         17 |       11 |
|   18 |       4 |          0 |       17 |
|   19 |      51 |          0 |        8 |
|   20 |      36 |         11 |       19 |
|   21 |      40 |         11 |       20 |
|   22 |      39 |         20 |        7 |
|   23 |      50 |         20 |       14 |
|   24 |      24 |         12 |       20 |
|   25 |      13 |         14 |        3 |
|   26 |      31 |          3 |       14 |
|   27 |       5 |         10 |        3 |
|   28 |      52 |          2 |        9 |
|   29 |      52 |          7 |        9 |
|   30 |       9 |         13 |       17 |
|   31 |       9 |         14 |       17 |
|   32 |      35 |          6 |       17 |
|   33 |      37 |          8 |        6 |
|   34 |      15 |          6 |       14 |
|   35 |      21 |          0 |        6 |
|   36 |      30 |         10 |        0 |
|   37 |      26 |          9 |       10 |
|   38 |      14 |         11 |        6 |
|   39 |       6 |         11 |       12 |
|   40 |      16 |          8 |       11 |
|   41 |       8 |          2 |       11 |
|   42 |       8 |         11 |       10 |
|   43 |      34 |          1 |       14 |
|   44 |       3 |          1 |        4 |
|   45 |       2 |          1 |        5 |
|   46 |      22 |         19 |        1 |
|   47 |      45 |          1 |       18 |
|   48 |      30 |          0 |        1 |
|   49 |       7 |         18 |        3 |
|   50 |      23 |         16 |        1 |
|   51 |      35 |         17 |        8 |
|   52 |      10 |         16 |       11 |
|   53 |      25 |         18 |       20 |
|   54 |       8 |          2 |       10 |
|   55 |      23 |          1 |       10 |
|   56 |      25 |          2 |       18 |
|   57 |      25 |         20 |       18 |
|   58 |      34 |         14 |        3 |
|   59 |      38 |         13 |       12 |
|   60 |      10 |         15 |        1 |
|   61 |      48 |          9 |       15 |
|   62 |       3 |          4 |       15 |
|   63 |      46 |         13 |        9 |
|   64 |      10 |         16 |        0 |
|   65 |      23 |         16 |       20 |
|   66 |      10 |          0 |        7 |
|   67 |      11 |         16 |       19 |
|   68 |      35 |         19 |       14 |
|   69 |      10 |          1 |        4 |
|   70 |      35 |         14 |       18 |
|   71 |      23 |         10 |       14 |
|   72 |       8 |          5 |       10 |
|   73 |      14 |          6 |        5 |
|   74 |      38 |         12 |        5 |
|   75 |      23 |         14 |        6 |
|   76 |      46 |         13 |       10 |
|   77 |      10 |         11 |       12 |
|   78 |      10 |         12 |       11 |
|   79 |      10 |          4 |       11 |
|   80 |      23 |         16 |       13 |
|   81 |       1 |         16 |        5 |
|   82 |      10 |          7 |       11 |
|   83 |       1 |          5 |        7 |
|   84 |      20 |         16 |        4 |
|   85 |      34 |          4 |        3 |
|   86 |      34 |          4 |        3 |
|   87 |      46 |          4 |        9 |
|   88 |      12 |          4 |        2 |
|   89 |      46 |         10 |        9 |
|   90 |      23 |          6 |       13 |
|   91 |      23 |         20 |       13 |
|   92 |      35 |          8 |       18 |
|   93 |      35 |         19 |       18 |
'----------------------------------------'
