Version: 2

Number of IDs: 51
Common Shelves: 22 - Single Shelves: 0
Number of Layers: 3
Locked Shelves: 4
Pair Rate: 0.5000
Pair Amount: 26 - Single Amount: 101
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.6000

W3 IDs: [49, 51, 50]
W2 IDs: [29, 30, 38, 45, 34, 33, 43, 44, 39, 31, 32, 47, 42, 36, 48, 40, 35, 46, 41, 37]
W1 IDs: [28, 4, 23, 16, 9, 11, 21, 1, 3, 19, 26, 25, 18, 17, 6, 13, 2, 27, 10, 12, 15, 5, 22, 14, 7, 20, 8, 24]
W1 Solver-Placed IDs: [13]
Edited IDs: [1, 4, 10, 13, 15, 16, 17, 18, 19, 20, 21, 24, 25, 30, 31, 32, 33, 34, 36, 38, 42, 43, 44, 49]

===
.-----------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |
|-------|--------|------|-------------------|----------------------|----------------------|
| 0     |        |    4 | 1 pair (2-item)   | 3 single (3-item)    | 1 single (1-item)    |
| 1     |        |    8 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    |
| 2     |        |   12 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) |
| 3     |        |   16 | 1 pair (2-item)   | 1 single (1-item)    | 3 single (3-item)    |
| 4     |        |    0 | 1 single (1-item) | 3 single (3-item)    | 3 single (3-item)    |
| 5     |        |    0 | 1 pair (2-item)   | 1 single (1-item)    | 3 single (3-item)    |
| 6     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    |
| 7     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    |
| 8     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) |
| 9     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 1 single (1-item)    |
| 10    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    |
| 11    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    |
| 12    |        |    0 | 1 single (1-item) | 1 single (1-item)    | 1 single (1-item)    |
| 13    |        |    0 | 1 pair (2-item)   | 1 single (1-item)    | pair+single (3-item) |
| 14    |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    |
| 15    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    |
| 16    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) |
| 17    |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    |
| 18    |        |    0 | 1 pair (2-item)   | 1 single (1-item)    | 1 single (1-item)    |
| 19    |        |    0 | 1 single (1-item) | 3 single (3-item)    | 3 single (3-item)    |
| 20    |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    |
| 21    |        |    0 | 1 pair (2-item)   | 1 single (1-item)    | 3 single (3-item)    |
'-----------------------------------------------------------------------------------------'

===

.--------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |
|-------|--------|------|------------|------------|------------|
| 0     |        |    4 | [34,0,34]  | [0,22,49]  | [7,15,0]   |
| 1     |        |    8 | [14,14,0]  | [30,31,22] | [23,25,17] |
| 2     |        |   12 | [29,29,0]  | [38,0,20]  | [44,0,44]  |
| 3     |        |   16 | [0,47,47]  | [41,0,0]   | [18,12,11] |
| 4     |        |    0 | [14,13,13] | [5,0,47]   | [23,6,7]   |
| 5     |        |    0 | [33,33,0]  | [0,1,19]   | [35,26,2]  |
| 6     |        |    0 | [40,0,40]  | [34,24,10] | [21,4,6]   |
| 7     |        |    0 | [45,45,0]  | [0,19,48]  | [8,39,26]  |
| 8     |        |    0 | [50,50,0]  | [0,27,29]  | [31,21,31] |
| 9     |        |    0 | [41,41,0]  | [3,24,20]  | [23,0,0]   |
| 10    |        |    0 | [49,0,49]  | [19,20,27] | [8,2,0]    |
| 11    |        |    0 | [0,48,48]  | [5,1,37]   | [16,17,0]  |
| 12    |        |    0 | [9,40,32]  | [3,0,0]    | [4,18,18]  |
| 13    |        |    0 | [30,30,0]  | [33,13,0]  | [0,21,11]  |
| 14    |        |    0 | [0,51,51]  | [42,43,43] | [8,4,26]   |
| 15    |        |    0 | [0,38,38]  | [44,28,27] | [50,25,0]  |
| 16    |        |    0 | [46,0,46]  | [1,45,28]  | [43,32,32] |
| 17    |        |    0 | [0,36,36]  | [35,46,35] | [17,15,0]  |
| 18    |        |    0 | [42,0,42]  | [3,10,10]  | [7,0,0]    |
| 19    |        |    0 | [16,16,36] | [0,24,5]   | [0,25,12]  |
| 20    |        |    0 | [37,37,0]  | [39,22,39] | [2,15,6]   |
| 21    |        |    0 | [0,9,9]    | [28,0,0]   | [12,11,51] |
'--------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |       9 |         12 |       21 |
|    1 |      36 |         19 |       17 |
|    2 |      46 |         17 |       16 |
|    3 |      40 |         12 |        6 |
|    4 |      34 |          6 |        0 |
|    5 |      49 |          0 |       10 |
|    6 |      45 |         16 |        7 |
|    7 |      48 |          7 |       11 |
|    8 |      14 |          4 |        1 |
|    9 |      30 |          1 |       13 |
|   10 |      37 |         11 |       20 |
|   11 |      13 |         13 |        4 |
|   12 |      33 |         13 |        5 |
|   13 |      22 |          1 |        0 |
|   14 |      22 |         20 |        0 |
|   15 |      19 |          5 |        7 |
|   16 |      19 |         10 |        7 |
|   17 |      39 |          7 |       20 |
|   18 |      47 |          4 |        3 |
|   19 |      41 |          3 |        9 |
|   20 |       1 |          5 |       11 |
|   21 |      35 |          5 |       17 |
|   22 |       5 |         11 |        4 |
|   23 |       1 |         16 |       11 |
|   24 |      16 |         11 |       19 |
|   25 |       5 |         19 |        4 |
|   26 |      24 |          6 |       19 |
|   27 |      24 |          9 |       19 |
|   28 |      28 |         21 |       16 |
|   29 |      51 |         21 |       14 |
|   30 |      42 |         14 |       18 |
|   31 |       3 |         18 |        9 |
|   32 |      10 |          6 |       18 |
|   33 |       7 |          0 |       18 |
|   34 |       7 |          4 |       18 |
|   35 |      15 |         17 |        0 |
|   36 |      15 |         20 |        0 |
|   37 |      32 |         12 |       18 |
|   38 |      20 |          9 |       10 |
|   39 |       3 |         12 |        9 |
|   40 |       4 |         12 |        0 |
|   41 |      12 |          3 |        9 |
|   42 |      18 |          3 |       12 |
|   43 |      11 |         13 |        3 |
|   44 |      11 |         21 |        3 |
|   45 |      12 |          9 |       21 |
|   46 |      12 |         19 |       21 |
|   47 |       6 |          4 |       20 |
|   48 |       2 |         20 |        5 |
|   49 |       6 |          6 |       20 |
|   50 |      31 |          1 |        3 |
|   51 |      23 |          1 |        4 |
|   52 |      23 |          9 |        4 |
|   53 |      38 |         15 |        9 |
|   54 |      32 |         18 |        4 |
|   55 |      17 |          1 |       11 |
|   56 |      17 |         17 |       11 |
|   57 |      38 |         15 |        9 |
|   58 |      28 |         15 |       16 |
|   59 |      43 |         16 |       14 |
|   60 |      27 |         10 |       18 |
|   61 |       8 |         14 |       20 |
|   62 |      32 |         16 |       21 |
|   63 |       4 |          0 |        6 |
|   64 |      25 |         19 |       11 |
|   65 |      27 |         18 |       12 |
|   66 |      32 |         21 |       16 |
|   67 |      32 |          4 |       16 |
|   68 |      21 |          6 |       13 |
|   69 |       4 |         14 |        6 |
|   70 |      26 |          5 |       14 |
|   71 |      26 |          7 |       14 |
|   72 |      29 |          2 |        0 |
|   73 |      29 |          2 |        0 |
|   74 |      38 |          2 |        9 |
|   75 |      20 |          2 |       10 |
|   76 |       2 |         10 |        5 |
|   77 |      44 |         15 |        2 |
|   78 |       8 |          7 |       10 |
|   79 |       8 |         20 |       10 |
|   80 |      27 |         15 |       12 |
|   81 |      50 |         15 |        8 |
|   82 |      29 |          8 |        0 |
|   83 |      27 |          8 |       12 |
|   84 |      21 |         13 |       17 |
|   85 |      21 |         13 |       20 |
|   86 |      25 |         15 |       19 |
|   87 |      21 |         17 |       18 |
|   88 |      21 |         18 |       17 |
|   89 |      21 |         17 |       18 |
|   90 |      31 |          8 |        5 |
|   91 |      25 |          1 |       11 |
|   92 |      21 |         18 |       14 |
|   93 |      25 |         19 |       11 |
|   94 |      31 |          3 |        5 |
|   95 |      31 |          5 |       20 |
|   96 |      31 |          8 |        5 |
|   97 |      31 |         20 |        5 |
|   98 |      21 |          8 |       14 |
|   99 |      21 |         20 |       14 |
'----------------------------------------'
