Number of IDs: 35
Number of Shelves: 10
Number of Layers: 4
Locked Shelves: 0
Pair Rate: 0.9000
Pair Amount: 32 - Single Amount: 41
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.6500

W3 IDs: [34, 35]
W2 IDs: [24, 23, 20, 32, 26, 31, 33, 25, 28, 27, 22, 30, 29, 21]
W1 IDs: [3, 2, 8, 5, 11, 12, 7, 16, 6, 13, 15, 10, 14, 9, 18, 1, 17, 4, 19]
W1 Solver-Placed IDs: [15, 10, 14, 4]

===

.------------------------------------------------------------------------------------------------------------------.
|  Shelf  | Lock Count |       Layer 0        |       Layer 1        |       Layer 2        |       Layer 3        |
|---------|------------|----------------------|----------------------|----------------------|----------------------|
| Shelf 0 |          0 | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| Shelf 1 |          0 | 2 single (2-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| Shelf 2 |          0 | 2 single (2-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| Shelf 3 |          0 | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| Shelf 4 |          0 | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| Shelf 5 |          0 | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| Shelf 6 |          0 | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| Shelf 7 |          0 | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| Shelf 8 |          0 | 1 pair (2-item)      | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| Shelf 9 |          0 | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
'------------------------------------------------------------------------------------------------------------------'

===

.--------------------------------------------------------------------------.
|  Shelf  | Lock Count |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |
|---------|------------|------------|------------|------------|------------|
| Shelf 0 |          0 | [0,0,11]   | [7,35,7]   | [16,3,3]   | [0,29,0]   |
| Shelf 1 |          0 | [0,1,1]    | [14,27,27] | [32,32,0]  | [6,6,30]   |
| Shelf 2 |          0 | [0,1,0]    | [33,32,33] | [3,22,22]  | [13,13,31] |
| Shelf 3 |          0 | [11,11,18] | [17,28,28] | [12,30,30] | [20,20,5]  |
| Shelf 4 |          0 | [0,0,35]   | [7,24,24]  | [34,21,21] | [16,13,16] |
| Shelf 5 |          0 | [4,33,0]   | [8,8,34]   | [34,29,29] | [21,4,4]   |
| Shelf 6 |          0 | [14,27,14] | [25,23,23] | [25,2,25]  | [9,6,9]    |
| Shelf 7 |          0 | [19,10,10] | [17,17,24] | [31,31,26] | [9,15,15]  |
| Shelf 8 |          0 | [19,19,0]  | [0,18,18]  | [2,23,2]   | [20,0,15]  |
| Shelf 9 |          0 | [35,0,10]  | [26,8,26]  | [12,28,12] | [5,22,5]   |
'--------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |       1 |          2 |        1 |
|    1 |      11 |          3 |        0 |
|    2 |      11 |          3 |        0 |
|    3 |      19 |          7 |        3 |
|    4 |      10 |          8 |        7 |
|    5 |      19 |          3 |        8 |
|    6 |      32 |          2 |        3 |
|    7 |      33 |          5 |        2 |
|    8 |       4 |          5 |        3 |
|    9 |      18 |          5 |        8 |
|   10 |      25 |          1 |        4 |
|   11 |      23 |          8 |        1 |
|   12 |      32 |          3 |        1 |
|   13 |      34 |          9 |        3 |
|   14 |       8 |          9 |        5 |
|   15 |      35 |          0 |        4 |
|   16 |      25 |          4 |        0 |
|   17 |      35 |          5 |        4 |
|   18 |      25 |          0 |        5 |
|   19 |       7 |          4 |        0 |
|   20 |      24 |          3 |        4 |
|   21 |      20 |          0 |        8 |
|   22 |       3 |          2 |        0 |
|   23 |      29 |          5 |        0 |
|   24 |      29 |          5 |        0 |
|   25 |      34 |          4 |        3 |
|   26 |       4 |          3 |        0 |
|   27 |      34 |          7 |        3 |
|   28 |      17 |          3 |        7 |
|   29 |      26 |          7 |        9 |
|   30 |      28 |          9 |        3 |
|   31 |      12 |          3 |        9 |
|   32 |      30 |          1 |        3 |
|   33 |      22 |          9 |        2 |
|   34 |       5 |          3 |        9 |
|   35 |      20 |          8 |        3 |
|   36 |      25 |          5 |        3 |
|   37 |      21 |          5 |        4 |
|   38 |       4 |          0 |        5 |
|   39 |      16 |          2 |        0 |
|   40 |      13 |          4 |        2 |
|   41 |      16 |          0 |        4 |
|   42 |       2 |          8 |        0 |
|   43 |       2 |          8 |        0 |
|   44 |      31 |          8 |        7 |
|   45 |       2 |          0 |        8 |
|   46 |      15 |          8 |        3 |
|   47 |      15 |          3 |        4 |
|   48 |       2 |          8 |        4 |
|   49 |      27 |          6 |        5 |
|   50 |      14 |          6 |        8 |
|   51 |      14 |          6 |        8 |
|   52 |      14 |          6 |        8 |
|   53 |      15 |          7 |        6 |
|   54 |      15 |          7 |        5 |
|   55 |       9 |          7 |        5 |
|   56 |      15 |          6 |        4 |
|   57 |      27 |          5 |        6 |
|   58 |       2 |          4 |        0 |
|   59 |      15 |          5 |        4 |
|   60 |       2 |          6 |        0 |
|   61 |      25 |          3 |        6 |
|   62 |       6 |          6 |        1 |
|   63 |       9 |          5 |        6 |
'----------------------------------------'
