Version: 2

Number of IDs: 52
Common Shelves: 23 - Single Shelves: 0
Number of Layers: 3
Locked Shelves: 2
Pair Rate: 0.5400
Pair Amount: 28 - Single Amount: 100
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.7000

W3 IDs: [49, 51, 52, 50]
W2 IDs: [44, 35, 31, 38, 30, 37, 43, 32, 34, 39, 46, 36, 41, 40, 45, 48, 33, 29, 42, 47]
W1 IDs: [11, 16, 8, 21, 15, 19, 26, 17, 20, 1, 13, 25, 10, 9, 5, 3, 27, 6, 24, 23, 14, 12, 28, 2, 7, 18, 4, 22]
W1 Solver-Placed IDs: [1, 16]
Edited IDs: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52]

===
.-----------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |
|-------|--------|------|-------------------|----------------------|----------------------|
| 0     |        |    4 | 1 single (1-item) | pair+single (3-item) | pair+single (3-item) |
| 1     |        |    8 | 1 single (1-item) | 3 single (3-item)    | pair+single (3-item) |
| 2     |        |    0 | 1 single (1-item) | pair+single (3-item) | 3 single (3-item)    |
| 3     |        |    0 | 1 single (1-item) | 3 single (3-item)    | pair+single (3-item) |
| 4     |        |    0 | 1 single (1-item) | 1 single (1-item)    | 3 single (3-item)    |
| 5     |        |    0 | 1 single (1-item) | pair+single (3-item) | pair+single (3-item) |
| 6     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) |
| 7     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    |
| 8     |        |    0 | 1 single (1-item) | 1 single (1-item)    | 3 single (3-item)    |
| 9     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 1 single (1-item)    |
| 10    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) |
| 11    |        |    0 | 1 single (1-item) | pair+single (3-item) | pair+single (3-item) |
| 12    |        |    0 | 1 single (1-item) | 3 single (3-item)    | 3 single (3-item)    |
| 13    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    |
| 14    |        |    0 | 2 single (2-item) | 3 single (3-item)    | 1 single (1-item)    |
| 15    |        |    0 | 1 single (1-item) | pair+single (3-item) | pair+single (3-item) |
| 16    |        |    0 | 1 single (1-item) | pair+single (3-item) | 3 single (3-item)    |
| 17    |        |    0 | 1 single (1-item) | 3 single (3-item)    | 3 single (3-item)    |
| 18    |        |    0 | 1 single (1-item) | 1 single (1-item)    | pair+single (3-item) |
| 19    |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) |
| 20    |        |    0 | 1 single (1-item) | pair+single (3-item) | pair+single (3-item) |
| 21    |        |    0 | 1 single (1-item) | pair+single (3-item) | 3 single (3-item)    |
| 22    |        |    0 | 1 single (1-item) | 3 single (3-item)    | 1 single (1-item)    |
'-----------------------------------------------------------------------------------------'

===

.--------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |
|-------|--------|------|------------|------------|------------|
| 0     |        |    4 | [12,9,0]   | [23,23,43] | [0,50,0]   |
| 1     |        |    8 | [10,44,0]  | [0,17,8]   | [0,0,6]    |
| 2     |        |    0 | [5,16,16]  | [15,31,31] | [0,25,3]   |
| 3     |        |    0 | [50,0,16]  | [28,27,0]  | [0,46,0]   |
| 4     |        |    0 | [4,1,1]    | [28,0,0]   | [13,19,0]  |
| 5     |        |    0 | [0,30,30]  | [49,0,32]  | [41,13,41] |
| 6     |        |    0 | [33,43,43] | [23,40,40] | [36,36,0]  |
| 7     |        |    0 | [45,45,15] | [0,38,0]   | [21,24,0]  |
| 8     |        |    0 | [51,18,0]  | [13,20,0]  | [19,6,3]   |
| 9     |        |    0 | [42,0,42]  | [9,0,7]    | [22,22,0]  |
| 10    |        |    0 | [34,7,34]  | [14,26,52] | [38,38,11] |
| 11    |        |    0 | [5,25,25]  | [37,37,42] | [11,0,0]   |
| 12    |        |    0 | [4,45,15]  | [7,8,34]   | [35,0,3]   |
| 13    |        |    0 | [12,30,12] | [9,8,26]   | [2,51,0]   |
| 14    |        |    0 | [0,52,52]  | [50,29,20] | [11,22,0]  |
| 15    |        |    0 | [4,0,27]   | [36,14,14] | [46,46,0]  |
| 16    |        |    0 | [18,1,0]   | [33,17,33] | [24,0,21]  |
| 17    |        |    0 | [10,49,0]  | [26,0,17]  | [24,40,6]  |
| 18    |        |    0 | [5,48,48]  | [44,44,0]  | [39,0,39]  |
| 19    |        |    0 | [32,32,0]  | [48,0,20]  | [2,2,0]    |
| 20    |        |    0 | [10,49,0]  | [0,35,35]  | [47,29,29] |
| 21    |        |    0 | [31,27,0]  | [51,0,28]  | [0,47,47]  |
| 22    |        |    0 | [18,0,0]   | [41,37,0]  | [19,21,39] |
'--------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      30 |         13 |        5 |
|    1 |      32 |          5 |       19 |
|    2 |       4 |          4 |        3 |
|    3 |       1 |         16 |        4 |
|    4 |      18 |          8 |       16 |
|    5 |      18 |         22 |       16 |
|    6 |      12 |          0 |       13 |
|    7 |      49 |         17 |        5 |
|    8 |      49 |         20 |        5 |
|    9 |       5 |          2 |        0 |
|   10 |      16 |          3 |        2 |
|   11 |       5 |         18 |        0 |
|   12 |      48 |         19 |       18 |
|   13 |      44 |          1 |       18 |
|   14 |      10 |          1 |       17 |
|   15 |      10 |         20 |       17 |
|   16 |      17 |         16 |        1 |
|   17 |      33 |          6 |       16 |
|   18 |       9 |          0 |        3 |
|   19 |       5 |         11 |        0 |
|   20 |      43 |          0 |        6 |
|   21 |      23 |          6 |        0 |
|   22 |       8 |          1 |        0 |
|   23 |      17 |         17 |        1 |
|   24 |       6 |          1 |       11 |
|   25 |      31 |          2 |       22 |
|   26 |      15 |          7 |        2 |
|   27 |      45 |         12 |        7 |
|   28 |      31 |          2 |       21 |
|   29 |      15 |         12 |        2 |
|   30 |       4 |          3 |       12 |
|   31 |       4 |         15 |       12 |
|   32 |      27 |         21 |       15 |
|   33 |      31 |         22 |       21 |
|   34 |       8 |         12 |        0 |
|   35 |       3 |          2 |       17 |
|   36 |      50 |          0 |       21 |
|   37 |       8 |         13 |        0 |
|   38 |      50 |          3 |        8 |
|   39 |       9 |          3 |       15 |
|   40 |      27 |          3 |        4 |
|   41 |       7 |         10 |        1 |
|   42 |      34 |         12 |       10 |
|   43 |      52 |         10 |       14 |
|   44 |       7 |          1 |       12 |
|   45 |      25 |          2 |       18 |
|   46 |      28 |          3 |        4 |
|   47 |      35 |         20 |        0 |
|   48 |       9 |         15 |       13 |
|   49 |      27 |          4 |       15 |
|   50 |      28 |         21 |        4 |
|   51 |      13 |          5 |        4 |
|   52 |      41 |         22 |        5 |
|   53 |      35 |          0 |        1 |
|   54 |      35 |         20 |        2 |
|   55 |      35 |          2 |       10 |
|   56 |      47 |         20 |        0 |
|   57 |      29 |         14 |       20 |
|   58 |      47 |          0 |        5 |
|   59 |      20 |         19 |       20 |
|   60 |      50 |          8 |        2 |
|   61 |      13 |          4 |        7 |
|   62 |      50 |         14 |        2 |
|   63 |      50 |         21 |        2 |
|   64 |      51 |         21 |        8 |
|   65 |      47 |          5 |       21 |
|   66 |      35 |         10 |        5 |
|   67 |      35 |          1 |        4 |
|   68 |      51 |          8 |        1 |
|   69 |      37 |         22 |        2 |
|   70 |      36 |         15 |        0 |
|   71 |      14 |         10 |       15 |
|   72 |      46 |          3 |       15 |
|   73 |      26 |         13 |       10 |
|   74 |      26 |         17 |       10 |
|   75 |      51 |          8 |       15 |
|   76 |      51 |          1 |       12 |
|   77 |      20 |          8 |       14 |
|   78 |      20 |         20 |       14 |
|   79 |      13 |          4 |        8 |
|   80 |      13 |          7 |        8 |
|   81 |      38 |         10 |        7 |
|   82 |      38 |         10 |        7 |
|   83 |      35 |          5 |        4 |
|   84 |      11 |         14 |        5 |
|   85 |       3 |         17 |        3 |
|   86 |      40 |         17 |        6 |
|   87 |      36 |          0 |        6 |
|   88 |      11 |          5 |       10 |
|   89 |      51 |         12 |        6 |
|   90 |      22 |         14 |       21 |
|   91 |      51 |          6 |       20 |
|   92 |      37 |          2 |        6 |
|   93 |      24 |         16 |        2 |
|   94 |      25 |         18 |        0 |
|   95 |      39 |         22 |       18 |
|   96 |      24 |          7 |        2 |
|   97 |      24 |         17 |        2 |
|   98 |      21 |          7 |       16 |
|   99 |      21 |         22 |       16 |
|  100 |      19 |          4 |       22 |
|  101 |      19 |          8 |       22 |
|  102 |       6 |          8 |       17 |
|  103 |       6 |         11 |       17 |
|  104 |      25 |          0 |       11 |
|  105 |      42 |         11 |        9 |
|  106 |      37 |          6 |       11 |
|  107 |       7 |          9 |       12 |
|  108 |       9 |          9 |       13 |
|  109 |      11 |         11 |       10 |
|  110 |      35 |         12 |        4 |
|  111 |       2 |         13 |       19 |
|  112 |      22 |         21 |        9 |
|  113 |       3 |          3 |        8 |
|  114 |       3 |         12 |        8 |
|  115 |      51 |         13 |       15 |
|  116 |      51 |         20 |       15 |
'----------------------------------------'
