Version: 2

Number of IDs: 53
Common Shelves: 22 - Single Shelves: 0
Number of Layers: 3
Locked Shelves: 2
Pair Rate: 0.5500
Pair Amount: 29 - Single Amount: 101
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.7000

W3 IDs: [53, 51, 52]
W2 IDs: [39, 31, 48, 44, 42, 35, 37, 33, 49, 32, 47, 40, 30, 36, 50, 34, 43, 41, 46, 38, 45]
W1 IDs: [18, 19, 17, 12, 22, 1, 23, 9, 16, 8, 29, 21, 2, 14, 24, 26, 25, 7, 6, 4, 28, 11, 27, 5, 15, 3, 10, 20, 13]
W1 Solver-Placed IDs: [19, 21]
Edited IDs: [5, 14, 19, 21, 27, 40, 42, 53]

===
.-----------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |
|-------|--------|------|-------------------|----------------------|----------------------|
| 0     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 2 single (2-item)    |
| 1     |        |    0 | 2 single (2-item) | pair+single (3-item) | 1 single (1-item)    |
| 2     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 3 single (3-item)    |
| 3     |        |    0 | 1 pair (2-item)   | 2 single (2-item)    | 1 pair (2-item)      |
| 4     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) |
| 5     |        |    4 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    |
| 6     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) |
| 7     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) |
| 8     |        |    8 | 2 single (2-item) | pair+single (3-item) | 3 single (3-item)    |
| 9     |        |    0 | 2 single (2-item) | 1 single (1-item)    | 3 single (3-item)    |
| 10    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) |
| 11    |        |    0 | 2 single (2-item) | 2 single (2-item)    | pair+single (3-item) |
| 12    |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) |
| 13    |        |    0 | 2 single (2-item) | pair+single (3-item) | 3 single (3-item)    |
| 14    |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | pair+single (3-item) |
| 15    |        |    0 | 2 single (2-item) | pair+single (3-item) | 2 single (2-item)    |
| 16    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) |
| 17    |        |    0 | 1 pair (2-item)   | 1 single (1-item)    | 3 single (3-item)    |
| 18    |        |    0 | 2 single (2-item) | 3 single (3-item)    | 3 single (3-item)    |
| 19    |        |    0 | 2 single (2-item) | 1 pair (2-item)      | 1 single (1-item)    |
| 20    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    |
| 21    |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 1 single (1-item)    |
'-----------------------------------------------------------------------------------------'

===

.--------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |
|-------|--------|------|------------|------------|------------|
| 0     |        |    0 | [0,37,6]   | [7,11,25]  | [8,0,15]   |
| 1     |        |    0 | [0,5,34]   | [31,31,22] | [13,19,0]  |
| 2     |        |    0 | [19,23,19] | [20,7,49]  | [4,26,15]  |
| 3     |        |    0 | [33,33,0]  | [45,47,0]  | [46,46,0]  |
| 4     |        |    0 | [0,21,21]  | [17,0,22]  | [43,43,29] |
| 5     |        |    4 | [36,36,0]  | [7,3,17]   | [13,18,10] |
| 6     |        |    0 | [16,27,0]  | [25,48,48] | [28,28,52] |
| 7     |        |    0 | [0,6,23]   | [34,34,38] | [30,26,30] |
| 8     |        |    8 | [51,0,14]  | [11,30,11] | [2,4,10]   |
| 9     |        |    0 | [50,40,40] | [46,0,0]   | [31,52,24] |
| 10    |        |    0 | [49,49,0]  | [17,3,0]   | [48,2,2]   |
| 11    |        |    0 | [52,0,6]   | [40,12,0]  | [24,4,24]  |
| 12    |        |    0 | [42,0,42]  | [0,12,20]  | [18,47,47] |
| 13    |        |    0 | [14,14,39] | [41,41,22] | [35,26,8]  |
| 14    |        |    0 | [38,38,0]  | [39,39,0]  | [45,1,45]  |
| 15    |        |    0 | [27,27,9]  | [36,50,50] | [0,51,41]  |
| 16    |        |    0 | [16,0,16]  | [44,0,3]   | [0,53,0]   |
| 17    |        |    0 | [44,44,0]  | [12,0,0]   | [32,1,10]  |
| 18    |        |    0 | [0,5,5]    | [20,53,43] | [1,29,28]  |
| 19    |        |    0 | [23,53,0]  | [32,32,0]  | [15,0,0]   |
| 20    |        |    0 | [9,9,0]    | [25,42,51] | [18,13,29] |
| 21    |        |    0 | [37,33,37] | [35,21,35] | [8,0,0]    |
'--------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      16 |          6 |       16 |
|    1 |       9 |         15 |       20 |
|    2 |      27 |          6 |       15 |
|    3 |      36 |         15 |        5 |
|    4 |      50 |          9 |       15 |
|    5 |      44 |         16 |       17 |
|    6 |      42 |         20 |       12 |
|    7 |      33 |         21 |        3 |
|    8 |      37 |          0 |       21 |
|    9 |       5 |          1 |       18 |
|   10 |      21 |         21 |        4 |
|   11 |       6 |          7 |        0 |
|   12 |       6 |         11 |        0 |
|   13 |      23 |          2 |        7 |
|   14 |      23 |         19 |        7 |
|   15 |      38 |          7 |       14 |
|   16 |      34 |          1 |        7 |
|   17 |      39 |         13 |       14 |
|   18 |      14 |          8 |       13 |
|   19 |      22 |         13 |        4 |
|   20 |      41 |         15 |       13 |
|   21 |      35 |         13 |       21 |
|   22 |      51 |         15 |        8 |
|   23 |      51 |         20 |        8 |
|   24 |      25 |          0 |       20 |
|   25 |      25 |          6 |       20 |
|   26 |      26 |          7 |       13 |
|   27 |      30 |          8 |        7 |
|   28 |      11 |          0 |        8 |
|   29 |      17 |          4 |        7 |
|   30 |      22 |          1 |        4 |
|   31 |      29 |          4 |       15 |
|   32 |      43 |         18 |        4 |
|   33 |      52 |         11 |        4 |
|   34 |      40 |         11 |        9 |
|   35 |      12 |         11 |       17 |
|   36 |      12 |         12 |       17 |
|   37 |      53 |         19 |       18 |
|   38 |      32 |         17 |       19 |
|   39 |       1 |         14 |       17 |
|   40 |      45 |          3 |       14 |
|   41 |      47 |          3 |       14 |
|   42 |      46 |          9 |        3 |
|   43 |      31 |          9 |        1 |
|   44 |      19 |          1 |        2 |
|   45 |      49 |          2 |       10 |
|   46 |       7 |          2 |        0 |
|   47 |       7 |          5 |        0 |
|   48 |      20 |         12 |        2 |
|   49 |      20 |         18 |        2 |
|   50 |       3 |         16 |        5 |
|   51 |      53 |         16 |       18 |
|   52 |      15 |          0 |        7 |
|   53 |       8 |          0 |       15 |
|   54 |      10 |         17 |        0 |
|   55 |      10 |          0 |       10 |
|   56 |       1 |         18 |       17 |
|   57 |      15 |          2 |       19 |
|   58 |      15 |          7 |       19 |
|   59 |      52 |          4 |        9 |
|   60 |      17 |         10 |       17 |
|   61 |      18 |         12 |        0 |
|   62 |      47 |         14 |       12 |
|   63 |      17 |          5 |        7 |
|   64 |      10 |         10 |       16 |
|   65 |      26 |         13 |       14 |
|   66 |       3 |         10 |        5 |
|   67 |      48 |         10 |        6 |
|   68 |       2 |          8 |       10 |
|   69 |      17 |         17 |        7 |
|   70 |      26 |          2 |       13 |
|   71 |      24 |          9 |       10 |
|   72 |      52 |          6 |        9 |
|   73 |      28 |         18 |        6 |
|   74 |       4 |         11 |        6 |
|   75 |      24 |         11 |       12 |
|   76 |      24 |         12 |       17 |
|   77 |      26 |         13 |        7 |
|   78 |       4 |          2 |        6 |
|   79 |       8 |         13 |        2 |
|   80 |       4 |          8 |        6 |
|   81 |      26 |         14 |        9 |
|   82 |      26 |         13 |       12 |
|   83 |       8 |          2 |       21 |
|   84 |      26 |         12 |        6 |
|   85 |       8 |         15 |       21 |
|   86 |      18 |          5 |        0 |
|   87 |      18 |         20 |        0 |
|   88 |      24 |         10 |       14 |
|   89 |      24 |         11 |       13 |
|   90 |      13 |          1 |        5 |
|   91 |      24 |         14 |       13 |
|   92 |      24 |         17 |       13 |
|   93 |      29 |         15 |        4 |
|   94 |      13 |          5 |       15 |
|   95 |      29 |          4 |       18 |
|   96 |      13 |         15 |        1 |
|   97 |      29 |         20 |       18 |
|   98 |      13 |          1 |       20 |
|   99 |      13 |          5 |       20 |
|  100 |      10 |         16 |       12 |
|  101 |      10 |         12 |       13 |
|  102 |      10 |         13 |       12 |
|  103 |      10 |          5 |        8 |
|  104 |      10 |         12 |        8 |
|  105 |      26 |          6 |        7 |
|  106 |      26 |          9 |        7 |
'----------------------------------------'
