Version: 2

Number of IDs: 45
Common Shelves: 7 - Single Shelves: 0
Number of Layers: 7
Locked Shelves: 0
Pair Rate: 0.5500
Pair Amount: 25 - Single Amount: 85
Weight: W1=0.7000 - W2=0.2500 - W3=0.0500
W1 Validation Threshold: 0.7000

W3 IDs: [44, 45, 43]
W2 IDs: [41, 37, 36, 39, 34, 33, 32, 38, 40, 35, 42]
W1 IDs: [24, 23, 20, 1, 28, 26, 9, 3, 19, 2, 14, 16, 29, 17, 21, 18, 30, 8, 4, 12, 10, 25, 31, 13, 22, 7, 11, 5, 27, 15, 6]
W1 Solver-Placed IDs: [22, 2, 13]
Edited IDs: [2, 5, 6, 13, 14, 16, 20, 22, 27, 29, 30, 33, 36, 37, 40, 41, 44]

===
.-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |       Layer 4        |       Layer 5        |       Layer 6        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| 0     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 3 single (3-item)    | pair+single (3-item) | 2 single (2-item)    | 3 single (3-item)    | 3 single (3-item)    |
| 1     |        |    0 | 2 single (2-item) | 3 single (3-item)    | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 2     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    | 2 single (2-item)    | 2 single (2-item)    | pair+single (3-item) |
| 3     |        |    0 | 2 single (2-item) | 1 single (1-item)    | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) |
| 4     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) |
| 5     |        |    0 | 2 single (2-item) | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    |
| 6     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
'-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------'

===

.------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |   Layer 4  |   Layer 5  |   Layer 6  |
|-------|--------|------|------------|------------|------------|------------|------------|------------|------------|
| 0     |        |    0 | [44,0,5]   | [0,40,16]  | [14,37,34] | [34,15,34] | [0,45,35]  | [45,18,9]  | [12,21,28] |
| 1     |        |    0 | [36,0,11]  | [27,44,20] | [40,40,30] | [26,15,43] | [24,24,43] | [9,18,18]  | [1,1,28]   |
| 2     |        |    0 | [29,6,0]   | [16,20,16] | [30,22,30] | [26,22,31] | [22,17,25] | [2,41,3]   | [2,2,45]   |
| 3     |        |    0 | [6,29,6]   | [27,0,13]  | [8,8,33]   | [15,26,31] | [17,10,10] | [0,43,19]  | [7,39,7]   |
| 4     |        |    0 | [29,0,11]  | [36,36,27] | [23,38,23] | [35,35,4]  | [24,25,17] | [39,39,9]  | [12,12,21] |
| 5     |        |    0 | [13,13,11] | [0,37,37]  | [8,0,23]   | [38,38,4]  | [41,25,41] | [3,32,3]   | [28,21,7]  |
| 6     |        |    0 | [5,5,0]    | [33,20,33] | [14,44,14] | [31,4,0]   | [10,32,32] | [19,42,19] | [42,1,42]  |
'------------------------------------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |       5 |          0 |        6 |
|    1 |      29 |          3 |        0 |
|    2 |       6 |          2 |        3 |
|    3 |      29 |          0 |        2 |
|    4 |      29 |          4 |        2 |
|    5 |      11 |          1 |        4 |
|    6 |      11 |          5 |        4 |
|    7 |      13 |          3 |        5 |
|    8 |      36 |          4 |        1 |
|    9 |      36 |          4 |        1 |
|   10 |      27 |          1 |        3 |
|   11 |      27 |          4 |        3 |
|   12 |      20 |          6 |        1 |
|   13 |      33 |          3 |        6 |
|   14 |      44 |          1 |        0 |
|   15 |      20 |          2 |        1 |
|   16 |      44 |          6 |        0 |
|   17 |      16 |          0 |        2 |
|   18 |      40 |          1 |        0 |
|   19 |      40 |          1 |        0 |
|   20 |      37 |          0 |        5 |
|   21 |      14 |          0 |        6 |
|   22 |       8 |          5 |        3 |
|   23 |      34 |          0 |        1 |
|   24 |      23 |          4 |        5 |
|   25 |      23 |          4 |        5 |
|   26 |      38 |          5 |        4 |
|   27 |      38 |          5 |        4 |
|   28 |       4 |          4 |        5 |
|   29 |       4 |          6 |        5 |
|   30 |      15 |          0 |        4 |
|   31 |      34 |          1 |        0 |
|   32 |      30 |          2 |        1 |
|   33 |      30 |          2 |        1 |
|   34 |      15 |          3 |        2 |
|   35 |      15 |          4 |        2 |
|   36 |      35 |          0 |        4 |
|   37 |      22 |          2 |        0 |
|   38 |      15 |          1 |        2 |
|   39 |      22 |          2 |        0 |
|   40 |      31 |          2 |        6 |
|   41 |      31 |          3 |        6 |
|   42 |      26 |          1 |        2 |
|   43 |      26 |          3 |        2 |
|   44 |      45 |          0 |        1 |
|   45 |      22 |          2 |        0 |
|   46 |      17 |          3 |        2 |
|   47 |      10 |          6 |        3 |
|   48 |      25 |          2 |        1 |
|   49 |      17 |          4 |        2 |
|   50 |      45 |          0 |        6 |
|   51 |      25 |          5 |        4 |
|   52 |      41 |          2 |        5 |
|   53 |      24 |          4 |        0 |
|   54 |      25 |          1 |        4 |
|   55 |      45 |          6 |        1 |
|   56 |      32 |          5 |        6 |
|   57 |       3 |          2 |        5 |
|   58 |      42 |          6 |        2 |
|   59 |      19 |          3 |        6 |
|   60 |       1 |          6 |        2 |
|   61 |      42 |          2 |        6 |
|   62 |      43 |          3 |        6 |
|   63 |      39 |          3 |        2 |
|   64 |       7 |          5 |        3 |
|   65 |       9 |          4 |        3 |
|   66 |      39 |          2 |        4 |
|   67 |       2 |          2 |        3 |
|   68 |       1 |          2 |        3 |
|   69 |      43 |          1 |        6 |
|   70 |      45 |          2 |        1 |
|   71 |      43 |          1 |        6 |
|   72 |      24 |          0 |        1 |
|   73 |       2 |          3 |        2 |
|   74 |       9 |          1 |        0 |
|   75 |      18 |          0 |        1 |
|   76 |       9 |          3 |        0 |
|   77 |       1 |          1 |        3 |
|   78 |       1 |          1 |        3 |
|   79 |      28 |          0 |        1 |
|   80 |      28 |          5 |        1 |
|   81 |      21 |          0 |        5 |
|   82 |      21 |          4 |        5 |
|   83 |      12 |          0 |        4 |
'----------------------------------------'
