Version: 2

Number of IDs: 66
Common Shelves: 10 - Single Shelves: 0
Number of Layers: 8
Locked Shelves: 2
Pair Rate: 0.6500
Pair Amount: 43 - Single Amount: 112
Weight: W1=0.6500 - W2=0.3000 - W3=0.0500
W1 Validation Threshold: 0.6000

W3 IDs: [64, 62, 66, 65, 63]
W2 IDs: [54, 56, 48, 59, 61, 58, 55, 52, 51, 44, 49, 46, 43, 45, 57, 47, 53, 60, 50]
W1 IDs: [23, 38, 35, 4, 22, 18, 11, 32, 36, 12, 26, 2, 39, 31, 33, 13, 5, 17, 9, 25, 29, 7, 8, 37, 14, 3, 27, 1, 10, 20, 28, 30, 24, 34, 40, 41, 16, 15, 6, 42, 19, 21]
W1 Solver-Placed IDs: [11, 23]
Edited IDs: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 22, 23, 25, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 38, 39, 41, 42, 44, 45, 47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 60, 62, 63, 64, 65, 66]

===
.------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |       Layer 4        |       Layer 5        |       Layer 6        |       Layer 7        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| 0     |        |    4 | 1 pair (2-item)   | pair+single (3-item) | 1 single (1-item)    | 3 single (3-item)    | 1 single (1-item)    | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) |
| 1     |        |    8 | 2 single (2-item) | 1 pair (2-item)      | 3 single (3-item)    | 1 single (1-item)    | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) | 2 single (2-item)    |
| 2     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 2 single (2-item)    | pair+single (3-item) | 1 single (1-item)    | 1 pair (2-item)      | 3 single (3-item)    | pair+single (3-item) |
| 3     |        |    0 | 2 single (2-item) | pair+single (3-item) | 3 single (3-item)    | 3 single (3-item)    | 3 single (3-item)    | 2 single (2-item)    | 1 pair (2-item)      | 1 pair (2-item)      |
| 4     |        |    0 | 2 single (2-item) | 1 single (1-item)    | 3 single (3-item)    | 1 single (1-item)    | pair+single (3-item) | 3 single (3-item)    | 1 pair (2-item)      | pair+single (3-item) |
| 5     |        |    0 | 2 single (2-item) | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) | 1 pair (2-item)      | 1 pair (2-item)      | 1 pair (2-item)      | 1 single (1-item)    |
| 6     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) | 3 single (3-item)    | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 7     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    | 3 single (3-item)    | 3 single (3-item)    |
| 8     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) | 2 single (2-item)    | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | 1 single (1-item)    |
| 9     |        |    0 | 2 single (2-item) | 1 pair (2-item)      | pair+single (3-item) | pair+single (3-item) | 1 pair (2-item)      | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) |
'------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------'

===

.-------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |   Layer 4  |   Layer 5  |   Layer 6  |   Layer 7  |
|-------|--------|------|------------|------------|------------|------------|------------|------------|------------|------------|
| 0     |        |    0 | [63,47,47] | [55,44,55] | [27,15,0]  | [5,7,7]    | [31,6,31]  | [9,9,39]   | [28,28,25] | [11,11,0]  |
| 1     |        |    0 | [16,0,24]  | [45,45,0]  | [0,66,43]  | [49,1,1]   | [0,14,19]  | [54,54,0]  | [3,3,30]   | [0,0,0]    |
| 2     |        |    8 | [0,17,17]  | [56,56,34] | [8,58,0]   | [60,43,43] | [10,53,10] | [52,52,0]  | [20,6,6]   | [13,62,13] |
| 3     |        |    0 | [24,0,33]  | [21,34,21] | [8,18,0]   | [5,66,66]  | [14,19,35] | [38,29,29] | [46,46,0]  | [0,37,37]  |
| 4     |        |    0 | [64,33,64] | [21,0,56]  | [57,15,15] | [4,49,49]  | [26,0,38]  | [59,59,0]  | [50,28,50] | [0,0,0]    |
| 5     |        |    0 | [55,0,17]  | [51,65,51] | [61,0,22]  | [7,61,61]  | [57,52,57] | [53,0,53]  | [40,11,40] | [13,0,0]   |
| 6     |        |    0 | [16,0,16]  | [0,63,63]  | [18,8,18]  | [1,5,12]   | [19,0,10]  | [39,39,38] | [48,50,48] | [30,30,62] |
| 7     |        |    4 | [44,2,44]  | [41,0,41]  | [0,22,22]  | [36,14,36] | [60,60,29] | [42,0,31]  | [32,25,40] | [37,3,46]  |
| 8     |        |    0 | [47,41,64] | [2,2,34]   | [36,65,65] | [35,35,0]  | [42,62,42] | [20,20,32] | [54,0,23]  | [0,0,0]    |
| 9     |        |    0 | [24,33,51] | [58,58,0]  | [45,27,27] | [0,12,12]  | [4,4,0]    | [48,26,26] | [25,9,32]  | [23,59,23] |
'-------------------------------------------------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      17 |          5 |        2 |
|    1 |      33 |          4 |        3 |
|    2 |      64 |          8 |        4 |
|    3 |      34 |          2 |        4 |
|    4 |      56 |          4 |        2 |
|    5 |      24 |          3 |        2 |
|    6 |      33 |          9 |        3 |
|    7 |      34 |          3 |        4 |
|    8 |      21 |          4 |        3 |
|    9 |      63 |          0 |        3 |
|   10 |      47 |          8 |        0 |
|   11 |      55 |          0 |        5 |
|   12 |      55 |          0 |        5 |
|   13 |      44 |          7 |        0 |
|   14 |      44 |          7 |        0 |
|   15 |      16 |          1 |        6 |
|   16 |      63 |          3 |        6 |
|   17 |      51 |          5 |        9 |
|   18 |      24 |          9 |        0 |
|   19 |      51 |          5 |        9 |
|   20 |      58 |          2 |        9 |
|   21 |      24 |          0 |        1 |
|   22 |      24 |          2 |        1 |
|   23 |      45 |          9 |        1 |
|   24 |      27 |          0 |        9 |
|   25 |       8 |          3 |        2 |
|   26 |       8 |          6 |        2 |
|   27 |      18 |          3 |        6 |
|   28 |      12 |          6 |        9 |
|   29 |       5 |          3 |        6 |
|   30 |      66 |          1 |        3 |
|   31 |      43 |          2 |        1 |
|   32 |      43 |          2 |        1 |
|   33 |      49 |          1 |        0 |
|   34 |       1 |          6 |        1 |
|   35 |       2 |          7 |        0 |
|   36 |      41 |          8 |        7 |
|   37 |      34 |          8 |        4 |
|   38 |       2 |          0 |        8 |
|   39 |      65 |          8 |        5 |
|   40 |      65 |          8 |        5 |
|   41 |      22 |          5 |        7 |
|   42 |      14 |          7 |        1 |
|   43 |      36 |          8 |        7 |
|   44 |      35 |          3 |        8 |
|   45 |      19 |          1 |        3 |
|   46 |      14 |          3 |        1 |
|   47 |      60 |          7 |        2 |
|   48 |      60 |          7 |        2 |
|   49 |      57 |          4 |        0 |
|   50 |      15 |          0 |        4 |
|   51 |       4 |          4 |        9 |
|   52 |      49 |          0 |        4 |
|   53 |      57 |          0 |        1 |
|   54 |       5 |          0 |        6 |
|   55 |      19 |          6 |        3 |
|   56 |      10 |          2 |        6 |
|   57 |      10 |          2 |        6 |
|   58 |      38 |          3 |        4 |
|   59 |      29 |          7 |        3 |
|   60 |      26 |          4 |        0 |
|   61 |      38 |          6 |        4 |
|   62 |      62 |          8 |        2 |
|   63 |      42 |          7 |        8 |
|   64 |      26 |          9 |        7 |
|   65 |      48 |          9 |        6 |
|   66 |      26 |          9 |        2 |
|   67 |      61 |          5 |        4 |
|   68 |      26 |          0 |        7 |
|   69 |       7 |          5 |        0 |
|   70 |      61 |          4 |        5 |
|   71 |       6 |          0 |        3 |
|   72 |      31 |          7 |        0 |
|   73 |      26 |          2 |        7 |
|   74 |      39 |          0 |        2 |
|   75 |       9 |          9 |        0 |
|   76 |      52 |          5 |        4 |
|   77 |      57 |          1 |        5 |
|   78 |      53 |          2 |        5 |
|   79 |      11 |          5 |        1 |
|   80 |      40 |          7 |        5 |
|   81 |      59 |          4 |        5 |
|   82 |      32 |          9 |        5 |
|   83 |      48 |          6 |        2 |
|   84 |      39 |          2 |        6 |
|   85 |      25 |          0 |        9 |
|   86 |      25 |          7 |        9 |
|   87 |      32 |          5 |        7 |
|   88 |      32 |          8 |        7 |
|   89 |      54 |          1 |        0 |
|   90 |      59 |          9 |        8 |
|   91 |      23 |          9 |        5 |
|   92 |      54 |          0 |        9 |
|   93 |      23 |          9 |        4 |
|   94 |       6 |          3 |        0 |
|   95 |      46 |          7 |        3 |
|   96 |      37 |          7 |        3 |
|   97 |      50 |          6 |        3 |
|   98 |      48 |          2 |        6 |
|   99 |      62 |          2 |        1 |
|  100 |      52 |          4 |        2 |
|  101 |      59 |          8 |        4 |
|  102 |      54 |          9 |        8 |
|  103 |      54 |          8 |        7 |
|  104 |      20 |          2 |        8 |
|  105 |       6 |          0 |        2 |
|  106 |      23 |          8 |        7 |
|  107 |      54 |          8 |        3 |
|  108 |      23 |          7 |        3 |
|  109 |       3 |          7 |        0 |
|  110 |      13 |          2 |        8 |
|  111 |      23 |          4 |        2 |
|  112 |      59 |          5 |        4 |
|  113 |      54 |          1 |        7 |
|  114 |      54 |          3 |        7 |
|  115 |      13 |          2 |        8 |
|  116 |      13 |          5 |        8 |
|  117 |      23 |          2 |        5 |
|  118 |      62 |          6 |        5 |
|  119 |      28 |          4 |        3 |
|  120 |      50 |          3 |        4 |
|  121 |      62 |          1 |        2 |
|  122 |      62 |          5 |        2 |
|  123 |      30 |          6 |        5 |
|  124 |      30 |          6 |        3 |
|  125 |      30 |          5 |        1 |
|  126 |      23 |          3 |        5 |
|  127 |      28 |          0 |        1 |
|  128 |      28 |          1 |        3 |
|  129 |      30 |          3 |        1 |
|  130 |      28 |          0 |        3 |
|  131 |       3 |          0 |        2 |
|  132 |       3 |          2 |        0 |
|  133 |      11 |          1 |        9 |
|  134 |      30 |          1 |        2 |
|  135 |      30 |          1 |        2 |
|  136 |      30 |          1 |        2 |
|  137 |       3 |          0 |        1 |
|  138 |      11 |          9 |        0 |
'----------------------------------------'
