Version: 2

Number of IDs: 53
Common Shelves: 12 - Single Shelves: 0
Number of Layers: 5
Locked Shelves: 2
Pair Rate: 0.6500
Pair Amount: 34 - Single Amount: 91
Weight: W1=0.6000 - W2=0.3500 - W3=0.0500
W1 Validation Threshold: 0.6000

W3 IDs: [53, 51, 50, 52]
W2 IDs: [47, 46, 41, 38, 42, 35, 49, 43, 40, 34, 39, 32, 33, 44, 36, 45, 48, 37]
W1 IDs: [15, 29, 10, 11, 5, 1, 18, 19, 17, 6, 28, 27, 2, 7, 13, 20, 31, 21, 30, 12, 25, 23, 22, 8, 9, 3, 26, 14, 16, 4, 24]
W1 Solver-Placed IDs: [8]
Edited IDs: [4, 5, 6, 7, 8, 10, 11, 12, 14, 16, 17, 19, 20, 22, 25, 26, 27, 29, 31, 35, 36, 37, 38, 40, 43, 44, 46, 50, 52]

===
.---------------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |       Layer 4        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|----------------------|
| 0     |        |    4 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 1     |        |    8 | 2 single (2-item) | 2 single (2-item)    | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    |
| 2     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | pair+single (3-item) | 2 single (2-item)    | 3 single (3-item)    |
| 3     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 3 single (3-item)    | pair+single (3-item) | 2 single (2-item)    |
| 4     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 5     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | 2 single (2-item)    | 3 single (3-item)    |
| 6     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) | 1 pair (2-item)      |
| 7     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) |
| 8     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) |
| 9     |        |    0 | 2 single (2-item) | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) | 1 pair (2-item)      |
| 10    |        |    0 | 2 single (2-item) | 3 single (3-item)    | 2 single (2-item)    | pair+single (3-item) | 1 pair (2-item)      |
| 11    |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    | 3 single (3-item)    |
'---------------------------------------------------------------------------------------------------------------------------------------'

===

.----------------------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |   Layer 4  |
|-------|--------|------|------------|------------|------------|------------|------------|
| 0     |        |    4 | [8,7,8]    | [3,3,41]   | [13,22,22] | [10,34,10] | [18,18,15] |
| 1     |        |    8 | [7,0,16]   | [0,51,31]  | [43,9,43]  | [30,48,48] | [2,15,28]  |
| 2     |        |    0 | [41,0,41]  | [36,4,36]  | [13,6,6]   | [0,30,52]  | [24,21,2]  |
| 3     |        |    0 | [16,17,17] | [11,0,38]  | [6,0,20]   | [25,25,52] | [21,0,28]  |
| 4     |        |    0 | [0,44,36]  | [12,5,12]  | [26,26,51] | [23,23,39] | [34,1,34]  |
| 5     |        |    0 | [0,7,16]   | [4,4,31]   | [20,20,0]  | [0,32,49]  | [21,2,18]  |
| 6     |        |    0 | [46,0,46]  | [19,50,50] | [9,27,53]  | [42,42,51] | [39,0,39]  |
| 7     |        |    0 | [45,8,45]  | [44,12,44] | [27,27,22] | [23,52,53] | [32,32,47] |
| 8     |        |    0 | [14,19,19] | [37,50,0]  | [9,13,0]   | [10,35,35] | [1,15,1]   |
| 9     |        |    0 | [17,0,46]  | [45,5,11]  | [38,0,38]  | [29,40,29] | [24,0,24]  |
| 10    |        |    0 | [33,14,14] | [5,11,31]  | [0,42,26]  | [47,47,30] | [40,0,40]  |
| 11    |        |    0 | [37,0,37]  | [3,33,33]  | [49,48,49] | [43,29,25] | [28,35,53] |
'----------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      46 |          9 |        6 |
|    1 |      16 |          3 |        5 |
|    2 |      17 |          9 |        3 |
|    3 |       8 |          7 |        2 |
|    4 |      45 |          9 |        7 |
|    5 |      12 |          7 |        3 |
|    6 |      44 |          4 |        7 |
|    7 |       7 |          0 |        4 |
|    8 |       8 |          2 |        0 |
|    9 |      41 |          0 |        2 |
|   10 |       4 |          2 |        0 |
|   11 |      36 |          4 |        2 |
|   12 |      14 |          8 |        4 |
|   13 |      19 |          6 |        8 |
|   14 |      50 |          8 |        6 |
|   15 |      37 |          8 |       11 |
|   16 |       7 |          5 |        1 |
|   17 |      16 |          1 |        5 |
|   18 |       7 |          4 |        1 |
|   19 |      31 |          5 |        1 |
|   20 |       4 |          0 |        5 |
|   21 |       3 |         11 |        0 |
|   22 |      33 |         10 |       11 |
|   23 |      14 |          4 |       10 |
|   24 |      13 |          0 |        8 |
|   25 |      22 |          7 |        0 |
|   26 |      27 |          6 |        7 |
|   27 |       5 |          4 |        9 |
|   28 |      12 |          3 |        4 |
|   29 |       9 |          8 |        6 |
|   30 |      13 |          2 |        8 |
|   31 |      11 |          9 |        3 |
|   32 |       5 |         10 |        9 |
|   33 |      38 |          3 |        9 |
|   34 |      11 |         10 |        3 |
|   35 |       6 |          3 |        2 |
|   36 |      20 |          3 |        5 |
|   37 |      31 |          1 |       10 |
|   38 |      31 |          1 |       10 |
|   39 |      48 |         11 |       10 |
|   40 |      49 |          5 |       11 |
|   41 |      52 |          3 |        2 |
|   42 |      25 |         11 |        3 |
|   43 |      51 |          4 |        1 |
|   44 |      26 |         10 |        4 |
|   45 |      34 |          0 |        1 |
|   46 |      10 |          8 |        0 |
|   47 |      30 |          2 |        3 |
|   48 |      52 |          7 |        2 |
|   49 |      21 |          3 |        5 |
|   50 |      35 |          8 |        7 |
|   51 |      21 |          2 |        3 |
|   52 |      40 |          9 |       11 |
|   53 |      29 |         11 |        9 |
|   54 |      24 |          2 |        9 |
|   55 |      39 |          4 |        9 |
|   56 |      23 |          7 |        4 |
|   57 |       1 |          4 |        2 |
|   58 |      34 |          1 |        4 |
|   59 |      53 |          6 |        1 |
|   60 |      32 |          5 |        8 |
|   61 |      21 |          5 |        4 |
|   62 |      21 |          3 |        4 |
|   63 |      21 |          5 |        4 |
|   64 |      42 |         10 |        4 |
|   65 |       2 |          5 |        9 |
|   66 |       1 |          2 |        9 |
|   67 |      53 |          7 |       10 |
|   68 |      18 |          0 |        5 |
|   69 |      18 |          0 |        5 |
|   70 |      35 |          7 |        8 |
|   71 |      30 |          3 |       10 |
|   72 |      32 |          7 |        0 |
|   73 |       2 |          2 |        7 |
|   74 |       2 |          9 |        3 |
|   75 |      32 |          8 |        0 |
|   76 |      15 |          0 |        2 |
|   77 |      32 |          7 |       11 |
|   78 |      32 |         11 |        0 |
|   79 |       9 |          6 |        7 |
|   80 |       9 |          6 |        0 |
|   81 |      42 |          6 |        4 |
|   82 |      42 |          6 |        4 |
|   83 |      51 |          1 |        6 |
|   84 |      51 |          1 |        6 |
|   85 |      39 |          9 |        6 |
|   86 |      53 |          1 |        4 |
|   87 |       9 |          1 |        0 |
|   88 |       9 |          7 |        0 |
|   89 |      43 |         11 |        1 |
|   90 |      30 |          1 |        0 |
|   91 |      48 |         10 |        1 |
|   92 |      40 |         11 |        5 |
|   93 |      35 |         11 |        8 |
|   94 |      30 |          0 |       10 |
|   95 |      15 |          1 |        2 |
|   96 |      15 |          8 |        2 |
|   97 |       1 |          9 |        8 |
|   98 |      53 |         10 |        4 |
|   99 |      53 |         11 |        4 |
|  100 |      28 |         11 |       10 |
|  101 |      28 |         10 |        7 |
|  102 |      30 |         10 |        5 |
|  103 |      30 |         10 |        5 |
|  104 |      28 |          7 |        3 |
|  105 |      30 |         10 |        7 |
|  106 |      47 |          7 |       10 |
|  107 |      40 |          5 |       10 |
|  108 |      30 |          7 |        5 |
|  109 |       2 |          1 |        7 |
|  110 |       2 |          3 |        7 |
|  111 |      28 |          1 |        3 |
'----------------------------------------'
