Version: 2

Number of IDs: 44
Common Shelves: 15 - Single Shelves: 0
Number of Layers: 4
Locked Shelves: 0
Pair Rate: 0.8600
Pair Amount: 38 - Single Amount: 56
Weight: W1=0.7000 - W2=0.2500 - W3=0.0500
W1 Validation Threshold: 0.7000

W3 IDs: [42, 43, 44]
W2 IDs: [32, 40, 36, 37, 35, 34, 39, 38, 31, 41, 33]
W1 IDs: [13, 9, 11, 23, 8, 7, 25, 15, 29, 26, 3, 18, 2, 16, 14, 21, 12, 1, 24, 28, 22, 4, 20, 6, 10, 17, 30, 19, 5, 27]
W1 Solver-Placed IDs: [14, 22, 12, 11, 15, 3]
Edited IDs: [11, 12, 2, 42, 15, 22, 43, 5, 14, 25, 39, 3, 44, 34]

===
.----------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|
| 0     |        |    0 | 1 pair (2-item)   | 1 single (1-item)    | 1 pair (2-item)      | 1 pair (2-item)      |
| 1     |        |    0 | 2 single (2-item) | 1 single (1-item)    | 3 single (3-item)    | 1 pair (2-item)      |
| 2     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    | 1 pair (2-item)      |
| 3     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 1 pair (2-item)      | 1 pair (2-item)      |
| 4     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 1 pair (2-item)      | 1 pair (2-item)      |
| 5     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | 1 single (1-item)    | pair+single (3-item) |
| 6     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | 3 single (3-item)    | 1 pair (2-item)      |
| 7     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) | 1 single (1-item)    |
| 8     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 1 pair (2-item)      | 1 pair (2-item)      |
| 9     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 1 pair (2-item)      | pair+single (3-item) |
| 10    |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | 2 single (2-item)    | 3 single (3-item)    |
| 11    |        |    0 | 1 pair (2-item)   | 2 single (2-item)    | pair+single (3-item) | 3 single (3-item)    |
| 12    |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | 1 pair (2-item)      | 1 pair (2-item)      |
| 13    |        |    0 | 1 pair (2-item)   | 1 single (1-item)    | 2 single (2-item)    | pair+single (3-item) |
| 14    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 1 single (1-item)    | pair+single (3-item) |
'----------------------------------------------------------------------------------------------------------------'

===

.---------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |
|-------|--------|------|------------|------------|------------|------------|
| 0     |        |    0 | [11,11,0]  | [5,3,0]    | [40,40,0]  | [21,0,21]  |
| 1     |        |    0 | [0,43,10]  | [27,3,3]   | [30,0,32]  | [0,0,0]    |
| 2     |        |    0 | [39,0,39]  | [37,42,36] | [43,17,43] | [0,41,41]  |
| 3     |        |    0 | [0,36,36]  | [40,27,33] | [0,25,25]  | [7,0,7]    |
| 4     |        |    0 | [0,31,31]  | [35,23,2]  | [9,9,0]    | [15,0,0]   |
| 5     |        |    0 | [16,16,0]  | [23,0,23]  | [0,15,15]  | [4,4,0]    |
| 6     |        |    0 | [0,12,12]  | [26,26,0]  | [19,28,39] | [0,38,38]  |
| 7     |        |    0 | [37,0,37]  | [44,0,0]   | [28,28,41] | [18,0,0]   |
| 8     |        |    0 | [5,0,42]   | [13,25,2]  | [0,17,17]  | [20,0,20]  |
| 9     |        |    0 | [12,24,16] | [34,0,8]   | [0,33,33]  | [0,0,7]    |
| 10    |        |    0 | [0,24,24]  | [8,0,8]    | [44,44,38] | [0,18,4]   |
| 11    |        |    0 | [35,35,0]  | [5,0,27]   | [6,30,30]  | [29,21,18] |
| 12    |        |    0 | [14,22,14] | [11,13,13] | [19,0,19]  | [1,0,1]    |
| 13    |        |    0 | [0,34,34]  | [26,22,22] | [6,9,0]    | [29,20,29] |
| 14    |        |    0 | [10,10,14] | [2,42,31]  | [6,0,0]    | [32,1,32]  |
'---------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      16 |          9 |        5 |
|    1 |      12 |          9 |        6 |
|    2 |      24 |          9 |       10 |
|    3 |       8 |          9 |       10 |
|    4 |      34 |          9 |       13 |
|    5 |      26 |         13 |        6 |
|    6 |      39 |          6 |        2 |
|    7 |      36 |          2 |        3 |
|    8 |      37 |          2 |        7 |
|    9 |      33 |          3 |        9 |
|   10 |      22 |         12 |       13 |
|   11 |      14 |         14 |       12 |
|   12 |      10 |          1 |       14 |
|   13 |      11 |         12 |        0 |
|   14 |      31 |         14 |        4 |
|   15 |      23 |          4 |        5 |
|   16 |      35 |          4 |       11 |
|   17 |       3 |          0 |        5 |
|   18 |       2 |          4 |        0 |
|   19 |       9 |         13 |        4 |
|   20 |      42 |          8 |        2 |
|   21 |      42 |         14 |        2 |
|   22 |       5 |          0 |        8 |
|   23 |       5 |         11 |        8 |
|   24 |      13 |          8 |       12 |
|   25 |      19 |          6 |       12 |
|   26 |       2 |          0 |        8 |
|   27 |      40 |          3 |        0 |
|   28 |      43 |          2 |        1 |
|   29 |      43 |          2 |        1 |
|   30 |      27 |          1 |        3 |
|   31 |       3 |          5 |        1 |
|   32 |      15 |          4 |        5 |
|   33 |      27 |         11 |        3 |
|   34 |      25 |          8 |        3 |
|   35 |       7 |          9 |        3 |
|   36 |       2 |         14 |        8 |
|   37 |      17 |          2 |        8 |
|   38 |      44 |         10 |        7 |
|   39 |      44 |         10 |        7 |
|   40 |      41 |          7 |        2 |
|   41 |      28 |          6 |        7 |
|   42 |      38 |         10 |        6 |
|   43 |       4 |         10 |        5 |
|   44 |       6 |         11 |       13 |
|   45 |       6 |         14 |       13 |
|   46 |      30 |          1 |       11 |
|   47 |      21 |         11 |        0 |
|   48 |      20 |         13 |        8 |
|   49 |      29 |         11 |       13 |
|   50 |       1 |         14 |       12 |
|   51 |      32 |          1 |       14 |
|   52 |      18 |          7 |       10 |
|   53 |      18 |         11 |       10 |
'----------------------------------------'
