Version: 2

Number of IDs: 40
Common Shelves: 11 - Single Shelves: 0
Number of Layers: 5
Locked Shelves: 0
Pair Rate: 0.3500
Pair Amount: 14 - Single Amount: 92
Weight: W1=0.6000 - W2=0.3500 - W3=0.0500
W1 Validation Threshold: 0.7000

W3 IDs: [39, 40]
W2 IDs: [32, 29, 25, 38, 37, 36, 30, 31, 34, 35, 27, 28, 26, 33]
W1 IDs: [18, 21, 6, 1, 11, 13, 10, 9, 17, 7, 22, 23, 20, 24, 4, 14, 19, 16, 15, 12, 2, 3, 5, 8]
W1 Solver-Placed IDs: [20]
Edited IDs: [1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]

===
.---------------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |       Layer 4        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|----------------------|
| 0     |        |    0 | 2 single (2-item) | 2 single (2-item)    | 2 single (2-item)    | pair+single (3-item) | pair+single (3-item) |
| 1     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 2 single (2-item)    | 1 pair (2-item)      | 1 single (1-item)    |
| 2     |        |    0 | 2 single (2-item) | pair+single (3-item) | 2 single (2-item)    | 2 single (2-item)    | 2 single (2-item)    |
| 3     |        |    0 | 2 single (2-item) | 2 single (2-item)    | pair+single (3-item) | 1 single (1-item)    | 1 single (1-item)    |
| 4     |        |    0 | 2 single (2-item) | 2 single (2-item)    | pair+single (3-item) | 2 single (2-item)    | 1 pair (2-item)      |
| 5     |        |    0 | 2 single (2-item) | 2 single (2-item)    | 1 single (1-item)    | 2 single (2-item)    | 1 single (1-item)    |
| 6     |        |    0 | 2 single (2-item) | pair+single (3-item) | 1 single (1-item)    | pair+single (3-item) | 3 single (3-item)    |
| 7     |        |    0 | 2 single (2-item) | 1 single (1-item)    | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) |
| 8     |        |    0 | 2 single (2-item) | 2 single (2-item)    | 2 single (2-item)    | 3 single (3-item)    | 3 single (3-item)    |
| 9     |        |    0 | 2 single (2-item) | 1 single (1-item)    | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) |
| 10    |        |    0 | 2 single (2-item) | pair+single (3-item) | 2 single (2-item)    | 1 single (1-item)    | 3 single (3-item)    |
'---------------------------------------------------------------------------------------------------------------------------------------'

===

.----------------------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |   Layer 4  |
|-------|--------|------|------------|------------|------------|------------|------------|
| 0     |        |    0 | [11,22,11] | [24,20,0]  | [0,6,14]   | [0,36,36]  | [9,0,15]   |
| 1     |        |    0 | [7,7,3]    | [0,19,37]  | [31,31,6]  | [0,25,25]  | [34,39,0]  |
| 2     |        |    0 | [8,0,23]   | [29,12,29] | [0,27,17]  | [21,0,30]  | [0,9,9]    |
| 3     |        |    0 | [1,16,0]   | [3,0,12]   | [0,30,30]  | [34,0,34]  | [10,0,39]  |
| 4     |        |    0 | [11,5,23]  | [13,0,18]  | [0,26,26]  | [2,28,0]   | [28,0,28]  |
| 5     |        |    0 | [0,5,5]    | [12,0,18]  | [6,35,0]   | [24,2,0]   | [4,0,36]   |
| 6     |        |    0 | [1,0,8]    | [37,37,7]  | [21,21,0]  | [38,33,38] | [4,0,15]   |
| 7     |        |    0 | [0,29,8]   | [0,22,22]  | [38,25,17] | [0,31,0]   | [0,33,33]  |
| 8     |        |    0 | [16,40,40] | [13,18,0]  | [0,17,14]  | [32,0,2]   | [10,0,15]  |
| 9     |        |    0 | [0,23,1]   | [3,0,40]   | [35,0,35]  | [0,24,26]  | [32,32,39] |
| 10    |        |    0 | [19,19,16] | [27,27,13] | [0,0,14]   | [0,20,20]  | [4,0,10]   |
'----------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |       5 |          4 |        5 |
|    1 |       3 |          1 |        5 |
|    2 |      22 |          0 |        1 |
|    3 |      11 |          4 |        0 |
|    4 |      23 |          2 |        4 |
|    5 |      23 |          9 |        4 |
|    6 |       1 |          3 |        9 |
|    7 |       1 |          6 |        9 |
|    8 |       8 |          2 |        6 |
|    9 |       8 |          7 |        6 |
|   10 |      29 |          2 |        7 |
|   11 |      29 |          2 |        7 |
|   12 |      22 |          1 |        7 |
|   13 |       7 |          6 |        1 |
|   14 |      37 |          1 |        6 |
|   15 |       3 |          5 |        9 |
|   16 |      16 |          8 |        3 |
|   17 |      40 |          9 |        8 |
|   18 |      16 |         10 |        3 |
|   19 |      21 |          6 |        4 |
|   20 |      21 |          6 |        8 |
|   21 |      25 |          7 |        5 |
|   22 |      17 |          7 |        2 |
|   23 |      19 |          1 |       10 |
|   24 |      27 |         10 |        2 |
|   25 |      18 |          8 |       10 |
|   26 |      27 |         10 |        0 |
|   27 |       3 |          3 |        9 |
|   28 |      12 |          2 |        3 |
|   29 |      12 |          5 |        3 |
|   30 |      27 |          0 |        2 |
|   31 |      38 |          7 |        8 |
|   32 |      38 |          8 |        9 |
|   33 |       6 |          1 |        0 |
|   34 |      31 |          7 |        1 |
|   35 |      25 |          5 |        1 |
|   36 |      33 |          6 |        7 |
|   37 |      38 |          9 |        6 |
|   38 |      18 |          4 |        5 |
|   39 |      18 |         10 |        5 |
|   40 |      35 |          5 |        9 |
|   41 |       6 |          0 |        5 |
|   42 |      13 |          4 |        8 |
|   43 |      21 |          8 |        0 |
|   44 |       4 |          6 |        5 |
|   45 |      13 |         10 |        8 |
|   46 |      14 |         10 |        8 |
|   47 |      26 |          9 |        3 |
|   48 |      20 |          0 |       10 |
|   49 |      24 |          9 |       10 |
|   50 |      10 |         10 |        6 |
|   51 |      21 |          4 |        6 |
|   52 |      24 |          0 |        4 |
|   53 |      24 |          4 |        7 |
|   54 |      26 |          3 |        4 |
|   55 |      21 |          0 |        1 |
|   56 |       4 |         10 |        4 |
|   57 |      24 |         10 |        3 |
|   58 |      17 |          8 |        0 |
|   59 |      14 |          0 |        8 |
|   60 |      17 |          0 |        8 |
|   61 |      39 |          9 |        7 |
|   62 |      32 |          8 |        9 |
|   63 |       2 |          4 |        8 |
|   64 |      17 |          8 |        7 |
|   65 |       6 |          5 |        0 |
|   66 |      24 |          7 |        5 |
|   67 |       6 |          5 |        0 |
|   68 |       4 |          5 |        8 |
|   69 |      24 |          5 |        0 |
|   70 |       4 |          8 |        7 |
|   71 |       2 |          5 |        8 |
|   72 |      24 |          0 |        5 |
|   73 |       4 |          7 |        8 |
|   74 |      15 |          8 |        0 |
|   75 |      24 |          3 |        5 |
|   76 |       4 |          8 |        4 |
|   77 |      10 |          8 |        3 |
|   78 |      17 |          7 |        5 |
|   79 |      15 |          0 |        8 |
|   80 |      36 |          5 |        0 |
|   81 |      39 |          7 |        0 |
|   82 |      15 |          8 |        5 |
|   83 |      15 |          6 |       10 |
|   84 |      15 |          0 |       10 |
|   85 |      15 |          5 |       10 |
|   86 |      39 |          0 |        9 |
|   87 |      39 |          9 |        5 |
|   88 |      39 |          5 |        6 |
|   89 |       9 |          0 |        9 |
|   90 |      28 |          4 |        9 |
|   91 |       4 |          5 |        4 |
|   92 |      28 |          9 |        4 |
|   93 |      17 |          2 |        0 |
|   94 |      27 |          2 |        7 |
|   95 |      27 |          2 |        7 |
|   96 |      27 |          2 |        7 |
|   97 |      17 |          0 |        2 |
|   98 |      17 |          5 |        2 |
|   99 |      21 |          1 |        2 |
|  100 |      30 |          2 |        0 |
|  101 |      21 |          6 |        2 |
|  102 |       9 |          9 |        2 |
|  103 |      10 |          3 |        6 |
|  104 |      30 |          0 |        3 |
|  105 |      34 |          1 |        3 |
|  106 |      39 |          3 |        1 |
|  107 |      39 |          6 |        1 |
|  108 |      10 |          3 |        6 |
'----------------------------------------'
