Version: 2

Number of IDs: 52
Common Shelves: 25 - Single Shelves: 0
Number of Layers: 3
Locked Shelves: 4
Pair Rate: 0.6000
Pair Amount: 31 - Single Amount: 94
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.8500

W3 IDs: [50, 52, 51, 49]
W2 IDs: [39, 48, 38, 29, 47, 33, 44, 31, 35, 30, 42, 34, 37, 45, 36, 46, 43, 40, 32, 41]
W1 IDs: [4, 14, 3, 25, 20, 8, 6, 2, 18, 22, 26, 10, 15, 12, 24, 17, 11, 7, 27, 21, 9, 23, 13, 19, 1, 28, 16, 5]
W1 Solver-Placed IDs: [25, 11]
Edited IDs: [1, 2, 5, 7, 11, 12, 13, 14, 15, 16, 17, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 50, 51, 52]

===
.-----------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |
|-------|--------|------|-------------------|----------------------|----------------------|
| 0     |        |    4 | 1 pair (2-item)   | pair+single (3-item) | 1 single (1-item)    |
| 1     |        |    8 | 1 pair (2-item)   | 1 single (1-item)    | 1 single (1-item)    |
| 2     |        |   12 | 2 single (2-item) | 1 single (1-item)    | pair+single (3-item) |
| 3     |        |   16 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) |
| 4     |        |    0 | 2 single (2-item) | pair+single (3-item) | 1 single (1-item)    |
| 5     |        |    0 | 2 single (2-item) | 1 single (1-item)    | pair+single (3-item) |
| 6     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) |
| 7     |        |    0 | 1 pair (2-item)   | 1 single (1-item)    | pair+single (3-item) |
| 8     |        |    0 | 2 single (2-item) | 2 single (2-item)    | pair+single (3-item) |
| 9     |        |    0 | 2 single (2-item) | pair+single (3-item) | 1 single (1-item)    |
| 10    |        |    0 | 2 single (2-item) | 1 single (1-item)    | pair+single (3-item) |
| 11    |        |    0 | 2 single (2-item) | pair+single (3-item) | 1 single (1-item)    |
| 12    |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) |
| 13    |        |    0 | 1 pair (2-item)   | 1 single (1-item)    | pair+single (3-item) |
| 14    |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 1 single (1-item)    |
| 15    |        |    0 | 2 single (2-item) | 1 single (1-item)    | 2 single (2-item)    |
| 16    |        |    0 | 2 single (2-item) | 3 single (3-item)    | pair+single (3-item) |
| 17    |        |    0 | 2 single (2-item) | 1 single (1-item)    | 1 single (1-item)    |
| 18    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    |
| 19    |        |    0 | 2 single (2-item) | 1 single (1-item)    | 1 single (1-item)    |
| 20    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 1 single (1-item)    |
| 21    |        |    0 | 2 single (2-item) | pair+single (3-item) | 1 single (1-item)    |
| 22    |        |    0 | 2 single (2-item) | 3 single (3-item)    | 1 single (1-item)    |
| 23    |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) |
| 24    |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 1 single (1-item)    |
'-----------------------------------------------------------------------------------------'

===

.-------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |  Layer 2  |
|-------|--------|------|------------|------------|-----------|
| 0     |        |    4 | [3,3,37]   | [20,2,20]  | [28,0,0]  |
| 1     |        |    8 | [0,29,29]  | [14,46,46] | [9,0,0]   |
| 2     |        |   12 | [24,49,0]  | [18,0,45]  | [52,0,0]  |
| 3     |        |   16 | [0,11,11]  | [0,10,0]   | [23,0,23] |
| 4     |        |    0 | [4,16,0]   | [33,33,17] | [13,0,0]  |
| 5     |        |    0 | [24,22,26] | [17,48,48] | [52,0,0]  |
| 6     |        |    0 | [37,37,46] | [0,40,40]  | [0,0,20]  |
| 7     |        |    0 | [34,34,0]  | [49,0,11]  | [32,32,0] |
| 8     |        |    0 | [0,50,4]   | [51,43,0]  | [0,9,9]   |
| 9     |        |    0 | [12,38,0]  | [35,35,0]  | [6,0,0]   |
| 10    |        |    0 | [42,26,26] | [48,25,0]  | [0,0,49]  |
| 11    |        |    0 | [50,16,50] | [19,42,42] | [35,0,0]  |
| 12    |        |    0 | [3,0,36]   | [7,14,7]   | [0,21,0]  |
| 13    |        |    0 | [47,47,0]  | [18,15,15] | [51,51,0] |
| 14    |        |    0 | [31,31,0]  | [41,41,44] | [0,25,25] |
| 15    |        |    0 | [33,27,27] | [1,0,1]    | [21,32,0] |
| 16    |        |    0 | [12,12,0]  | [30,2,18]  | [15,28,0] |
| 17    |        |    0 | [44,44,0]  | [47,0,52]  | [0,0,40]  |
| 18    |        |    0 | [39,0,39]  | [5,14,34]  | [0,28,23] |
| 19    |        |    0 | [38,38,27] | [10,1,0]   | [21,0,0]  |
| 20    |        |    0 | [0,30,30]  | [5,29,17]  | [7,0,0]   |
| 21    |        |    0 | [36,16,36] | [19,19,31] | [6,0,0]   |
| 22    |        |    0 | [0,22,22]  | [8,10,5]   | [6,0,0]   |
| 23    |        |    0 | [4,24,0]   | [39,45,45] | [13,13,0] |
| 24    |        |    0 | [0,43,43]  | [8,2,8]    | [41,0,0]  |
'-------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      22 |          5 |       22 |
|    1 |      12 |          9 |       16 |
|    2 |      30 |         16 |       20 |
|    3 |      36 |         21 |       12 |
|    4 |      16 |         11 |        4 |
|    5 |      50 |          8 |       11 |
|    6 |       4 |          4 |        8 |
|    7 |      16 |         21 |        4 |
|    8 |       4 |         23 |        8 |
|    9 |      43 |          8 |       24 |
|   10 |      36 |         12 |       21 |
|   11 |      36 |         12 |       21 |
|   12 |      29 |         20 |        1 |
|   13 |      31 |         21 |       14 |
|   14 |      19 |         11 |       21 |
|   15 |      42 |         10 |       11 |
|   16 |      26 |          5 |       10 |
|   17 |      44 |         14 |       17 |
|   18 |      47 |         17 |       13 |
|   19 |       3 |          0 |       12 |
|   20 |       3 |          0 |       12 |
|   21 |      24 |          2 |        5 |
|   22 |      24 |         23 |        5 |
|   23 |      39 |         23 |       18 |
|   24 |      34 |         18 |        7 |
|   25 |      11 |          7 |        3 |
|   26 |      14 |          1 |       18 |
|   27 |      46 |          6 |        1 |
|   28 |      37 |          0 |        6 |
|   29 |      49 |          2 |        7 |
|   30 |      45 |          2 |       23 |
|   31 |      17 |          4 |        9 |
|   32 |      33 |         15 |        4 |
|   33 |      13 |          4 |       23 |
|   34 |      27 |         19 |       15 |
|   35 |      38 |          9 |       19 |
|   36 |       1 |         19 |       15 |
|   37 |      10 |          3 |       19 |
|   38 |      10 |         22 |       19 |
|   39 |      17 |          5 |        9 |
|   40 |      48 |         10 |        5 |
|   41 |      17 |         20 |        9 |
|   42 |      35 |         11 |        9 |
|   43 |      18 |         13 |        2 |
|   44 |      18 |         16 |        2 |
|   45 |       2 |          0 |       16 |
|   46 |       2 |         24 |       16 |
|   47 |      15 |         16 |       13 |
|   48 |      51 |          8 |       13 |
|   49 |       9 |          1 |        8 |
|   50 |       8 |         22 |       24 |
|   51 |      41 |         24 |       14 |
|   52 |      25 |         10 |       14 |
|   53 |      49 |         10 |        7 |
|   54 |      32 |         15 |        7 |
|   55 |      52 |          2 |        5 |
|   56 |      52 |         17 |        5 |
|   57 |      40 |         17 |        6 |
|   58 |      20 |          6 |        0 |
|   59 |       5 |         18 |       20 |
|   60 |       5 |         22 |       20 |
|   61 |      14 |         12 |       18 |
|   62 |       7 |         20 |       12 |
|   63 |      23 |         18 |        3 |
|   64 |      28 |          0 |       16 |
|   65 |      28 |         18 |       16 |
|   66 |       6 |          9 |       21 |
|   67 |       6 |         22 |       21 |
|   68 |      21 |         12 |       15 |
|   69 |      21 |         19 |       15 |
'----------------------------------------'
