Version: 2

Number of IDs: 32
Common Shelves: 11 - Single Shelves: 0
Number of Layers: 4
Locked Shelves: 1
Pair Rate: 0.5500
Pair Amount: 18 - Single Amount: 60
Weight: W1=0.6000 - W2=0.3500 - W3=0.0500
W1 Validation Threshold: 0.8000

W3 IDs: [31, 32]
W2 IDs: [20, 28, 21, 24, 22, 30, 25, 29, 27, 26, 23]
W1 IDs: [14, 13, 12, 2, 17, 7, 1, 11, 19, 8, 9, 3, 6, 10, 15, 18, 16, 4, 5]
W1 Solver-Placed IDs: [18, 11]
Edited IDs: [1, 2, 4, 5, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25, 26, 27, 28, 29, 30, 32]

===
.-------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |      Layer 3      |
|-------|--------|------|-------------------|----------------------|----------------------|-------------------|
| 0     |        |    4 | 2 single (2-item) | 1 pair (2-item)      | 1 pair (2-item)      | 3 single (3-item) |
| 1     |        |    0 | 2 single (2-item) | 2 single (2-item)    | 3 single (3-item)    | 2 single (2-item) |
| 2     |        |    0 | 1 pair (2-item)   | 2 single (2-item)    | 2 single (2-item)    | 1 single (1-item) |
| 3     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | pair+single (3-item) | 1 pair (2-item)   |
| 4     |        |    0 | 2 single (2-item) | 2 single (2-item)    | 3 single (3-item)    | 2 single (2-item) |
| 5     |        |    0 | 2 single (2-item) | pair+single (3-item) | 1 pair (2-item)      | 1 pair (2-item)   |
| 6     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 1 pair (2-item)      | 2 single (2-item) |
| 7     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 2 single (2-item)    | 1 pair (2-item)   |
| 8     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | 2 single (2-item)    | 3 single (3-item) |
| 9     |        |    0 | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)      | 2 single (2-item) |
| 10    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 2 single (2-item)    | 1 pair (2-item)   |
'-------------------------------------------------------------------------------------------------------------'

===

.-------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |  Layer 1  |   Layer 2  |  Layer 3  |
|-------|--------|------|------------|-----------|------------|-----------|
| 0     |        |    4 | [2,27,27]  | [0,23,0]  | [18,18,0]  | [31,7,16] |
| 1     |        |    0 | [10,32,32] | [0,11,31] | [3,28,0]   | [14,14,7] |
| 2     |        |    0 | [1,24,24]  | [4,4,0]   | [0,3,21]   | [0,18,0]  |
| 3     |        |    0 | [29,29,0]  | [26,0,26] | [30,31,30] | [28,28,0] |
| 4     |        |    0 | [9,0,20]   | [11,6,11] | [0,8,8]    | [19,7,19] |
| 5     |        |    0 | [10,0,9]   | [20,0,20] | [12,12,0]  | [15,15,0] |
| 6     |        |    0 | [23,23,0]  | [17,17,6] | [0,5,5]    | [22,0,0]  |
| 7     |        |    0 | [9,10,0]   | [27,1,1]  | [3,0,12]   | [21,21,0] |
| 8     |        |    0 | [2,2,4]    | [25,0,25] | [8,5,0]    | [16,0,14] |
| 9     |        |    0 | [0,13,25]  | [6,17,0]  | [0,22,22]  | [0,16,15] |
| 10    |        |    0 | [13,13,26] | [24,29,0] | [0,30,32]  | [0,19,0]  |
'-------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      26 |         10 |        9 |
|    1 |      13 |          9 |       10 |
|    2 |      29 |         10 |        3 |
|    3 |      26 |          9 |        3 |
|    4 |      24 |          2 |       10 |
|    5 |      24 |          2 |       10 |
|    6 |      10 |          1 |        5 |
|    7 |      32 |         10 |        1 |
|    8 |      31 |          3 |        1 |
|    9 |      30 |         10 |        3 |
|   10 |       9 |          5 |        4 |
|   11 |      10 |          7 |        5 |
|   12 |      20 |          4 |        5 |
|   13 |       9 |          7 |        4 |
|   14 |       1 |          7 |        2 |
|   15 |       1 |          7 |        2 |
|   16 |       4 |          8 |        2 |
|   17 |       2 |          0 |        8 |
|   18 |      25 |          9 |        8 |
|   19 |      27 |          7 |        0 |
|   20 |      23 |          0 |        6 |
|   21 |      12 |          7 |        5 |
|   22 |       6 |          4 |        9 |
|   23 |      11 |          1 |        4 |
|   24 |       8 |          8 |        4 |
|   25 |      19 |          4 |       10 |
|   26 |      19 |          4 |       10 |
|   27 |       3 |          7 |        2 |
|   28 |      21 |          2 |        7 |
|   29 |       6 |          6 |        7 |
|   30 |      17 |          9 |        6 |
|   31 |       6 |          7 |        9 |
|   32 |       5 |          8 |        6 |
|   33 |      22 |          6 |        9 |
|   34 |      15 |          9 |        5 |
|   35 |      18 |          0 |        5 |
|   36 |      18 |          0 |        5 |
|   37 |      31 |          0 |        1 |
|   38 |      28 |          1 |        3 |
|   39 |       3 |          1 |        2 |
|   40 |      18 |          2 |        5 |
|   41 |       7 |          0 |        4 |
|   42 |       7 |          1 |        4 |
|   43 |      14 |          8 |        1 |
|   44 |      16 |          0 |        8 |
|   45 |      16 |          9 |        8 |
'----------------------------------------'
