Version: 2

Number of IDs: 40
Common Shelves: 18 - Single Shelves: 0
Number of Layers: 3
Locked Shelves: 4
Pair Rate: 0.4500
Pair Amount: 18 - Single Amount: 84
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.8000

W3 IDs: [39, 40]
W2 IDs: [24, 31, 25, 26, 30, 34, 36, 38, 23, 27, 33, 32, 37, 28, 35, 29]
W1 IDs: [13, 8, 10, 4, 6, 20, 5, 3, 22, 14, 19, 2, 21, 16, 7, 11, 15, 12, 17, 18, 9, 1]
W1 Solver-Placed IDs: [7]
Edited IDs: [1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40]

===
.-----------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |
|-------|--------|------|-------------------|----------------------|----------------------|
| 0     |        |    4 | 1 single (1-item) | 3 single (3-item)    | pair+single (3-item) |
| 1     |        |    8 | 1 single (1-item) | pair+single (3-item) | 3 single (3-item)    |
| 2     |        |   12 | 1 single (1-item) | 3 single (3-item)    | 3 single (3-item)    |
| 3     |        |   16 | 2 single (2-item) | 3 single (3-item)    | 1 single (1-item)    |
| 4     |        |    0 | 1 single (1-item) | 3 single (3-item)    | pair+single (3-item) |
| 5     |        |    0 | 1 single (1-item) | 3 single (3-item)    | 1 single (1-item)    |
| 6     |        |    0 | 1 single (1-item) | pair+single (3-item) | 3 single (3-item)    |
| 7     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | pair+single (3-item) |
| 8     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    |
| 9     |        |    0 | 1 single (1-item) | pair+single (3-item) | pair+single (3-item) |
| 10    |        |    0 | 1 single (1-item) | pair+single (3-item) | 3 single (3-item)    |
| 11    |        |    0 | 1 single (1-item) | pair+single (3-item) | 3 single (3-item)    |
| 12    |        |    0 | 1 single (1-item) | pair+single (3-item) | 1 single (1-item)    |
| 13    |        |    0 | 1 single (1-item) | 1 single (1-item)    | 3 single (3-item)    |
| 14    |        |    0 | 1 single (1-item) | 3 single (3-item)    | pair+single (3-item) |
| 15    |        |    0 | 1 single (1-item) | 3 single (3-item)    | 3 single (3-item)    |
| 16    |        |    0 | 1 single (1-item) | pair+single (3-item) | 3 single (3-item)    |
| 17    |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 1 single (1-item)    |
'-----------------------------------------------------------------------------------------'

===

.-------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |  Layer 2  |
|-------|--------|------|------------|------------|-----------|
| 0     |        |    4 | [9,15,15]  | [10,0,37]  | [39,0,0]  |
| 1     |        |    8 | [19,13,35] | [33,0,33]  | [17,0,3]  |
| 2     |        |   12 | [22,5,5]   | [18,10,6]  | [12,0,0]  |
| 3     |        |   16 | [0,40,27]  | [21,30,0]  | [2,0,0]   |
| 4     |        |    0 | [19,31,31] | [14,0,20]  | [36,0,0]  |
| 5     |        |    0 | [39,28,39] | [11,34,11] | [0,0,0]   |
| 6     |        |    0 | [19,7,7]   | [28,0,28]  | [12,1,23] |
| 7     |        |    0 | [37,0,37]  | [18,23,23] | [0,0,17]  |
| 8     |        |    0 | [26,0,26]  | [6,2,12]   | [3,0,0]   |
| 9     |        |    0 | [0,34,34]  | [35,35,0]  | [0,16,16] |
| 10    |        |    0 | [22,32,0]  | [38,38,18] | [3,1,4]   |
| 11    |        |    0 | [24,9,9]   | [8,36,36]  | [0,38,4]  |
| 12    |        |    0 | [25,0,25]  | [27,14,27] | [33,15,0] |
| 13    |        |    0 | [5,13,13]  | [20,20,0]  | [0,4,2]   |
| 14    |        |    0 | [22,29,29] | [11,10,14] | [30,30,0] |
| 15    |        |    0 | [0,8,8]    | [21,25,21] | [0,17,0]  |
| 16    |        |    0 | [0,31,7]   | [0,29,26]  | [16,0,1]  |
| 17    |        |    0 | [0,32,32]  | [6,24,24]  | [0,40,40] |
'-------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      32 |         10 |       17 |
|    1 |      19 |          6 |        7 |
|    2 |       7 |         16 |        6 |
|    3 |      28 |          5 |        6 |
|    4 |      31 |          4 |       16 |
|    5 |      31 |          4 |       16 |
|    6 |      26 |         16 |        8 |
|    7 |      22 |         14 |       10 |
|    8 |      29 |         16 |       14 |
|    9 |      24 |         11 |        4 |
|   10 |       9 |          0 |       11 |
|   11 |       8 |         11 |       15 |
|   12 |      25 |         15 |       12 |
|   13 |      19 |          1 |        0 |
|   14 |      13 |         13 |        1 |
|   15 |      12 |          6 |        5 |
|   16 |      35 |          1 |        6 |
|   17 |      13 |         13 |        1 |
|   18 |      37 |          7 |        1 |
|   19 |      19 |          7 |       16 |
|   20 |       6 |          8 |        4 |
|   21 |      23 |          6 |        8 |
|   22 |      12 |          8 |       13 |
|   23 |      12 |          5 |        9 |
|   24 |      23 |          8 |       15 |
|   25 |      22 |         10 |       13 |
|   26 |      14 |         12 |        5 |
|   27 |      37 |          7 |        8 |
|   28 |      18 |          7 |        8 |
|   29 |      23 |         15 |        7 |
|   30 |      15 |          0 |       11 |
|   31 |      12 |          9 |       15 |
|   32 |      19 |          4 |        0 |
|   33 |       6 |         17 |        4 |
|   34 |      24 |          4 |       17 |
|   35 |      22 |          2 |       10 |
|   36 |       5 |         13 |        2 |
|   37 |       6 |          2 |        4 |
|   38 |      22 |         13 |       10 |
|   39 |      15 |          0 |        2 |
|   40 |      19 |         16 |        0 |
|   41 |      27 |          3 |       12 |
|   42 |      40 |          3 |       17 |
|   43 |      37 |          1 |        0 |
|   44 |      33 |         12 |        1 |
|   45 |      15 |          2 |       12 |
|   46 |      15 |         11 |       12 |
|   47 |      10 |          0 |        2 |
|   48 |      37 |          8 |        0 |
|   49 |      18 |          2 |        8 |
|   50 |      10 |         14 |        2 |
|   51 |      12 |          2 |       13 |
|   52 |      12 |         15 |       13 |
|   53 |      21 |          3 |       15 |
|   54 |      20 |          4 |       13 |
|   55 |      17 |          1 |        7 |
|   56 |      17 |         15 |        7 |
|   57 |      14 |          4 |       14 |
|   58 |      36 |          4 |       11 |
|   59 |      39 |          5 |        0 |
|   60 |      39 |          5 |        0 |
|   61 |       2 |          8 |       13 |
|   62 |      18 |         10 |        8 |
|   63 |      38 |         11 |       10 |
|   64 |       3 |          1 |        8 |
|   65 |       3 |         10 |        8 |
|   66 |       4 |         10 |       11 |
|   67 |       4 |         13 |       11 |
|   68 |       1 |          6 |       10 |
|   69 |       1 |         16 |       10 |
|   70 |      14 |         14 |        5 |
|   71 |      14 |         14 |        5 |
|   72 |      34 |          5 |        9 |
|   73 |      11 |         14 |        5 |
|   74 |      16 |         16 |        9 |
|   75 |      30 |         14 |       13 |
|   76 |      35 |          9 |        3 |
|   77 |       2 |         13 |       17 |
|   78 |      35 |          6 |        3 |
|   79 |       2 |         17 |        1 |
|   80 |      30 |         13 |        8 |
|   81 |      30 |         14 |       12 |
|   82 |      35 |          9 |        2 |
|   83 |      35 |          2 |        1 |
|   84 |      30 |          3 |        8 |
|   85 |      30 |         12 |        8 |
|   86 |      35 |          1 |        3 |
|   87 |      16 |          9 |        0 |
|   88 |      16 |          0 |        9 |
|   89 |       2 |          1 |        3 |
|   90 |       2 |         13 |        3 |
'----------------------------------------'
