Version: 2

Number of IDs: 35
Common Shelves: 12 - Single Shelves: 0
Number of Layers: 4
Locked Shelves: 4
Pair Rate: 0.9000
Pair Amount: 32 - Single Amount: 41
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.6000

W3 IDs: [35, 34]
W2 IDs: [33, 24, 30, 31, 20, 26, 32, 28, 27, 22, 23, 29, 21, 25]
W1 IDs: [2, 17, 15, 11, 14, 6, 12, 4, 1, 8, 7, 16, 19, 9, 18, 3, 5, 10, 13]
W1 Solver-Placed IDs: [1, 3, 13, 9, 17]
Edited IDs: [1, 3, 7, 12, 13, 17, 18, 26, 28, 30, 31, 34, 35]

===
.----------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|
| 0     |        |    4 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | 1 pair (2-item)      |
| 1     |        |    8 | 1 pair (2-item)   | pair+single (3-item) | 2 single (2-item)    | pair+single (3-item) |
| 2     |        |   12 | 1 pair (2-item)   | 1 single (1-item)    | pair+single (3-item) | 1 single (1-item)    |
| 3     |        |   16 | 1 pair (2-item)   | 1 pair (2-item)      | 1 pair (2-item)      | 1 single (1-item)    |
| 4     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 2 single (2-item)    | 1 single (1-item)    |
| 5     |        |    0 | 2 single (2-item) | 1 pair (2-item)      | 1 pair (2-item)      | pair+single (3-item) |
| 6     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 2 single (2-item)    | 1 pair (2-item)      |
| 7     |        |    0 | 2 single (2-item) | 1 pair (2-item)      | 2 single (2-item)    | pair+single (3-item) |
| 8     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 9     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 1 pair (2-item)      | 1 single (1-item)    |
| 10    |        |    0 | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)      | 1 pair (2-item)      |
| 11    |        |    0 | 2 single (2-item) | pair+single (3-item) | 1 pair (2-item)      | 1 pair (2-item)      |
'----------------------------------------------------------------------------------------------------------------'

===

.--------------------------------------------------------------------------.
| Shelf | Single | Lock |  Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |
|-------|--------|------|-----------|------------|------------|------------|
| 0     |        |    4 | [35,17,8] | [21,2,2]   | [0,12,6]   | [16,16,0]  |
| 1     |        |    8 | [8,8,17]  | [27,27,4]  | [29,0,0]   | [18,18,0]  |
| 2     |        |   12 | [33,0,33] | [30,0,0]   | [25,25,0]  | [16,0,0]   |
| 3     |        |   16 | [0,26,26] | [23,23,0]  | [0,14,14]  | [20,0,0]   |
| 4     |        |    0 | [11,0,11] | [22,7,7]   | [10,3,35]  | [12,1,1]   |
| 5     |        |    0 | [19,35,0] | [24,0,24]  | [21,17,21] | [13,13,26] |
| 6     |        |    0 | [0,32,32] | [31,34,34] | [0,13,18]  | [0,0,0]    |
| 7     |        |    0 | [0,5,15]  | [3,3,0]    | [14,1,24]  | [0,12,9]   |
| 8     |        |    0 | [11,0,19] | [4,33,4]   | [20,20,27] | [9,9,25]   |
| 9     |        |    0 | [0,15,15] | [0,7,0]    | [10,28,10] | [0,30,30]  |
| 10    |        |    0 | [0,19,5]  | [34,0,32]  | [6,6,0]    | [31,31,0]  |
| 11    |        |    0 | [5,0,23]  | [28,2,28]  | [0,22,22]  | [29,0,29]  |
'--------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      15 |          7 |        9 |
|    1 |      11 |          8 |        4 |
|    2 |      19 |          5 |        8 |
|    3 |      19 |         10 |        8 |
|    4 |       5 |          7 |       10 |
|    5 |       5 |         11 |       10 |
|    6 |      32 |         10 |        6 |
|    7 |      22 |          4 |        5 |
|    8 |       7 |          9 |        4 |
|    9 |       3 |          4 |        7 |
|   10 |      35 |          0 |        5 |
|   11 |      34 |          6 |       10 |
|   12 |      34 |          6 |       10 |
|   13 |      17 |          1 |        0 |
|   14 |       8 |          0 |        1 |
|   15 |      22 |          5 |        0 |
|   16 |      35 |          4 |        5 |
|   17 |      24 |          7 |        5 |
|   18 |      10 |          9 |        4 |
|   19 |      10 |          9 |        4 |
|   20 |      33 |          8 |        2 |
|   21 |       4 |          1 |        8 |
|   22 |      27 |          8 |        1 |
|   23 |      22 |          0 |        1 |
|   24 |      17 |          5 |        0 |
|   25 |      21 |          0 |        5 |
|   26 |      26 |          5 |        3 |
|   27 |      23 |         11 |        3 |
|   28 |      14 |          7 |        3 |
|   29 |      20 |          3 |        8 |
|   30 |       2 |         11 |        0 |
|   31 |       6 |          0 |       10 |
|   32 |      31 |          6 |       10 |
|   33 |      13 |          6 |        5 |
|   34 |      28 |          9 |       11 |
|   35 |      22 |          1 |       11 |
|   36 |      29 |          1 |       11 |
|   37 |      30 |          2 |        9 |
|   38 |      18 |          6 |        1 |
|   39 |      25 |          8 |        2 |
|   40 |      12 |          4 |        0 |
|   41 |       1 |          7 |        4 |
|   42 |      12 |          7 |        0 |
|   43 |      16 |          2 |        0 |
|   44 |       9 |          7 |        8 |
'----------------------------------------'
