Version: 2

Number of IDs: 45
Common Shelves: 10 - Single Shelves: 0
Number of Layers: 6
Locked Shelves: 2
Pair Rate: 0.5500
Pair Amount: 25 - Single Amount: 85
Weight: W1=0.7000 - W2=0.2500 - W3=0.0500
W1 Validation Threshold: 0.7000

W3 IDs: [43, 44, 45]
W2 IDs: [34, 35, 39, 33, 32, 37, 40, 41, 38, 42, 36]
W1 IDs: [24, 10, 21, 30, 23, 12, 17, 19, 4, 27, 9, 11, 1, 16, 25, 28, 3, 18, 8, 13, 6, 15, 14, 29, 26, 5, 20, 22, 2, 31, 7]
W1 Solver-Placed IDs: [19, 10, 17]
Edited IDs: [2, 3, 4, 5, 6, 8, 9, 10, 12, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 32, 33, 34, 37, 38, 41, 42, 45]

===
.--------------------------------------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |       Layer 4        |       Layer 5        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| 0     |        |    4 | 1 pair (2-item)   | 1 single (1-item)    | 3 single (3-item)    | pair+single (3-item) | 1 single (1-item)    | 1 single (1-item)    |
| 1     |        |    8 | 1 pair (2-item)   | pair+single (3-item) | 1 single (1-item)    | 3 single (3-item)    | 1 single (1-item)    | 3 single (3-item)    |
| 2     |        |    0 | 2 single (2-item) | 1 single (1-item)    | 1 single (1-item)    | 3 single (3-item)    | 3 single (3-item)    | 1 single (1-item)    |
| 3     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 1 single (1-item)    | 3 single (3-item)    | 1 single (1-item)    | pair+single (3-item) |
| 4     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    | 3 single (3-item)    | 3 single (3-item)    | pair+single (3-item) |
| 5     |        |    0 | 1 pair (2-item)   | 1 single (1-item)    | 3 single (3-item)    | 1 single (1-item)    | 1 single (1-item)    | pair+single (3-item) |
| 6     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    | 1 single (1-item)    | pair+single (3-item) | 3 single (3-item)    |
| 7     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) | 1 pair (2-item)      | pair+single (3-item) | 3 single (3-item)    |
| 8     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | 1 single (1-item)    |
| 9     |        |    0 | 2 single (2-item) | 1 single (1-item)    | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
'--------------------------------------------------------------------------------------------------------------------------------------------------------------'

===

.----------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |  Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |   Layer 4  |   Layer 5  |
|-------|--------|------|-----------|------------|------------|------------|------------|------------|
| 0     |        |    4 | [4,0,4]   | [32,28,28] | [27,7,25]  | [36,36,31] | [35,0,0]   | [9,0,0]    |
| 1     |        |    8 | [5,5,42]  | [22,19,19] | [3,38,0]   | [11,34,21] | [8,0,0]    | [13,1,12]  |
| 2     |        |    0 | [24,2,0]  | [22,0,19]  | [45,26,18] | [29,41,15] | [20,20,0]  | [0,0,0]    |
| 3     |        |    0 | [0,37,37] | [23,14,6]  | [36,21,21] | [26,0,39]  | [30,0,0]   | [1,1,44]   |
| 4     |        |    0 | [24,0,24] | [33,17,17] | [3,0,43]   | [11,0,26]  | [44,30,8]  | [16,13,16] |
| 5     |        |    0 | [32,0,32] | [38,38,23] | [3,0,0]    | [11,45,0]  | [30,0,0]   | [41,41,20] |
| 6     |        |    0 | [0,33,33] | [42,37,42] | [27,40,7]  | [34,8,34]  | [9,0,12]   | [0,0,0]    |
| 7     |        |    0 | [10,2,2]  | [6,22,14]  | [25,25,45] | [40,40,0]  | [0,15,15]  | [16,9,0]   |
| 8     |        |    0 | [10,10,0] | [28,14,6]  | [39,39,7]  | [31,44,31] | [29,29,43] | [13,0,0]   |
| 9     |        |    0 | [5,17,4]  | [23,0,0]   | [27,0,0]   | [18,18,0]  | [43,0,0]   | [35,35,12] |
'----------------------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      24 |          2 |        4 |
|    1 |      33 |          4 |        6 |
|    2 |      37 |          6 |        3 |
|    3 |      10 |          7 |        8 |
|    4 |       2 |          2 |        7 |
|    5 |       4 |          9 |        0 |
|    6 |      32 |          0 |        5 |
|    7 |      28 |          8 |        0 |
|    8 |      17 |          9 |        4 |
|    9 |      42 |          1 |        6 |
|   10 |       5 |          9 |        1 |
|   11 |      23 |          3 |        9 |
|   12 |      23 |          5 |        9 |
|   13 |      14 |          3 |        8 |
|   14 |      27 |          0 |        9 |
|   15 |      27 |          6 |        9 |
|   16 |      22 |          1 |        2 |
|   17 |      19 |          2 |        1 |
|   18 |      38 |          1 |        5 |
|   19 |      22 |          7 |        2 |
|   20 |      18 |          2 |        9 |
|   21 |       3 |          1 |        5 |
|   22 |       3 |          4 |        5 |
|   23 |       6 |          7 |        3 |
|   24 |       6 |          8 |        3 |
|   25 |      14 |          7 |        8 |
|   26 |      45 |          7 |        2 |
|   27 |      25 |          0 |        7 |
|   28 |      40 |          6 |        7 |
|   29 |       7 |          0 |        6 |
|   30 |       7 |          8 |        6 |
|   31 |      31 |          0 |        4 |
|   32 |      36 |          3 |        0 |
|   33 |      21 |          1 |        3 |
|   34 |      39 |          3 |        8 |
|   35 |      43 |          4 |        9 |
|   36 |      26 |          2 |        3 |
|   37 |      45 |          5 |        2 |
|   38 |      15 |          2 |        7 |
|   39 |      31 |          8 |        4 |
|   40 |      31 |          8 |        4 |
|   41 |      26 |          4 |        3 |
|   42 |      11 |          1 |        4 |
|   43 |      11 |          5 |        4 |
|   44 |      30 |          3 |        5 |
|   45 |      30 |          4 |        5 |
|   46 |      44 |          3 |        8 |
|   47 |      44 |          4 |        8 |
|   48 |      43 |          8 |        9 |
|   49 |      29 |          2 |        8 |
|   50 |      41 |          5 |        2 |
|   51 |      41 |          5 |        2 |
|   52 |      20 |          5 |        2 |
|   53 |       8 |          6 |        4 |
|   54 |      34 |          1 |        6 |
|   55 |       8 |          1 |        4 |
|   56 |       1 |          1 |        3 |
|   57 |      35 |          0 |        2 |
|   58 |      13 |          1 |        8 |
|   59 |      13 |          4 |        8 |
|   60 |      16 |          7 |        4 |
|   61 |       9 |          0 |        7 |
|   62 |       9 |          6 |        7 |
|   63 |      12 |          1 |        6 |
|   64 |      12 |          9 |        6 |
|   65 |      35 |          2 |        9 |
'----------------------------------------'
