Version: 2

Number of IDs: 52
Common Shelves: 22 - Single Shelves: 0
Number of Layers: 3
Locked Shelves: 2
Pair Rate: 0.6000
Pair Amount: 31 - Single Amount: 94
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.8000

W3 IDs: [49, 52, 51, 50]
W2 IDs: [33, 46, 41, 36, 47, 30, 37, 35, 31, 48, 34, 40, 29, 42, 39, 32, 44, 38, 45, 43]
W1 IDs: [10, 17, 8, 27, 21, 3, 25, 28, 23, 1, 20, 14, 13, 11, 12, 9, 4, 18, 16, 2, 22, 19, 7, 15, 6, 5, 26, 24]
W1 Solver-Placed IDs: [24, 6, 27]
Edited IDs: [2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 32, 34, 35, 36, 37, 38, 39, 40, 41, 42, 45, 46, 47, 48, 49, 50, 51, 52]

===
.-----------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |
|-------|--------|------|-------------------|----------------------|----------------------|
| 0     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 1 pair (2-item)      |
| 1     |        |    0 | 2 single (2-item) | 1 pair (2-item)      | pair+single (3-item) |
| 2     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) |
| 3     |        |    0 | 2 single (2-item) | 3 single (3-item)    | pair+single (3-item) |
| 4     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) |
| 5     |        |    8 | 2 single (2-item) | 1 pair (2-item)      | pair+single (3-item) |
| 6     |        |    4 | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)      |
| 7     |        |    0 | 1 pair (2-item)   | 2 single (2-item)    | 2 single (2-item)    |
| 8     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) |
| 9     |        |    0 | 2 single (2-item) | 2 single (2-item)    | pair+single (3-item) |
| 10    |        |    0 | 2 single (2-item) | 2 single (2-item)    | 2 single (2-item)    |
| 11    |        |    0 | 2 single (2-item) | 1 pair (2-item)      | 2 single (2-item)    |
| 12    |        |    0 | 2 single (2-item) | pair+single (3-item) | 3 single (3-item)    |
| 13    |        |    0 | 2 single (2-item) | pair+single (3-item) | 1 pair (2-item)      |
| 14    |        |    0 | 2 single (2-item) | pair+single (3-item) | 1 pair (2-item)      |
| 15    |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    |
| 16    |        |    0 | 1 pair (2-item)   | 2 single (2-item)    | 3 single (3-item)    |
| 17    |        |    0 | 2 single (2-item) | 3 single (3-item)    | 2 single (2-item)    |
| 18    |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) |
| 19    |        |    0 | 2 single (2-item) | 2 single (2-item)    | pair+single (3-item) |
| 20    |        |    0 | 1 pair (2-item)   | 2 single (2-item)    | 3 single (3-item)    |
| 21    |        |    0 | 1 pair (2-item)   | 2 single (2-item)    | 2 single (2-item)    |
'-----------------------------------------------------------------------------------------'

===

.--------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |
|-------|--------|------|------------|------------|------------|
| 0     |        |    0 | [24,34,34] | [43,46,0]  | [0,0,0]    |
| 1     |        |    0 | [20,0,28]  | [0,30,30]  | [9,9,50]   |
| 2     |        |    0 | [36,36,20] | [37,37,10] | [0,0,12]   |
| 3     |        |    0 | [18,47,0]  | [0,17,32]  | [5,29,29]  |
| 4     |        |    0 | [0,15,28]  | [0,41,41]  | [38,1,38]  |
| 5     |        |    8 | [26,45,45] | [6,19,6]   | [0,16,16]  |
| 6     |        |    4 | [49,18,24] | [10,25,0]  | [0,19,19]  |
| 7     |        |    0 | [31,48,48] | [2,52,40]  | [33,0,5]   |
| 8     |        |    0 | [0,15,18]  | [0,33,33]  | [22,1,22]  |
| 9     |        |    0 | [28,51,51] | [11,2,0]   | [0,35,12]  |
| 10    |        |    0 | [45,46,46] | [27,10,0]  | [27,0,5]   |
| 11    |        |    0 | [6,50,8]   | [44,44,0]  | [27,0,1]   |
| 12    |        |    0 | [30,39,39] | [47,41,47] | [16,21,23] |
| 13    |        |    0 | [26,50,26] | [17,17,0]  | [43,43,0]  |
| 14    |        |    0 | [52,52,15] | [42,13,42] | [0,4,4]    |
| 15    |        |    0 | [3,0,14]   | [34,35,35] | [12,7,7]   |
| 16    |        |    0 | [32,32,36] | [11,13,0]  | [21,22,0]  |
| 17    |        |    0 | [11,38,3]  | [0,25,7]   | [21,0,0]   |
| 18    |        |    0 | [0,20,44]  | [31,31,48] | [0,0,42]   |
| 19    |        |    0 | [8,8,39]   | [13,0,3]   | [23,49,0]  |
| 20    |        |    0 | [24,14,14] | [2,25,0]   | [49,9,23]  |
| 21    |        |    0 | [40,51,40] | [4,29,37]  | [0,0,0]    |
'--------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      20 |          2 |       18 |
|    1 |      36 |         16 |        2 |
|    2 |      28 |          9 |        3 |
|    3 |      51 |         21 |        9 |
|    4 |      26 |          5 |        4 |
|    5 |      45 |         10 |        5 |
|    6 |      19 |          5 |        8 |
|    7 |       6 |         11 |        5 |
|    8 |      50 |         13 |       11 |
|    9 |      26 |          4 |       13 |
|   10 |      18 |          3 |        5 |
|   11 |      49 |          6 |       16 |
|   12 |      24 |         20 |        6 |
|   13 |      14 |         15 |       20 |
|   14 |      24 |          0 |        3 |
|   15 |      31 |          7 |        0 |
|   16 |      18 |          6 |       10 |
|   17 |      24 |          3 |        6 |
|   18 |      25 |         20 |        6 |
|   19 |      48 |          7 |        4 |
|   20 |      48 |          7 |       20 |
|   21 |      40 |          7 |       21 |
|   22 |      10 |          2 |        1 |
|   23 |      37 |         21 |        2 |
|   24 |      31 |          0 |       21 |
|   25 |      18 |          5 |       20 |
|   26 |      20 |          1 |        0 |
|   27 |      10 |          1 |        7 |
|   28 |      28 |          1 |        9 |
|   29 |      30 |         12 |        1 |
|   30 |      39 |         19 |       12 |
|   31 |       8 |         11 |       19 |
|   32 |      50 |          1 |       11 |
|   33 |      44 |         18 |       11 |
|   34 |      20 |          0 |       18 |
|   35 |       3 |         15 |       19 |
|   36 |      34 |         15 |        0 |
|   37 |      43 |          0 |       11 |
|   38 |      47 |          3 |        1 |
|   39 |      18 |          8 |       15 |
|   40 |      28 |          3 |        2 |
|   41 |      17 |          3 |       13 |
|   42 |      43 |         11 |       13 |
|   43 |      46 |         10 |        0 |
|   44 |      46 |         10 |        0 |
|   45 |      15 |         14 |        8 |
|   46 |      52 |          7 |       14 |
|   47 |      18 |         15 |       10 |
|   48 |      18 |         20 |       10 |
|   49 |      32 |         16 |        3 |
|   50 |      32 |         16 |        3 |
|   51 |      48 |         18 |       20 |
|   52 |      31 |         21 |       18 |
|   53 |      42 |         14 |       18 |
|   54 |      42 |         14 |       18 |
|   55 |      11 |         17 |       13 |
|   56 |      47 |          1 |       13 |
|   57 |       9 |          1 |       21 |
|   58 |       9 |          1 |       16 |
|   59 |      41 |         12 |        0 |
|   60 |      47 |         13 |       12 |
|   61 |      16 |         12 |        5 |
|   62 |      13 |         19 |       14 |
|   63 |       3 |         17 |       19 |
|   64 |      23 |         12 |        5 |
|   65 |      41 |          0 |       19 |
|   66 |      10 |          7 |        0 |
|   67 |      12 |          2 |        5 |
|   68 |       5 |          3 |        1 |
|   69 |      29 |         21 |        3 |
|   70 |      28 |          4 |        2 |
|   71 |      28 |          9 |        2 |
|   72 |       2 |         20 |        2 |
|   73 |      48 |          4 |       20 |
|   74 |      10 |          0 |       17 |
|   75 |      49 |         19 |        3 |
|   76 |       5 |          1 |       12 |
|   77 |      49 |         16 |       18 |
|   78 |       2 |          2 |       15 |
|   79 |       9 |         16 |        2 |
|   80 |      13 |         16 |       14 |
|   81 |       4 |         21 |       14 |
|   82 |       9 |          2 |       21 |
|   83 |       9 |         20 |       21 |
|   84 |      49 |          3 |       18 |
|   85 |      49 |         20 |       18 |
|   86 |      23 |          5 |       20 |
|   87 |      23 |         19 |       20 |
|   88 |      15 |          8 |        4 |
|   89 |      15 |          8 |        4 |
|   90 |      41 |         19 |        4 |
|   91 |       1 |          4 |       11 |
|   92 |      38 |         17 |        4 |
|   93 |      10 |          6 |       17 |
|   94 |      10 |         10 |       17 |
|   95 |      25 |         17 |        6 |
|   96 |      19 |          8 |        6 |
|   97 |       2 |          7 |        9 |
|   98 |      33 |          7 |        8 |
|   99 |      11 |          9 |       13 |
|  100 |       2 |         15 |        9 |
|  101 |      11 |         16 |       13 |
|  102 |      35 |          9 |       15 |
|  103 |      27 |         11 |       10 |
|  104 |       1 |          8 |       11 |
|  105 |      22 |         16 |        8 |
|  106 |      12 |          5 |        9 |
|  107 |      12 |         15 |        9 |
|  108 |       7 |         17 |       15 |
|  109 |      21 |         17 |       16 |
|  110 |      21 |         12 |        7 |
|  111 |      21 |          7 |       16 |
|  112 |       5 |          7 |        1 |
|  113 |       5 |         12 |       10 |
|  114 |       5 |          1 |       19 |
|  115 |      27 |         10 |       19 |
|  116 |      27 |         10 |       19 |
|  117 |       5 |         10 |       12 |
|  118 |      27 |         19 |       21 |
|  119 |       5 |         10 |       12 |
|  120 |       5 |         19 |       12 |
|  121 |      27 |         10 |       19 |
|  122 |      27 |         21 |       19 |
'----------------------------------------'
