Version: 2

Number of IDs: 62
Common Shelves: 9 - Single Shelves: 0
Number of Layers: 9
Locked Shelves: 0
Pair Rate: 0.5500
Pair Amount: 34 - Single Amount: 118
Weight: W1=0.7000 - W2=0.3000 - W3=0.0000
W1 Validation Threshold: 0.5000

W3 IDs: [62]
W2 IDs: [60, 55, 48, 56, 61, 52, 46, 51, 57, 47, 45, 53, 59, 58, 54, 49, 44, 50]
W1 IDs: [21, 20, 30, 40, 17, 3, 2, 19, 42, 22, 38, 11, 31, 27, 28, 33, 6, 10, 29, 4, 36, 35, 5, 12, 25, 37, 43, 26, 24, 18, 16, 1, 8, 14, 15, 23, 34, 39, 32, 13, 9, 41, 7]
W1 Solver-Placed IDs: [31, 15, 8, 2, 37]
Edited IDs: [1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 29, 30, 32, 33, 35, 36, 38, 39, 41, 42, 43, 44, 46, 47, 49, 50, 51, 54, 57, 59, 60]

===
.-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |       Layer 4        |       Layer 5        |      Layer 6      |       Layer 7        |      Layer 8      |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|----------------------|----------------------|-------------------|----------------------|-------------------|
| 0     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 1 pair (2-item)      | 1 pair (2-item)      | 2 single (2-item)    | 2 single (2-item)    | 2 single (2-item) | 1 pair (2-item)      | 2 single (2-item) |
| 1     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 1 pair (2-item)      | 2 single (2-item)    | 2 single (2-item)    | pair+single (3-item) | 1 pair (2-item)   | 1 pair (2-item)      | 3 single (3-item) |
| 2     |        |    0 | 2 single (2-item) | 1 pair (2-item)      | 1 pair (2-item)      | 2 single (2-item)    | 1 pair (2-item)      | 3 single (3-item)    | 1 pair (2-item)   | pair+single (3-item) | 1 pair (2-item)   |
| 3     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 2 single (2-item)    | pair+single (3-item) | pair+single (3-item) | 2 single (2-item)    | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)   |
| 4     |        |    0 | 2 single (2-item) | 1 pair (2-item)      | 2 single (2-item)    | 2 single (2-item)    | 3 single (3-item)    | pair+single (3-item) | 3 single (3-item) | 3 single (3-item)    | 1 pair (2-item)   |
| 5     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | pair+single (3-item) | 2 single (2-item)    | 2 single (2-item)    | pair+single (3-item) | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)   |
| 6     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    | 2 single (2-item)    | 3 single (3-item)    | 2 single (2-item)    | 1 pair (2-item)   | 2 single (2-item)    | 2 single (2-item) |
| 7     |        |    0 | 2 single (2-item) | 1 pair (2-item)      | 3 single (3-item)    | 3 single (3-item)    | 2 single (2-item)    | 1 pair (2-item)      | 2 single (2-item) | 2 single (2-item)    | 3 single (3-item) |
| 8     |        |    0 | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)      | pair+single (3-item) | 3 single (3-item)    | 2 single (2-item)    | 2 single (2-item) | 1 pair (2-item)      | 3 single (3-item) |
'-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------'

===

.-----------------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |  Layer 1  |  Layer 2  |   Layer 3  |   Layer 4  |   Layer 5  |   Layer 6  |   Layer 7  |  Layer 8  |
|-------|--------|------|------------|-----------|-----------|------------|------------|------------|------------|------------|-----------|
| 0     |        |    0 | [7,8,8]    | [28,0,10] | [12,12,0] | [0,55,55]  | [2,2,26]   | [0,23,25]  | [3,47,47]  | [0,24,24]  | [0,0,0]   |
| 1     |        |    0 | [5,0,5]    | [6,48,29] | [48,0,48] | [0,61,0]   | [0,58,13]  | [59,35,59] | [52,0,52]  | [44,0,44]  | [0,40,1]  |
| 2     |        |    0 | [21,21,7]  | [49,0,49] | [32,9,9]  | [0,60,34]  | [61,61,15] | [33,35,15] | [20,20,15] | [54,0,54]  | [57,57,0] |
| 3     |        |    0 | [29,29,43] | [0,18,18] | [11,11,4] | [59,46,46] | [35,25,0]  | [16,50,0]  | [42,22,42] | [0,36,36]  | [0,0,0]   |
| 4     |        |    0 | [7,17,0]   | [45,45,8] | [9,62,0]  | [0,39,34]  | [53,27,0]  | [25,53,53] | [16,0,30]  | [56,38,0]  | [0,40,40] |
| 5     |        |    0 | [0,10,10]  | [0,51,51] | [4,39,0]  | [13,19,19] | [23,0,23]  | [20,16,0]  | [42,0,38]  | [57,41,41] | [0,0,0]   |
| 6     |        |    0 | [17,17,0]  | [6,32,32] | [18,0,62] | [0,2,34]   | [27,13,0]  | [14,33,33] | [56,56,0]  | [0,38,22]  | [36,1,1]  |
| 7     |        |    0 | [62,21,0]  | [28,0,28] | [12,0,45] | [39,4,11]  | [27,26,31] | [14,31,14] | [3,30,31]  | [54,22,0]  | [0,44,47] |
| 8     |        |    0 | [49,0,5]   | [6,43,43] | [0,60,60] | [58,51,58] | [26,55,19] | [52,46,37] | [37,3,30]  | [37,50,50] | [0,24,41] |
'-----------------------------------------------------------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      17 |          4 |        6 |
|    1 |       5 |          8 |        1 |
|    2 |       7 |          0 |        4 |
|    3 |       7 |          2 |        4 |
|    4 |      21 |          7 |        2 |
|    5 |      49 |          8 |        2 |
|    6 |       8 |          4 |        0 |
|    7 |      10 |          0 |        5 |
|    8 |      62 |          7 |        0 |
|    9 |      28 |          0 |        7 |
|   10 |      45 |          7 |        4 |
|   11 |      62 |          0 |        4 |
|   12 |      12 |          7 |        0 |
|   13 |      32 |          2 |        0 |
|   14 |       9 |          4 |        2 |
|   15 |      43 |          3 |        2 |
|   16 |      29 |          1 |        3 |
|   17 |       6 |          6 |        1 |
|   18 |      32 |          0 |        6 |
|   19 |      18 |          6 |        3 |
|   20 |      62 |          6 |        4 |
|   21 |      48 |          1 |        0 |
|   22 |       6 |          8 |        1 |
|   23 |      48 |          0 |        1 |
|   24 |      43 |          2 |        8 |
|   25 |      60 |          2 |        8 |
|   26 |      51 |          8 |        5 |
|   27 |       4 |          3 |        5 |
|   28 |      11 |          7 |        3 |
|   29 |      34 |          4 |        2 |
|   30 |      34 |          6 |        2 |
|   31 |      61 |          2 |        1 |
|   32 |      61 |          2 |        1 |
|   33 |      58 |          1 |        8 |
|   34 |      55 |          8 |        0 |
|   35 |      26 |          0 |        8 |
|   36 |       2 |          6 |        0 |
|   37 |      39 |          5 |        0 |
|   38 |       4 |          7 |        5 |
|   39 |      39 |          0 |        4 |
|   40 |      39 |          7 |        4 |
|   41 |      13 |          5 |        1 |
|   42 |      13 |          6 |        1 |
|   43 |      19 |          8 |        5 |
|   44 |      23 |          0 |        5 |
|   45 |      26 |          7 |        8 |
|   46 |      27 |          4 |        6 |
|   47 |      27 |          7 |        6 |
|   48 |      35 |          1 |        0 |
|   49 |      59 |          3 |        1 |
|   50 |      52 |          8 |        1 |
|   51 |      46 |          8 |        3 |
|   52 |      53 |          4 |        1 |
|   53 |      25 |          4 |        0 |
|   54 |      53 |          1 |        4 |
|   55 |      35 |          0 |        3 |
|   56 |      25 |          3 |        0 |
|   57 |      15 |          2 |        1 |
|   58 |      35 |          2 |        3 |
|   59 |      14 |          6 |        2 |
|   60 |      33 |          2 |        6 |
|   61 |      16 |          3 |        4 |
|   62 |      30 |          4 |        2 |
|   63 |      16 |          5 |        4 |
|   64 |      56 |          4 |        6 |
|   65 |      31 |          7 |        3 |
|   66 |      31 |          7 |        3 |
|   67 |      14 |          2 |        7 |
|   68 |      37 |          8 |        6 |
|   69 |      30 |          2 |        5 |
|   70 |       3 |          8 |        5 |
|   71 |      50 |          3 |        2 |
|   72 |      31 |          7 |        3 |
|   73 |      30 |          5 |        8 |
|   74 |      37 |          8 |        7 |
|   75 |      30 |          7 |        8 |
|   76 |      37 |          8 |        7 |
|   77 |      50 |          2 |        8 |
|   78 |       3 |          0 |        5 |
|   79 |      41 |          8 |        4 |
|   80 |      42 |          3 |        2 |
|   81 |      24 |          8 |        4 |
|   82 |       3 |          7 |        8 |
|   83 |      37 |          6 |        7 |
|   84 |       3 |          5 |        8 |
|   85 |       3 |          5 |        8 |
|   86 |      22 |          7 |        3 |
|   87 |      54 |          7 |        6 |
|   88 |      47 |          7 |        0 |
|   89 |      24 |          4 |        0 |
|   90 |      15 |          1 |        2 |
|   91 |      44 |          7 |        1 |
|   92 |      38 |          6 |        4 |
|   93 |      42 |          3 |        0 |
|   94 |      22 |          6 |        3 |
|   95 |      54 |          6 |        7 |
|   96 |      36 |          6 |        3 |
|   97 |       1 |          1 |        6 |
|   98 |      20 |          5 |        3 |
|   99 |      42 |          2 |        0 |
|  100 |      42 |          5 |        0 |
|  101 |      41 |          4 |        0 |
|  102 |      38 |          5 |        4 |
|  103 |      40 |          1 |        4 |
|  104 |      57 |          5 |        3 |
|  105 |      57 |          5 |        3 |
|  106 |      15 |          2 |        7 |
|  107 |      15 |          2 |        7 |
|  108 |      20 |          2 |        3 |
|  109 |      54 |          7 |        2 |
|  110 |      15 |          2 |        7 |
|  111 |      20 |          3 |        2 |
|  112 |      54 |          2 |        0 |
|  113 |      20 |          3 |        2 |
|  114 |      54 |          0 |        2 |
|  115 |      57 |          3 |        2 |
'----------------------------------------'
