Version: 2

Number of IDs: 37
Common Shelves: 7 - Single Shelves: 0
Number of Layers: 7
Locked Shelves: 0
Pair Rate: 0.8600
Pair Amount: 32 - Single Amount: 47
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.7000

W3 IDs: [36, 35, 37]
W2 IDs: [22, 23, 24, 31, 28, 30, 32, 33, 25, 27, 34, 29, 26, 21]
W1 IDs: [15, 19, 14, 1, 18, 10, 17, 2, 9, 20, 8, 5, 6, 3, 11, 13, 12, 4, 16, 7]
W1 Solver-Placed IDs: [4, 1, 7, 8]
Edited IDs: [1, 4, 7, 9, 10, 16, 19, 21, 22, 25, 29, 33, 34, 35, 36, 37]

===
.-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |       Layer 4        |       Layer 5        |       Layer 6        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| 0     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 1 pair (2-item)      | 2 single (2-item)    | pair+single (3-item) | 1 pair (2-item)      | 1 pair (2-item)      |
| 1     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
| 2     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | 1 pair (2-item)      | 1 pair (2-item)      |
| 3     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | 1 single (1-item)    | 1 pair (2-item)      | 1 single (1-item)    | pair+single (3-item) | 1 pair (2-item)      |
| 4     |        |    0 | 2 single (2-item) | pair+single (3-item) | 2 single (2-item)    | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    |
| 5     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | 1 pair (2-item)      | 2 single (2-item)    | 1 single (1-item)    | 2 single (2-item)    |
| 6     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | 3 single (3-item)    | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | 1 pair (2-item)      |
'-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------'

===

.----------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |  Layer 0  |   Layer 1  |  Layer 2  |   Layer 3  |   Layer 4  |   Layer 5  |   Layer 6  |
|-------|--------|------|-----------|------------|-----------|------------|------------|------------|------------|
| 0     |        |    0 | [0,13,36] | [21,0,4]   | [29,29,8] | [0,22,35]  | [17,0,1]   | [30,30,0]  | [20,1,20]  |
| 1     |        |    0 | [0,3,3]   | [12,36,12] | [0,8,8]   | [10,37,10] | [18,18,28] | [0,6,6]    | [11,11,33] |
| 2     |        |    0 | [16,16,0] | [19,19,0]  | [0,0,7]   | [22,22,10] | [17,0,17]  | [28,0,28]  | [0,27,27]  |
| 3     |        |    0 | [0,34,34] | [0,24,24]  | [4,4,9]   | [31,0,31]  | [26,37,0]  | [0,33,33]  | [2,2,0]    |
| 4     |        |    0 | [21,21,0] | [25,19,25] | [31,0,32] | [35,35,0]  | [0,0,30]   | [14,26,26] | [2,20,15]  |
| 5     |        |    0 | [36,3,0]  | [12,34,25] | [0,9,9]   | [23,0,23]  | [0,37,5]   | [6,29,0]   | [11,0,1]   |
| 6     |        |    0 | [13,0,13] | [32,32,16] | [0,24,23] | [7,7,0]    | [5,18,5]   | [27,14,14] | [0,15,15]  |
'----------------------------------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      13 |          0 |        6 |
|    1 |       3 |          5 |        1 |
|    2 |      16 |          6 |        2 |
|    3 |      36 |          0 |        5 |
|    4 |      21 |          0 |        4 |
|    5 |      36 |          1 |        5 |
|    6 |      19 |          4 |        2 |
|    7 |      12 |          5 |        1 |
|    8 |      34 |          5 |        3 |
|    9 |      25 |          5 |        4 |
|   10 |      32 |          4 |        6 |
|   11 |      24 |          6 |        3 |
|   12 |       9 |          3 |        5 |
|   13 |       4 |          0 |        3 |
|   14 |       8 |          0 |        1 |
|   15 |      31 |          4 |        3 |
|   16 |      23 |          6 |        5 |
|   17 |       7 |          2 |        6 |
|   18 |      37 |          1 |        3 |
|   19 |      10 |          2 |        1 |
|   20 |      28 |          1 |        0 |
|   21 |      18 |          6 |        1 |
|   22 |       5 |          5 |        6 |
|   23 |      37 |          3 |        5 |
|   24 |      37 |          3 |        5 |
|   25 |       6 |          5 |        1 |
|   26 |      29 |          0 |        5 |
|   27 |      29 |          0 |        5 |
|   28 |      28 |          0 |        2 |
|   29 |      35 |          0 |        4 |
|   30 |      22 |          2 |        0 |
|   31 |      22 |          2 |        0 |
|   32 |       1 |          5 |        0 |
|   33 |      11 |          1 |        5 |
|   34 |      11 |          1 |        5 |
|   35 |      28 |          2 |        5 |
|   36 |      17 |          0 |        2 |
|   37 |      28 |          5 |        2 |
|   38 |      27 |          6 |        2 |
|   39 |      26 |          3 |        2 |
|   40 |      33 |          1 |        3 |
|   41 |      30 |          4 |        1 |
|   42 |      14 |          4 |        6 |
|   43 |      26 |          2 |        4 |
|   44 |       2 |          4 |        3 |
|   45 |      15 |          4 |        6 |
|   46 |       1 |          0 |        6 |
|   47 |       1 |          0 |        6 |
|   48 |      30 |          1 |        0 |
|   49 |       1 |          0 |        6 |
|   50 |      20 |          4 |        0 |
'----------------------------------------'
