Number of IDs: 48
Common Shelves: 17 - Single Shelves: 0
Number of Layers: 4
Locked Shelves: 0
Pair Rate: 0.4600
Pair Amount: 22 - Single Amount: 100
Weight: W1=0.8000 - W2=0.1500 - W3=0.0500
W1 Validation Threshold: 0.7000

W3 IDs: [42, 23, 39]
W2 IDs: [47, 13, 29, 22, 34, 36, 31]
W1 IDs: [2,26,12,40,3,14,6,5,27,21,17,46,18,20,30,11,16,45,19,37,48,15,25,7,41,38,33,35,44,10,43,32,4,8,1,24,28,9]
W1 Solver-Placed IDs: [35,40,12,25,2]

Edited IDs: [37,12,41,6,3,35,40,8,27,11,25,33,48,17,30,15,38,10,24,13,34,47,36,23,42]

===
.----------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|
| 0     |        |    0 | 2 single (2-item) | 1 pair (2-item)      | 1 pair (2-item)      | 2 single (2-item)    |
| 1     |        |    0 | 2 single (2-item) | 2 single (2-item)    | 2 single (2-item)    | pair+single (3-item) |
| 2     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)      | 1 pair (2-item)      | 1 pair (2-item)      |
| 3     |        |    0 | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)      | 2 single (2-item)    |
| 4     |        |    0 | 2 single (2-item) | 2 single (2-item)    | pair+single (3-item) | 2 single (2-item)    |
| 5     |        |    0 | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)      | 2 single (2-item)    |
| 6     |        |    0 | 2 single (2-item) | 2 single (2-item)    | pair+single (3-item) | 2 single (2-item)    |
| 7     |        |    0 | 2 single (2-item) | 1 pair (2-item)      | 2 single (2-item)    | 2 single (2-item)    |
| 8     |        |    0 | 2 single (2-item) | 2 single (2-item)    | pair+single (3-item) | 2 single (2-item)    |
| 9     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    | 1 pair (2-item)      |
| 10    |        |    0 | 2 single (2-item) | 2 single (2-item)    | 2 single (2-item)    | 2 single (2-item)    |
| 11    |        |    0 | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)      | 1 pair (2-item)      |
| 12    |        |    0 | 2 single (2-item) | 2 single (2-item)    | 1 pair (2-item)      | 2 single (2-item)    |
| 13    |        |    0 | 2 single (2-item) | 2 single (2-item)    | 2 single (2-item)    | 2 single (2-item)    |
| 14    |        |    0 | 2 single (2-item) | 2 single (2-item)    | 2 single (2-item)    | 2 single (2-item)    |
| 15    |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | 1 pair (2-item)      |
| 16    |        |    0 | 2 single (2-item) | 2 single (2-item)    | 2 single (2-item)    | 2 single (2-item)    |
'----------------------------------------------------------------------------------------------------------------'

===
.---------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0   |   Layer 1   |   Layer 2   |   Layer 3   |
|-------|--------|------|-------------|-------------|-------------|-------------|
| 0     |        | 4    | [19,25,19] | [22,0,22]  | [24,24,0]  | [0,0,29]   |
| 1     |        | 0    | [18,0,18]  | [11,25,30] | [0,39,0]   | [36,36,0]  |
| 2     |        | 8    | [0,31,31]  | [0,8,8]    | [6,0,6]    | [0,27,27]  |
| 3     |        | 0    | [26,0,26]  | [0,34,36]  | [45,0,45]  | [0,9,46]   |
| 4     |        | 0    | [19,42,0]  | [41,0,41]  | [16,16,0]  | [0,43,33]  |
| 5     |        | 0    | [21,0,1]   | [0,25,0]   | [29,0,29]  | [14,14,0]  |
| 6     |        | 0    | [5,5,0]    | [0,3,3]    | [13,13,6]  | [0,33,33]  |
| 7     |        | 0    | [7,12,12]  | [15,15,37] | [17,17,0]  | [0,0,13]   |
| 8     |        | 0    | [5,11,11]  | [23,0,39]  | [37,37,0]  | [30,0,30]  |
| 9     |        | 0    | [0,44,44]  | [23,10,10] | [38,0,45]  | [43,43,0]  |
| 10    |        | 0    | [7,7,0]    | [41,0,32]  | [23,16,0]  | [0,9,9]    |
| 11    |        | 0    | [1,1,0]    | [35,35,10] | [2,0,12]   | [47,47,2]  |
| 12    |        | 0    | [15,18,0]  | [4,48,4]   | [34,0,34]  | [0,2,20]   |
| 13    |        | 0    | [3,28,39]  | [0,4,31]   | [47,24,0]  | [46,0,46]  |
| 14    |        | 0    | [40,28,28] | [42,0,8]   | [0,17,0]   | [14,0,0]   |
| 15    |        | 12    | [0,21,21]  | [32,42,32] | [48,48,0]  | [0,20,20] |
| 16    |        | 16    | [35,26,44] | [38,38,0]  | [40,22,40] | [0,27,0]  |
'---------------------------------------------------------------------------'

===
.----------------------------------------.
| Step | Item ID | From | To |
|------|---------|------|----|
| 0  | 1  | 5  | 11 |
| 1  | 21 | 5  | 15 |
| 2  | 7  | 7  | 10 |
| 3  | 5  | 8  | 6 |
| 4  | 18 | 12 | 1  |
| 5  | 11 | 1  | 8  |
| 6  | 3  | 13 | 6  |
| 7  | 26 | 16 | 3  |
| 8  | 44 | 16 | 9  |
| 9  | 25 | 0  | 1  |
| 10 | 19 | 4  | 0  |
| 11 | 25 | 1  | 5  |
| 12 | 25 | 1  | 5  |
| 13 | 23 | 9  | 8  |
| 14 | 10 | 11 | 9  |
| 15 | 35 | 16 | 11 |
| 16 | 38 | 9  | 16 |
| 17 | 12 | 11 | 7  |
| 18 | 22 | 16 | 0  |
| 19 | 40 | 14 | 16 |
| 20 | 28 | 13 | 14 |
| 21 | 42 | 4  | 14 |
| 22 | 41 | 10 | 4  |
| 23 | 15 | 7  | 12 |
| 24 | 15 | 7  | 12 |
| 25 | 32 | 15 | 10 |
| 26 | 32 | 15 | 10 |
| 27 | 16 | 10 | 4  |
| 28 | 23 | 8  | 10 |
| 29 | 23 | 8  | 10 |
| 30 | 39 | 8  | 13 |
| 31 | 37 | 7  | 8  |
| 32 | 30 | 1  | 8  |
| 33 | 39 | 1  | 13 |
| 34 | 36 | 3  | 1  |
| 35 | 31 | 13 | 2  |
| 36 | 8  | 14 | 2  |
| 37 | 6  | 6  | 2  |
| 38 | 42 | 15 | 14 |
| 39 | 48 | 12 | 15 |
| 40 | 4  | 13 | 12 |
| 41 | 34 | 3  | 12 |
| 42 | 45 | 9  | 3  |
| 43 | 9  | 3  | 10 |
| 44 | 43 | 4  | 9  |
| 45 | 20 | 12 | 15 |
| 46 | 17 | 14 | 7  |
| 47 | 13 | 7  | 6  |
| 48 | 33 | 4  | 6  |
| 49 | 27 | 16 | 2  |
| 50 | 24 | 13 | 0  |
| 51 | 29 | 0  | 5  |
| 52 | 14 | 14 | 5  |
| 53 | 2  | 11 | 12 |
| 54 | 2  | 11 | 12 |
| 55 | 47 | 13 | 11 |
| 56 | 46 | 3  | 13 |
'----------------------------------------'
