Version: 2

Number of IDs: 53
Common Shelves: 8 - Single Shelves: 0
Number of Layers: 8
Locked Shelves: 0
Pair Rate: 0.6000
Pair Amount: 27 - Single Amount: 81
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.7000

W3 IDs: [44, 43, 45]
W2 IDs: [39, 38, 33, 30, 27, 40, 29, 28, 35, 31, 34, 36, 32, 41, 26, 25, 42, 37]
W1 IDs: [1, 13, 21, 24, 14, 12, 6, 20, 22, 15, 16, 4, 23, 2, 10, 18, 7, 5, 9, 17, 19, 8, 3, 11]
W1 Solver-Placed IDs: [7, 21]
Edited IDs: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]

===
.-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |       Layer 4        |       Layer 5        |       Layer 6        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| 0     |        |    0 | 2 single (2-item) | 2 single (2-item)    | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) | 1 single (1-item)    | 3 single (3-item)    |
| 1     |        |    0 | 2 single (2-item) | 3 single (3-item)    | pair+single (3-item) | 1 single (1-item)    | pair+single (3-item) | 1 single (1-item)    | pair+single (3-item) |
| 2     |        |    0 | 2 single (2-item) | pair+single (3-item) | 1 single (1-item)    | 1 single (1-item)    | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) |
| 3     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 1 single (1-item)    | pair+single (3-item) | pair+single (3-item) | 2 single (2-item)    | 3 single (3-item)    |
| 4     |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 1 single (1-item)    | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) |
| 5     |        |    0 | 2 single (2-item) | pair+single (3-item) | 3 single (3-item)    | 2 single (2-item)    | 1 single (1-item)    | 1 single (1-item)    | pair+single (3-item) |
| 6     |        |    0 | 1 pair (2-item)   | 2 single (2-item)    | 1 pair (2-item)      | 3 single (3-item)    | 2 single (2-item)    | pair+single (3-item) | pair+single (3-item) |
| 7     |        |    0 | 1 pair (2-item)   | 2 single (2-item)    | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) | pair+single (3-item) |
'-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------'

===

.-------------------------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |   Layer 4  |   Layer 5  |   Layer 6  |   Layer 7  |
|-------|--------|------|------------|------------|------------|------------|------------|------------|------------|------------|
| 0     |        |    0 | [48,4,48]  | [23,19,33] | [0,53,13]  | [28,28,45] | [39,38,39] | [0,2,2]    | [29,14,32] | [37,37,0]  |
| 1     |        |    0 | [52,52,42] | [8,0,47]   | [13,1,1]   | [39,21,21] | [25,20,25] | [36,36,0]  | [49,18,0]  | [0,15,15]  |
| 2     |        |    0 | [4,24,4]   | [30,30,0]  | [0,46,46]  | [17,13,0]  | [22,45,22] | [5,5,0]    | [36,31,0]  | [34,34,50] |
| 3     |        |    0 | [23,43,23] | [8,12,12]  | [11,0,28]  | [44,44,0]  | [41,41,20] | [22,0,16]  | [3,18,0]   | [0,49,49]  |
| 4     |        |    0 | [0,24,24]  | [19,8,19]  | [0,7,7]    | [6,6,35]   | [5,9,9]    | [0,40,40]  | [31,14,31] | [26,0,26]  |
| 5     |        |    0 | [47,47,0]  | [7,46,12]  | [11,1,0]   | [25,17,45] | [9,27,27]  | [41,14,2]  | [50,0,50]  | [0,3,3]    |
| 6     |        |    0 | [10,10,0]  | [30,43,43] | [33,33,21] | [6,17,0]   | [20,0,40]  | [38,34,38] | [16,16,26] | [0,51,51]  |
| 7     |        |    0 | [42,0,42]  | [52,10,48] | [0,27,11]  | [44,53,53] | [35,35,0]  | [32,37,32] | [18,29,29] | [15,51,0]  |
'-------------------------------------------------------------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      42 |          1 |        7 |
|    1 |      24 |          2 |        4 |
|    2 |       4 |          0 |        2 |
|    3 |      48 |          7 |        0 |
|    4 |      52 |          7 |        1 |
|    5 |      47 |          1 |        5 |
|    6 |      10 |          7 |        6 |
|    7 |      30 |          6 |        2 |
|    8 |      46 |          5 |        2 |
|    9 |      43 |          3 |        6 |
|   10 |      23 |          0 |        3 |
|   11 |      19 |          4 |        0 |
|   12 |       8 |          3 |        1 |
|   13 |       8 |          4 |        1 |
|   14 |      12 |          5 |        3 |
|   15 |      33 |          0 |        2 |
|   16 |      19 |          4 |        0 |
|   17 |       7 |          5 |        4 |
|   18 |      13 |          1 |        0 |
|   19 |       1 |          5 |        1 |
|   20 |      11 |          3 |        5 |
|   21 |      11 |          7 |        5 |
|   22 |      39 |          1 |        3 |
|   23 |      21 |          6 |        1 |
|   24 |      33 |          2 |        6 |
|   25 |      20 |          1 |        2 |
|   26 |      25 |          5 |        1 |
|   27 |      53 |          0 |        1 |
|   28 |      13 |          2 |        0 |
|   29 |      45 |          0 |        5 |
|   30 |      28 |          3 |        0 |
|   31 |      39 |          0 |        3 |
|   32 |      39 |          0 |        3 |
|   33 |      35 |          4 |        0 |
|   34 |       6 |          6 |        4 |
|   35 |      17 |          2 |        6 |
|   36 |      17 |          5 |        6 |
|   37 |      20 |          2 |        6 |
|   38 |      45 |          2 |        5 |
|   39 |      27 |          5 |        7 |
|   40 |      27 |          5 |        7 |
|   41 |      44 |          7 |        3 |
|   42 |      53 |          1 |        7 |
|   43 |      35 |          0 |        7 |
|   44 |       9 |          4 |        5 |
|   45 |       9 |          4 |        5 |
|   46 |      38 |          0 |        1 |
|   47 |       2 |          5 |        0 |
|   48 |      20 |          3 |        2 |
|   49 |      41 |          5 |        3 |
|   50 |      20 |          2 |        3 |
|   51 |      22 |          3 |        2 |
|   52 |       5 |          4 |        2 |
|   53 |      40 |          6 |        4 |
|   54 |      20 |          3 |        6 |
|   55 |      14 |          0 |        5 |
|   56 |      14 |          4 |        5 |
|   57 |      31 |          2 |        4 |
|   58 |      36 |          1 |        2 |
|   59 |      36 |          1 |        2 |
|   60 |      50 |          2 |        5 |
|   61 |      34 |          6 |        2 |
|   62 |      38 |          1 |        6 |
|   63 |      26 |          6 |        4 |
|   64 |      16 |          3 |        6 |
|   65 |       3 |          3 |        5 |
|   66 |      18 |          3 |        1 |
|   67 |      49 |          1 |        3 |
|   68 |      37 |          7 |        2 |
|   69 |      32 |          0 |        7 |
|   70 |      18 |          7 |        1 |
|   71 |      29 |          0 |        7 |
|   72 |      37 |          2 |        0 |
|   73 |      15 |          7 |        1 |
|   74 |      51 |          7 |        6 |
'----------------------------------------'
