Version: 2

Number of IDs: 57
Common Shelves: 18 - Single Shelves: 0
Number of Layers: 4
Locked Shelves: 0
Pair Rate: 0.5000
Pair Amount: 28 - Single Amount: 115
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.6000

W3 IDs: [54, 56, 55, 57]
W2 IDs: [39, 36, 52, 47, 42, 38, 35, 51, 37, 48, 53, 32, 40, 49, 46, 43, 33, 41, 50, 45, 34, 44]
W1 IDs: [27, 28, 26, 15, 10, 25, 5, 16, 13, 22, 12, 17, 23, 1, 31, 9, 30, 21, 6, 2, 18, 19, 29, 20, 11, 7, 3, 24, 4, 8, 14]
W1 Solver-Placed IDs: [8, 13, 4, 16]
Edited IDs: [1, 2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 18, 20, 21, 22, 23, 24, 25, 26, 27, 29, 31, 32, 33, 36, 37, 39, 41, 43, 44, 45, 46, 47, 48, 49, 50, 52, 53, 54, 55, 56, 57]

===
.-------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |      Layer 1      |      Layer 2      |      Layer 3      |
|-------|--------|------|-------------------|-------------------|-------------------|-------------------|
| 0     |        |    0 | 1 pair (2-item)   | 1 single (1-item) | 3 single (3-item) | 3 single (3-item) |
| 1     |        |    0 | 1 pair (2-item)   | 3 single (3-item) | 3 single (3-item) | 1 pair (2-item)   |
| 2     |        |    0 | 2 single (2-item) | 1 single (1-item) | 3 single (3-item) | 3 single (3-item) |
| 3     |        |    0 | 1 pair (2-item)   | 3 single (3-item) | 3 single (3-item) | 3 single (3-item) |
| 4     |        |    0 | 1 pair (2-item)   | 3 single (3-item) | 3 single (3-item) | 1 pair (2-item)   |
| 5     |        |    0 | 1 pair (2-item)   | 1 pair (2-item)   | 1 single (1-item) | 3 single (3-item) |
| 6     |        |    0 | 1 pair (2-item)   | 3 single (3-item) | 3 single (3-item) | 1 single (1-item) |
| 7     |        |    0 | 1 pair (2-item)   | 3 single (3-item) | 1 single (1-item) | 3 single (3-item) |
| 8     |        |    0 | 1 pair (2-item)   | 1 single (1-item) | 3 single (3-item) | 1 pair (2-item)   |
| 9     |        |    0 | 1 pair (2-item)   | 1 single (1-item) | 1 pair (2-item)   | 1 pair (2-item)   |
| 10    |        |    0 | 1 pair (2-item)   | 3 single (3-item) | 3 single (3-item) | 1 pair (2-item)   |
| 11    |        |    0 | 1 pair (2-item)   | 1 pair (2-item)   | 1 pair (2-item)   | 3 single (3-item) |
| 12    |        |    0 | 1 pair (2-item)   | 3 single (3-item) | 3 single (3-item) | 3 single (3-item) |
| 13    |        |    0 | 1 pair (2-item)   | 3 single (3-item) | 3 single (3-item) | 3 single (3-item) |
| 14    |        |    0 | 1 pair (2-item)   | 3 single (3-item) | 1 single (1-item) | 3 single (3-item) |
| 15    |        |    0 | 1 pair (2-item)   | 3 single (3-item) | 3 single (3-item) | 3 single (3-item) |
| 16    |        |    0 | 1 pair (2-item)   | 1 pair (2-item)   | 3 single (3-item) | 3 single (3-item) |
| 17    |        |    0 | 1 pair (2-item)   | 1 pair (2-item)   | 3 single (3-item) | 3 single (3-item) |
'-------------------------------------------------------------------------------------------------------'

===

.---------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |
|-------|--------|------|------------|------------|------------|------------|
| 0     |        |    0 | [35,35,44] | [27,0,31]  | [6,2,23]   | [0,55,55]  |
| 1     |        |    0 | [12,43,20] | [39,29,33] | [0,36,36]  | [0,57,0]   |
| 2     |        |    0 | [51,5,45]  | [32,49,36] | [10,10,15] | [0,0,0]    |
| 3     |        |    0 | [44,44,0]  | [47,56,18] | [7,17,31]  | [11,54,23] |
| 4     |        |    0 | [13,13,0]  | [12,20,57] | [26,29,27] | [39,39,0]  |
| 5     |        |    0 | [0,42,42]  | [49,49,46] | [3,0,8]    | [30,21,0]  |
| 6     |        |    0 | [41,41,0]  | [18,16,12] | [31,26,0]  | [10,16,16] |
| 7     |        |    0 | [24,20,0]  | [0,8,8]    | [11,14,22] | [1,0,1]    |
| 8     |        |    0 | [50,50,0]  | [24,0,41]  | [17,54,7]  | [32,0,32]  |
| 9     |        |    0 | [4,4,0]    | [50,52,48] | [43,43,0]  | [40,40,0]  |
| 10    |        |    0 | [5,5,0]    | [56,18,35] | [3,17,7]   | [0,37,37]  |
| 11    |        |    0 | [13,45,45] | [0,51,51]  | [53,53,0]  | [23,30,2]  |
| 12    |        |    0 | [34,34,0]  | [53,0,54]  | [38,26,0]  | [14,21,15] |
| 13    |        |    0 | [46,46,0]  | [24,42,28] | [25,19,29] | [0,55,21]  |
| 14    |        |    0 | [0,47,47]  | [4,0,28]   | [27,9,9]   | [22,14,0]  |
| 15    |        |    0 | [52,0,52]  | [0,28,34]  | [3,40,19]  | [22,6,11]  |
| 16    |        |    0 | [48,0,48]  | [0,38,38]  | [19,57,0]  | [56,9,6]   |
| 17    |        |    0 | [0,33,33]  | [25,25,0]  | [0,37,1]   | [15,2,30]  |
'---------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      44 |          0 |        3 |
|    1 |       5 |          2 |       10 |
|    2 |      47 |          3 |       14 |
|    3 |      35 |         10 |        0 |
|    4 |       4 |         14 |        9 |
|    5 |      50 |          9 |        8 |
|    6 |      41 |          8 |        6 |
|    7 |      52 |          9 |       15 |
|    8 |      48 |          9 |       16 |
|    9 |      43 |          1 |        9 |
|   10 |      34 |         15 |       12 |
|   11 |      13 |         11 |        4 |
|   12 |      45 |          2 |       11 |
|   13 |      51 |          2 |       11 |
|   14 |      53 |         12 |       11 |
|   15 |      28 |         15 |       14 |
|   16 |      40 |         15 |        9 |
|   17 |      54 |         12 |        9 |
|   18 |      38 |         12 |       16 |
|   19 |      20 |          1 |        7 |
|   20 |      12 |          4 |        1 |
|   21 |      12 |          6 |        1 |
|   22 |      33 |          1 |       17 |
|   23 |      24 |          7 |        8 |
|   24 |      20 |          4 |        7 |
|   25 |      18 |          3 |       10 |
|   26 |      29 |          1 |        4 |
|   27 |      56 |          3 |        8 |
|   28 |      39 |          1 |        9 |
|   29 |      36 |          2 |        1 |
|   30 |      57 |          4 |        1 |
|   31 |      57 |         16 |        1 |
|   32 |      56 |         10 |        1 |
|   33 |      18 |          6 |       10 |
|   34 |      19 |         16 |       15 |
|   35 |      56 |          8 |        1 |
|   36 |      56 |         16 |        1 |
|   37 |      16 |          6 |        1 |
|   38 |      31 |          0 |        6 |
|   39 |      27 |          0 |        5 |
|   40 |      29 |          4 |        7 |
|   41 |      26 |          4 |       12 |
|   42 |      26 |          6 |       12 |
|   43 |      31 |          3 |        6 |
|   44 |      27 |          4 |        9 |
|   45 |       2 |          0 |        1 |
|   46 |      29 |          4 |       16 |
|   47 |      39 |          9 |        4 |
|   48 |      29 |         16 |        4 |
|   49 |      42 |          5 |        0 |
|   50 |      16 |          1 |        2 |
|   51 |      29 |          4 |       14 |
|   52 |      10 |          6 |        4 |
|   53 |      16 |          2 |        6 |
|   54 |      27 |          5 |        9 |
|   55 |      42 |          5 |        6 |
|   56 |      46 |          5 |       13 |
|   57 |      49 |          2 |        5 |
|   58 |      24 |         13 |        8 |
|   59 |      42 |          0 |        6 |
|   60 |      42 |         13 |        6 |
|   61 |      28 |         14 |       13 |
|   62 |      28 |         14 |       13 |
|   63 |      25 |         13 |       17 |
|   64 |      29 |          7 |       13 |
|   65 |       8 |          5 |        7 |
|   66 |       3 |         10 |        5 |
|   67 |       3 |         15 |        5 |
|   68 |      19 |         13 |       15 |
|   69 |      29 |         14 |       13 |
|   70 |       2 |         11 |        1 |
|   71 |      54 |          9 |        6 |
|   72 |      27 |         14 |        9 |
|   73 |       9 |         16 |       14 |
|   74 |       6 |          0 |       16 |
|   75 |       6 |         15 |       16 |
|   76 |      23 |          0 |       11 |
|   77 |      55 |         13 |        0 |
|   78 |      21 |          5 |       13 |
|   79 |      21 |         12 |       13 |
|   80 |       7 |          3 |       10 |
|   81 |      22 |         15 |       16 |
|   82 |      32 |          2 |        6 |
|   83 |      22 |         14 |        9 |
|   84 |      17 |          3 |        5 |
|   85 |      30 |         11 |        0 |
|   86 |      23 |          3 |       11 |
|   87 |      10 |          2 |        4 |
|   88 |      10 |          2 |        4 |
|   89 |      15 |          2 |       12 |
|   90 |      11 |         15 |        4 |
|   91 |      17 |          8 |        2 |
|   92 |      30 |          0 |        6 |
|   93 |      11 |          3 |        4 |
|   94 |      11 |          7 |        4 |
|   95 |      17 |          5 |        2 |
|   96 |      17 |         10 |        2 |
|   97 |       7 |          8 |       10 |
|   98 |      37 |         17 |       10 |
|   99 |      54 |          3 |        8 |
|  100 |      54 |          6 |        8 |
|  101 |      14 |         14 |       11 |
|  102 |      15 |         12 |       14 |
|  103 |      15 |         14 |       10 |
|  104 |      15 |         12 |       14 |
|  105 |      32 |          6 |        8 |
|  106 |      22 |          7 |        9 |
|  107 |      30 |          5 |        1 |
|  108 |       2 |          1 |        6 |
|  109 |      22 |         16 |        9 |
|  110 |       2 |          1 |        6 |
|  111 |      14 |          7 |       11 |
|  112 |      30 |          1 |       11 |
|  113 |       1 |         17 |        7 |
|  114 |       2 |         17 |        3 |
|  115 |      30 |         17 |        0 |
|  116 |      15 |         14 |       16 |
|  117 |      15 |         16 |       15 |
|  118 |      30 |          6 |        0 |
|  119 |       2 |          3 |        6 |
|  120 |      30 |         11 |        0 |
|  121 |      14 |         12 |       11 |
|  122 |      15 |         10 |       15 |
|  123 |      15 |         17 |       15 |
'----------------------------------------'
