Version: 2

Number of IDs: 48
Common Shelves: 15 - Single Shelves: 0
Number of Layers: 4
Locked Shelves: 4
Pair Rate: 0.3500
Pair Amount: 17 - Single Amount: 110
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.6000

W3 IDs: [47, 48, 46]
W2 IDs: [30, 43, 45, 42, 31, 44, 33, 32, 29, 27, 28, 38, 39, 37, 40, 41, 35, 36, 34]
W1 IDs: [21, 18, 6, 22, 13, 26, 23, 15, 7, 16, 10, 5, 4, 25, 11, 14, 19, 2, 17, 12, 1, 8, 20, 9, 3, 24]
W1 Solver-Placed IDs: [16, 18]
Edited IDs: [1, 2, 4, 5, 9, 10, 15, 16, 17, 18, 20, 21, 24, 35, 36, 42, 46, 47, 48]

===
.----------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|
| 0     |        |    4 | 2 single (2-item) | 3 single (3-item)    | 1 pair (2-item)      | 2 single (2-item)    |
| 1     |        |    8 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    | 3 single (3-item)    |
| 2     |        |   12 | 1 pair (2-item)   | 1 single (1-item)    | 1 pair (2-item)      | 2 single (2-item)    |
| 3     |        |   16 | 2 single (2-item) | 3 single (3-item)    | pair+single (3-item) | pair+single (3-item) |
| 4     |        |    0 | 2 single (2-item) | 3 single (3-item)    | pair+single (3-item) | 3 single (3-item)    |
| 5     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 3 single (3-item)    | 1 pair (2-item)      |
| 6     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 2 single (2-item)    | 1 single (1-item)    |
| 7     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    | 2 single (2-item)    |
| 8     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 1 single (1-item)    | 3 single (3-item)    |
| 9     |        |    0 | 2 single (2-item) | 3 single (3-item)    | 3 single (3-item)    | 3 single (3-item)    |
| 10    |        |    0 | 1 pair (2-item)   | 2 single (2-item)    | pair+single (3-item) | pair+single (3-item) |
| 11    |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | 1 pair (2-item)      |
| 12    |        |    0 | 2 single (2-item) | 2 single (2-item)    | 1 single (1-item)    | 1 single (1-item)    |
| 13    |        |    0 | 2 single (2-item) | 3 single (3-item)    | 3 single (3-item)    | 3 single (3-item)    |
| 14    |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    | 2 single (2-item)    |
'----------------------------------------------------------------------------------------------------------------'

===

.--------------------------------------------------------------------------.
| Shelf | Single | Lock |  Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |
|-------|--------|------|-----------|------------|------------|------------|
| 0     |        |    0 | [20,23,9] | [38,8,13]  | [17,33,33] | [15,0,21]  |
| 1     |        |    0 | [0,38,38] | [47,42,25] | [26,27,0]  | [1,1,22]   |
| 2     |        |    0 | [36,0,36] | [19,42,42] | [16,16,15] | [0,0,0]    |
| 3     |        |    4 | [5,0,28]  | [0,36,19]  | [24,34,34] | [43,45,43] |
| 4     |        |    0 | [23,4,18] | [14,44,44] | [2,15,6]   | [0,0,0]    |
| 5     |        |    0 | [7,18,0]  | [10,5,8]   | [0,24,3]   | [30,0,30]  |
| 6     |        |    0 | [9,35,35] | [13,25,47] | [46,3,46]  | [16,0,17]  |
| 7     |        |    8 | [40,40,0] | [32,37,34] | [29,11,12] | [0,31,22]  |
| 8     |        |    0 | [0,9,20]  | [14,48,40] | [12,21,21] | [22,17,0]  |
| 9     |        |    0 | [0,4,4]   | [19,29,29] | [11,43,6]  | [0,0,0]    |
| 10    |        |    0 | [37,37,0] | [0,13,10]  | [3,31,31]  | [39,39,1]  |
| 11    |        |   12 | [23,0,20] | [28,14,28] | [6,45,45]  | [27,27,0]  |
| 12    |        |    0 | [44,7,0]  | [10,25,47] | [39,48,48] | [0,0,0]    |
| 13    |        |    0 | [41,7,18] | [5,8,35]   | [11,26,30] | [2,2,0]    |
| 14    |        |    0 | [32,32,0] | [41,0,41]  | [26,12,46] | [0,33,24]  |
'--------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |       4 |          4 |        9 |
|    1 |      20 |          8 |       10 |
|    2 |       9 |          8 |        4 |
|    3 |      40 |          8 |        7 |
|    4 |      32 |          7 |       14 |
|    5 |      41 |         13 |       14 |
|    6 |      20 |          0 |       11 |
|    7 |      23 |         11 |        0 |
|    8 |      20 |         10 |       11 |
|    9 |      37 |          7 |       10 |
|   10 |       9 |          0 |        5 |
|   11 |      23 |          4 |        0 |
|   12 |       9 |          6 |        4 |
|   13 |      38 |          0 |        6 |
|   14 |      18 |          4 |       13 |
|   15 |       9 |          5 |        4 |
|   16 |      38 |          6 |        1 |
|   17 |      14 |          4 |        8 |
|   18 |      44 |         12 |        4 |
|   19 |       7 |          5 |       12 |
|   20 |       7 |         13 |       12 |
|   21 |      18 |          5 |       13 |
|   22 |      35 |         13 |        6 |
|   23 |       5 |          5 |        0 |
|   24 |      29 |          9 |       13 |
|   25 |       6 |          4 |        7 |
|   26 |      48 |          8 |        5 |
|   27 |      14 |         11 |        8 |
|   28 |      13 |          0 |       10 |
|   29 |       2 |          4 |        2 |
|   30 |      10 |         10 |        4 |
|   31 |      13 |          6 |       10 |
|   32 |      47 |          1 |        6 |
|   33 |      25 |          6 |        1 |
|   34 |      47 |         12 |        6 |
|   35 |      28 |          3 |       11 |
|   36 |       5 |          0 |        3 |
|   37 |       5 |         13 |        3 |
|   38 |       8 |          5 |        0 |
|   39 |       8 |         13 |        0 |
|   40 |      17 |          0 |        3 |
|   41 |      34 |          7 |        0 |
|   42 |       3 |          6 |        9 |
|   43 |      46 |         14 |        6 |
|   44 |      34 |          0 |        4 |
|   45 |      17 |          6 |       12 |
|   46 |      42 |          1 |        0 |
|   47 |      25 |         12 |        1 |
|   48 |      42 |          0 |        7 |
|   49 |      48 |          5 |       12 |
|   50 |       6 |          7 |       13 |
|   51 |      10 |          4 |        5 |
|   52 |      10 |         12 |        5 |
|   53 |      27 |          1 |        5 |
|   54 |      16 |          6 |        7 |
|   55 |       2 |          2 |        6 |
|   56 |      36 |          3 |        2 |
|   57 |      19 |          2 |        3 |
|   58 |      42 |          7 |        2 |
|   59 |      15 |          2 |        4 |
|   60 |      16 |          7 |        2 |
|   61 |      17 |          3 |       12 |
|   62 |      19 |          9 |        3 |
|   63 |       3 |         10 |        9 |
|   64 |      11 |          7 |       10 |
|   65 |      29 |          9 |       13 |
|   66 |       3 |          5 |        9 |
|   67 |      24 |          3 |        5 |
|   68 |      34 |          4 |        3 |
|   69 |      12 |          8 |       14 |
|   70 |      43 |          9 |        7 |
|   71 |      29 |          7 |        8 |
|   72 |      11 |          9 |        1 |
|   73 |      45 |          3 |        1 |
|   74 |      43 |          7 |        3 |
|   75 |       6 |         11 |        9 |
|   76 |      45 |          1 |       11 |
|   77 |      27 |          5 |       11 |
|   78 |       6 |         13 |        9 |
|   79 |      29 |          8 |       13 |
|   80 |      11 |         10 |        1 |
|   81 |       2 |          6 |        5 |
|   82 |      15 |          4 |        7 |
|   83 |      11 |          1 |        8 |
|   84 |      15 |          7 |        4 |
|   85 |      11 |          1 |        7 |
|   86 |      26 |         13 |        1 |
|   87 |      15 |          4 |       10 |
|   88 |      26 |         14 |        1 |
|   89 |      12 |          7 |       14 |
|   90 |      22 |          1 |        4 |
|   91 |       1 |          1 |        7 |
|   92 |      24 |         14 |       11 |
|   93 |      15 |          4 |       11 |
|   94 |      33 |         14 |        0 |
|   95 |      30 |         13 |        9 |
|   96 |       1 |          1 |       13 |
|   97 |       1 |         13 |        6 |
|   98 |      11 |          7 |       13 |
|   99 |      11 |          8 |       13 |
|  100 |      21 |          0 |        8 |
|  101 |       2 |          5 |       13 |
|  102 |      24 |         11 |        5 |
|  103 |      30 |          9 |        5 |
|  104 |      15 |          0 |       11 |
|  105 |      15 |         10 |       11 |
|  106 |       1 |          7 |        6 |
|  107 |      31 |          7 |       10 |
|  108 |       1 |         10 |        6 |
|  109 |      22 |          4 |        7 |
|  110 |      22 |          8 |        7 |
|  111 |      48 |         12 |        0 |
|  112 |      17 |          8 |       12 |
|  113 |      39 |         12 |       10 |
|  114 |      48 |          0 |       12 |
'----------------------------------------'
