Version: 2

Number of IDs: 59
Common Shelves: 17 - Single Shelves: 0
Number of Layers: 4
Locked Shelves: 4
Pair Rate: 0.4000
Pair Amount: 24 - Single Amount: 129
Weight: W1=0.5500 - W2=0.4000 - W3=0.0500
W1 Validation Threshold: 0.6000

W3 IDs: [58, 59, 57, 56]
W2 IDs: [55, 42, 36, 50, 51, 46, 40, 43, 37, 45, 33, 35, 49, 34, 53, 39, 41, 52, 47, 38, 44, 54, 48]
W1 IDs: [31, 13, 6, 21, 19, 27, 4, 25, 5, 9, 32, 8, 29, 15, 26, 7, 3, 10, 12, 22, 20, 17, 23, 28, 16, 2, 1, 11, 30, 24, 14, 18]
W1 Solver-Placed IDs: [17, 2]
Edited IDs: [1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 18, 19, 20, 21, 22, 24, 25, 26, 28, 29, 31, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]

===
.----------------------------------------------------------------------------------------------------------------.
| Shelf | Single | Lock |      Layer 0      |       Layer 1        |       Layer 2        |       Layer 3        |
|-------|--------|------|-------------------|----------------------|----------------------|----------------------|
| 0     |        |    4 | 1 single (1-item) | 3 single (3-item)    | 3 single (3-item)    | 3 single (3-item)    |
| 1     |        |    8 | 1 pair (2-item)   | 3 single (3-item)    | 1 single (1-item)    | 3 single (3-item)    |
| 2     |        |   12 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    | 3 single (3-item)    |
| 3     |        |   16 | 1 single (1-item) | pair+single (3-item) | 3 single (3-item)    | pair+single (3-item) |
| 4     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    | 3 single (3-item)    |
| 5     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    | pair+single (3-item) |
| 6     |        |    0 | 2 single (2-item) | pair+single (3-item) | pair+single (3-item) | 3 single (3-item)    |
| 7     |        |    0 | 1 single (1-item) | 3 single (3-item)    | 3 single (3-item)    | pair+single (3-item) |
| 8     |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    | 3 single (3-item)    |
| 9     |        |    0 | 1 single (1-item) | 3 single (3-item)    | 3 single (3-item)    | pair+single (3-item) |
| 10    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 3 single (3-item)    | 1 single (1-item)    |
| 11    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | 1 single (1-item)    | 3 single (3-item)    |
| 12    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) | 3 single (3-item)    |
| 13    |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    | 3 single (3-item)    |
| 14    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) | 3 single (3-item)    |
| 15    |        |    0 | 1 pair (2-item)   | 3 single (3-item)    | pair+single (3-item) | 3 single (3-item)    |
| 16    |        |    0 | 1 pair (2-item)   | pair+single (3-item) | 3 single (3-item)    | 3 single (3-item)    |
'----------------------------------------------------------------------------------------------------------------'

===

.---------------------------------------------------------------------------.
| Shelf | Single | Lock |   Layer 0  |   Layer 1  |   Layer 2  |   Layer 3  |
|-------|--------|------|------------|------------|------------|------------|
| 0     |        |    4 | [14,7,28]  | [26,3,47]  | [37,0,12]  | [0,11,35]  |
| 1     |        |    8 | [2,46,46]  | [19,49,16] | [0,5,56]   | [21,0,4]   |
| 2     |        |    0 | [36,2,36]  | [25,33,6]  | [59,34,32] | [8,0,9]    |
| 3     |        |    0 | [47,0,47]  | [3,14,14]  | [0,32,29]  | [15,34,34] |
| 4     |        |    0 | [51,51,0]  | [31,45,0]  | [32,20,1]  | [24,59,12] |
| 5     |        |   12 | [0,49,49]  | [6,23,0]   | [3,56,26]  | [15,57,15] |
| 6     |        |   16 | [0,41,41]  | [55,26,55] | [40,0,58]  | [0,21,21]  |
| 7     |        |    0 | [0,54,28]  | [19,53,0]  | [1,20,13]  | [39,39,0]  |
| 8     |        |    0 | [33,2,33]  | [0,55,31]  | [56,0,48]  | [18,39,24] |
| 9     |        |    0 | [50,19,7]  | [25,42,57] | [13,0,29]  | [35,35,58] |
| 10    |        |    0 | [52,0,52]  | [6,10,10]  | [17,22,27] | [44,17,17] |
| 11    |        |    0 | [43,43,7]  | [31,0,10]  | [13,0,58]  | [11,30,9]  |
| 12    |        |    0 | [54,41,54] | [36,16,28] | [37,37,1]  | [4,8,18]   |
| 13    |        |    0 | [50,50,0]  | [48,48,38] | [27,20,22] | [4,8,30]   |
| 14    |        |    0 | [0,38,38]  | [46,23,43] | [40,40,57] | [59,5,9]   |
| 15    |        |    0 | [53,53,51] | [25,16,23] | [44,44,0]  | [5,24,30]  |
| 16    |        |    0 | [0,45,45]  | [42,52,42] | [22,29,27] | [11,12,18] |
'---------------------------------------------------------------------------'

===

.----------------------------------------.
| Step | Item ID | From Shelf | To Shelf |
|------|---------|------------|----------|
|    0 |      50 |          9 |       13 |
|    1 |      38 |         13 |       14 |
|    2 |      51 |         15 |        4 |
|    3 |      45 |          4 |       16 |
|    4 |      52 |         16 |       10 |
|    5 |       7 |         11 |        9 |
|    6 |      43 |         14 |       11 |
|    7 |      19 |          9 |        3 |
|    8 |       7 |          0 |        9 |
|    9 |      42 |          9 |       16 |
|   10 |       2 |          1 |        0 |
|   11 |      46 |         14 |        1 |
|   12 |      28 |          0 |       13 |
|   13 |      25 |          9 |        4 |
|   14 |       2 |          0 |        4 |
|   15 |       6 |         10 |        9 |
|   16 |      10 |         11 |       10 |
|   17 |      31 |          4 |        0 |
|   18 |       2 |          8 |       14 |
|   19 |      36 |          2 |        0 |
|   20 |      28 |          7 |        4 |
|   21 |      54 |         12 |        7 |
|   22 |      54 |         12 |        7 |
|   23 |      53 |          7 |       15 |
|   24 |      49 |          1 |        5 |
|   25 |      19 |          1 |        7 |
|   26 |      19 |          3 |        7 |
|   27 |       2 |          2 |       14 |
|   28 |      23 |         14 |        5 |
|   29 |       2 |          4 |       14 |
|   30 |       6 |          5 |        9 |
|   31 |      23 |         15 |        5 |
|   32 |      41 |         12 |        6 |
|   33 |      36 |          0 |        2 |
|   34 |      36 |         12 |        2 |
|   35 |      33 |          2 |        8 |
|   36 |      31 |          0 |       11 |
|   37 |      31 |          8 |       11 |
|   38 |      55 |          6 |        8 |
|   39 |      55 |          6 |        8 |
|   40 |      16 |         12 |        1 |
|   41 |      16 |         15 |        1 |
|   42 |      25 |          2 |       15 |
|   43 |      25 |          4 |       15 |
|   44 |      28 |          4 |       12 |
|   45 |      28 |         13 |       12 |
|   46 |      48 |          8 |       13 |
|   47 |      56 |          1 |        8 |
|   48 |      56 |          5 |        8 |
|   49 |      39 |          8 |        0 |
|   50 |       1 |          7 |        2 |
|   51 |       3 |          5 |        6 |
|   52 |       3 |          6 |        0 |
|   53 |      32 |          4 |        6 |
|   54 |      26 |          5 |        8 |
|   55 |      14 |          0 |        2 |
|   56 |      32 |          6 |       11 |
|   57 |       3 |          0 |        7 |
|   58 |      57 |          9 |        0 |
|   59 |       6 |          2 |        9 |
|   60 |       1 |          2 |        4 |
|   61 |      39 |          0 |        3 |
|   62 |      13 |          9 |        2 |
|   63 |      57 |          5 |        0 |
|   64 |      57 |         14 |        0 |
|   65 |      26 |          0 |        6 |
|   66 |      26 |          8 |        6 |
|   67 |      40 |          6 |       14 |
|   68 |      14 |          2 |        6 |
|   69 |      13 |          7 |        6 |
|   70 |      20 |          4 |        7 |
|   71 |       1 |         12 |        4 |
|   72 |      13 |          6 |        2 |
|   73 |      13 |         11 |        2 |
|   74 |       3 |          7 |        0 |
|   75 |      20 |         13 |        7 |
|   76 |      39 |          3 |        7 |
|   77 |      47 |          0 |        3 |
|   78 |       3 |          3 |        0 |
|   79 |      37 |          0 |       12 |
|   80 |      14 |          6 |        3 |
|   81 |      29 |          3 |        9 |
|   82 |      29 |         16 |        9 |
|   83 |      22 |         10 |       16 |
|   84 |      32 |          3 |       13 |
|   85 |      24 |          4 |        1 |
|   86 |      34 |          3 |        1 |
|   87 |      15 |          3 |        5 |
|   88 |      34 |          1 |       10 |
|   89 |      32 |          2 |        0 |
|   90 |       5 |          1 |        0 |
|   91 |      34 |          2 |        3 |
|   92 |      34 |         10 |        3 |
|   93 |      59 |          2 |        4 |
|   94 |      27 |         16 |        7 |
|   95 |      22 |         13 |       16 |
|   96 |      58 |          9 |       11 |
|   97 |      24 |          1 |        2 |
|   98 |       4 |          1 |        6 |
|   99 |      27 |         10 |        7 |
|  100 |      27 |         13 |        7 |
|  101 |      32 |          0 |       13 |
|  102 |      32 |         11 |       13 |
|  103 |      58 |          6 |       11 |
|  104 |       5 |          0 |        8 |
|  105 |      21 |          1 |       10 |
|  106 |       5 |         14 |        5 |
|  107 |      12 |          4 |        0 |
|  108 |       8 |          2 |        0 |
|  109 |      59 |         14 |        4 |
|  110 |      44 |         15 |        7 |
|  111 |      12 |          0 |        9 |
|  112 |      12 |          9 |        0 |
|  113 |       9 |          2 |       14 |
|  114 |       9 |         11 |       14 |
|  115 |       4 |         12 |        6 |
|  116 |       4 |         13 |        6 |
|  117 |      18 |         16 |        4 |
|  118 |      12 |          0 |       11 |
|  119 |      21 |         10 |        6 |
|  120 |      12 |         16 |        3 |
|  121 |      12 |          0 |       15 |
|  122 |       8 |         12 |        0 |
|  123 |       8 |         13 |        0 |
|  124 |      35 |          0 |        9 |
|  125 |      12 |          3 |       15 |
|  126 |      11 |          0 |       16 |
|  127 |      11 |         11 |       16 |
|  128 |      18 |          4 |       12 |
|  129 |      18 |          8 |       12 |
|  130 |      12 |         15 |        9 |
|  131 |      12 |          9 |       15 |
|  132 |      12 |         15 |        9 |
|  133 |      12 |          9 |       15 |
|  134 |       5 |          8 |        5 |
|  135 |      24 |          2 |       11 |
|  136 |      44 |         15 |        7 |
|  137 |      12 |         11 |       15 |
